Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,League,league_name,season,season_start
vs Leverkusen,23,34.0,11597.0,14768.0,78.5,202155.0,74281.0,5341.0,6051.0,88.3,4827.0,5642.0,85.6,1109.0,2247.0,49.4,25.0,22.8,28.3,2.2,241.0,862.0,203.0,46.0,984.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Mainz 05,25,34.0,12368.0,16234.0,76.2,222854.0,83971.0,5321.0,6220.0,85.5,5441.0,6465.0,84.2,1276.0,2660.0,48.0,28.0,31.2,39.5,-3.2,328.0,1061.0,265.0,86.0,1123.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs RB Leipzig,29,34.0,13082.0,16691.0,78.4,229606.0,87124.0,5968.0,6842.0,87.2,5425.0,6330.0,85.7,1308.0,2485.0,52.6,35.0,38.8,49.2,-3.8,367.0,1007.0,302.0,93.0,1275.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs St. Pauli,28,34.0,16017.0,19511.0,82.1,283049.0,94838.0,6968.0,7806.0,89.3,7301.0,8280.0,88.2,1407.0,2474.0,56.9,30.0,35.0,37.8,-5.0,300.0,1241.0,275.0,66.0,1388.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Stuttgart,29,34.0,11408.0,14746.0,77.4,203317.0,78239.0,4970.0,5734.0,86.7,4936.0,5782.0,85.4,1179.0,2335.0,50.5,34.0,33.8,35.2,0.2,284.0,811.0,237.0,56.0,1023.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Union Berlin,28,34.0,16465.0,20253.0,81.3,291665.0,98135.0,6966.0,7921.0,87.9,7697.0,8708.0,88.4,1456.0,2714.0,53.6,36.0,32.4,41.9,3.6,295.0,1264.0,306.0,88.0,1491.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Werder Bremen,23,34.0,14300.0,17808.0,80.3,246128.0,90286.0,6723.0,7496.0,89.7,6054.0,7014.0,86.3,1217.0,2399.0,50.7,39.0,36.3,42.7,2.7,353.0,1067.0,274.0,59.0,1336.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Wolfsburg,27,34.0,14240.0,17731.0,80.3,245839.0,92107.0,6618.0,7474.0,88.5,5949.0,6888.0,86.4,1290.0,2363.0,54.6,43.0,40.5,39.7,2.5,367.0,1098.0,285.0,81.0,1348.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Arsenal,25,38.0,12192.0,15255.0,79.9,214595.0,73593.0,5573.0,6249.0,89.2,5271.0,6035.0,87.3,1095.0,2295.0,47.7,24.0,24.5,24.6,-0.5,263.0,905.0,197.0,60.0,938.0,Premier League 2024-2025,premier league,2024-2025,2024
vs Aston Villa,28,38.0,14438.0,17377.0,83.1,249107.0,83992.0,6870.0,7487.0,91.8,5962.0,6755.0,88.3,1278.0,2286.0,55.9,36.0,36.4,35.8,-0.4,336.0,1189.0,295.0,81.0,1315.0,Premier League 2024-2025,premier league,2024-2025,2024
