Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,League,league_name,season,season_start
Wolfsburg,2,34.0,56,2.0,2.0,4.0,3.0,47.8,0.31,-5.2,-0.15,201.0,494.0,40.7,989.0,157.0,37.7,32.8,258.0,46.9,38.1,462.0,26.0,5.6,41.0,1.21,12.1,Bundesliga 2023-2024,bundesliga,2023-2024,2023
Arsenal,2,38.0,29,2.0,1.0,6.0,1.0,24.1,0.26,-3.9,-0.1,157.0,441.0,35.6,1058.0,189.0,35.1,30.7,195.0,35.9,31.1,375.0,48.0,12.8,59.0,1.55,17.9,Premier League 2023-2024,premier league,2023-2024,2023
Aston Villa,2,38.0,61,1.0,1.0,10.0,4.0,61.7,0.35,4.7,0.12,136.0,380.0,35.8,1386.0,176.0,21.8,27.1,246.0,31.7,29.5,419.0,51.0,12.2,70.0,1.84,8.4,Premier League 2023-2024,premier league,2023-2024,2023
Bournemouth,3,38.0,67,6.0,1.0,6.0,1.0,63.2,0.3,-2.8,-0.07,199.0,581.0,34.3,976.0,177.0,44.0,41.7,266.0,57.1,43.9,492.0,31.0,6.3,37.0,0.97,14.8,Premier League 2023-2024,premier league,2023-2024,2023
Brentford,2,38.0,65,2.0,0.0,6.0,0.0,57.0,0.3,-8.0,-0.21,254.0,677.0,37.5,1330.0,136.0,37.1,35.8,318.0,57.5,44.9,605.0,46.0,7.6,38.0,1.0,10.0,Premier League 2023-2024,premier league,2023-2024,2023
Brighton,2,38.0,62,6.0,1.0,8.0,2.0,51.1,0.28,-8.9,-0.23,102.0,274.0,37.2,1278.0,186.0,20.3,24.4,254.0,5.9,12.0,405.0,24.0,5.9,72.0,1.89,15.8,Premier League 2023-2024,premier league,2023-2024,2023
Burnley,2,38.0,78,6.0,0.0,11.0,3.0,75.8,0.29,0.8,0.02,215.0,825.0,26.1,1826.0,216.0,35.6,34.3,284.0,61.6,44.7,562.0,50.0,8.9,74.0,1.95,17.2,Premier League 2023-2024,premier league,2023-2024,2023
Chelsea,2,38.0,63,3.0,0.0,8.0,3.0,52.5,0.27,-7.5,-0.2,128.0,361.0,35.5,1129.0,184.0,22.5,27.8,282.0,37.9,32.6,514.0,39.0,7.6,47.0,1.24,12.7,Premier League 2023-2024,premier league,2023-2024,2023
Crystal Palace,3,38.0,58,3.0,0.0,7.0,2.0,47.5,0.29,-8.5,-0.22,176.0,605.0,29.1,826.0,115.0,51.8,41.2,255.0,69.4,49.2,586.0,30.0,5.1,29.0,0.76,11.2,Premier League 2023-2024,premier league,2023-2024,2023
Everton,1,38.0,51,8.0,0.0,9.0,3.0,52.4,0.28,4.4,0.12,360.0,901.0,40.0,1296.0,141.0,56.7,41.6,274.0,60.6,48.2,570.0,30.0,5.3,54.0,1.42,15.9,Premier League 2023-2024,premier league,2023-2024,2023
Fulham,1,38.0,61,8.0,2.0,3.0,4.0,55.7,0.26,-1.3,-0.03,144.0,439.0,32.8,1272.0,167.0,25.5,28.5,301.0,38.2,33.0,472.0,19.0,4.0,40.0,1.05,14.2,Premier League 2023-2024,premier league,2023-2024,2023
Liverpool,2,38.0,41,1.0,0.0,7.0,2.0,40.0,0.27,1.0,0.03,92.0,285.0,32.3,1348.0,192.0,17.0,24.7,228.0,24.6,27.5,376.0,18.0,4.8,46.0,1.21,17.7,Premier League 2023-2024,premier league,2023-2024,2023
Luton Town,2,38.0,85,4.0,0.0,13.0,4.0,77.7,0.34,-3.3,-0.09,274.0,814.0,33.7,1122.0,151.0,52.4,50.8,349.0,64.8,46.8,561.0,16.0,2.9,77.0,2.03,19.0,Premier League 2023-2024,premier league,2023-2024,2023
Manchester City,2,38.0,34,3.0,0.0,3.0,1.0,36.2,0.31,3.2,0.08,142.0,314.0,45.2,1342.0,161.0,19.7,27.9,158.0,31.0,31.9,312.0,31.0,9.9,63.0,1.66,16.8,Premier League 2023-2024,premier league,2023-2024,2023
Manchester Utd,1,38.0,58,7.0,1.0,11.0,1.0,59.7,0.27,2.7,0.07,149.0,513.0,29.0,1184.0,140.0,35.4,31.2,329.0,28.6,26.0,601.0,42.0,7.0,37.0,0.97,12.9,Premier League 2023-2024,premier league,2023-2024,2023
Newcastle Utd,3,38.0,62,4.0,1.0,8.0,1.0,61.1,0.29,0.1,0.0,100.0,301.0,33.2,803.0,236.0,18.8,36.3,281.0,53.4,40.5,449.0,30.0,6.7,53.0,1.39,19.5,Premier League 2023-2024,premier league,2023-2024,2023
Nott'ham Forest,3,38.0,67,4.0,1.0,15.0,2.0,47.0,0.27,-18.0,-0.47,229.0,519.0,44.1,818.0,171.0,42.5,35.7,304.0,56.3,41.4,610.0,44.0,7.2,24.0,0.63,13.3,Premier League 2023-2024,premier league,2023-2024,2023
