Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,League,league_name,season,season_start
Brentford,1,46.0,38,3.0,0.0,8.0,1.0,35.1,0.24,-1.9,-0.04,254.0,639.0,39.7,1566.0,423.0,32.4,32.5,334.0,39.5,35.9,611.0,41.0,6.7,66.0,1.43,15.8,Championship 2019-2020,championship,2019-2020,2019
Bristol City,2,46.0,65,4.0,2.0,9.0,3.0,59.3,0.28,-2.7,-0.06,337.0,973.0,34.6,1304.0,275.0,52.5,38.5,412.0,70.1,54.0,815.0,27.0,3.3,68.0,1.48,12.0,Championship 2019-2020,championship,2019-2020,2019
Cardiff City,3,46.0,58,4.0,4.0,10.0,2.0,50.5,0.28,-5.5,-0.12,376.0,1242.0,30.3,1007.0,75.0,84.1,57.4,398.0,99.2,66.6,673.0,26.0,3.9,29.0,0.63,13.0,Championship 2019-2020,championship,2019-2020,2019
Charlton Ath,1,46.0,65,4.0,0.0,10.0,2.0,68.4,0.3,5.4,0.12,339.0,1075.0,31.5,1262.0,198.0,60.6,44.6,467.0,66.4,51.7,852.0,22.0,2.6,21.0,0.46,10.3,Championship 2019-2020,championship,2019-2020,2019
Derby County,2,46.0,64,8.0,0.0,15.0,3.0,58.0,0.26,-3.0,-0.07,244.0,727.0,33.6,1421.0,211.0,37.2,33.4,405.0,48.9,41.7,780.0,25.0,3.2,35.0,0.76,12.3,Championship 2019-2020,championship,2019-2020,2019
Fulham,2,46.0,48,4.0,0.0,6.0,0.0,50.3,0.29,2.3,0.05,249.0,684.0,36.4,1202.0,187.0,40.4,37.7,360.0,55.0,45.3,560.0,15.0,2.7,37.0,0.8,11.1,Championship 2019-2020,championship,2019-2020,2019
Huddersfield,4,46.0,70,2.0,0.0,18.0,1.0,55.5,0.31,-13.5,-0.29,244.0,803.0,30.4,1125.0,168.0,46.7,41.7,392.0,70.9,52.0,629.0,36.0,5.7,42.0,0.91,18.7,Championship 2019-2020,championship,2019-2020,2019
Hull City,2,46.0,87,8.0,1.0,13.0,3.0,64.1,0.28,-19.9,-0.43,337.0,906.0,37.2,1112.0,201.0,55.1,51.4,414.0,70.8,53.5,729.0,34.0,4.7,19.0,0.41,3.0,Championship 2019-2020,championship,2019-2020,2019
Leeds United,2,46.0,35,3.0,1.0,8.0,1.0,34.6,0.25,0.6,0.01,145.0,391.0,37.1,1284.0,257.0,21.1,27.4,325.0,36.9,33.9,455.0,36.0,7.9,50.0,1.09,12.9,Championship 2019-2020,championship,2019-2020,2019
Luton Town,2,46.0,82,5.0,0.0,7.0,3.0,73.2,0.31,-5.8,-0.13,302.0,938.0,32.2,1203.0,203.0,51.2,40.6,443.0,72.7,54.3,870.0,23.0,2.6,46.0,1.0,16.0,Championship 2019-2020,championship,2019-2020,2019
Middlesbrough,3,46.0,61,3.0,1.0,10.0,4.0,56.3,0.3,-0.7,-0.02,305.0,927.0,32.9,950.0,173.0,61.3,43.8,380.0,90.8,60.2,743.0,23.0,3.1,24.0,0.52,10.6,Championship 2019-2020,championship,2019-2020,2019
Millwall,2,46.0,51,2.0,1.0,8.0,2.0,55.1,0.28,6.1,0.13,350.0,867.0,40.4,840.0,159.0,65.0,47.3,373.0,86.1,58.7,666.0,28.0,4.2,12.0,0.26,4.5,Championship 2019-2020,championship,2019-2020,2019
Nott'ham Forest,3,46.0,50,3.0,0.0,10.0,4.0,50.9,0.28,4.9,0.11,329.0,873.0,37.7,1058.0,214.0,52.6,49.5,418.0,75.8,53.4,894.0,44.0,4.9,28.0,0.61,7.8,Championship 2019-2020,championship,2019-2020,2019
Preston,1,46.0,54,5.0,1.0,8.0,2.0,47.3,0.27,-4.7,-0.1,405.0,1083.0,37.4,1203.0,160.0,64.4,46.5,389.0,79.2,59.1,693.0,29.0,4.2,37.0,0.8,14.5,Championship 2019-2020,championship,2019-2020,2019
QPR,2,46.0,76,9.0,2.0,13.0,0.0,66.6,0.3,-9.4,-0.2,256.0,742.0,34.5,1446.0,287.0,37.3,36.8,383.0,53.0,44.1,700.0,22.0,3.1,41.0,0.89,12.4,Championship 2019-2020,championship,2019-2020,2019
Reading,2,46.0,58,3.0,2.0,8.0,1.0,60.3,0.28,3.3,0.07,251.0,776.0,32.3,960.0,195.0,49.6,27.7,446.0,67.3,48.8,706.0,20.0,2.8,21.0,0.46,11.1,Championship 2019-2020,championship,2019-2020,2019
Sheffield Weds,3,46.0,66,8.0,2.0,9.0,2.0,54.3,0.29,-9.7,-0.21,442.0,1214.0,36.4,1118.0,108.0,76.5,52.4,377.0,95.2,65.7,539.0,38.0,7.1,32.0,0.7,13.5,Championship 2019-2020,championship,2019-2020,2019
Stoke City,3,46.0,68,5.0,1.0,11.0,2.0,58.7,0.33,-7.3,-0.16,355.0,939.0,37.8,1165.0,164.0,55.8,38.5,336.0,86.0,60.1,614.0,29.0,4.7,43.0,0.93,15.3,Championship 2019-2020,championship,2019-2020,2019
Swansea City,2,46.0,53,3.0,1.0,4.0,1.0,47.5,0.25,-4.5,-0.1,231.0,590.0,39.2,1168.0,250.0,34.2,31.5,390.0,49.0,37.3,760.0,25.0,3.3,43.0,0.93,21.8,Championship 2019-2020,championship,2019-2020,2019
West Brom,1,46.0,45,4.0,1.0,11.0,4.0,44.1,0.27,3.1,0.07,297.0,781.0,38.0,1131.0,175.0,51.9,40.4,342.0,56.7,44.1,574.0,10.0,1.7,58.0,1.26,16.5,Championship 2019-2020,championship,2019-2020,2019
Wigan Athletic,2,46.0,56,1.0,5.0,9.0,1.0,47.1,0.31,-7.9,-0.17,394.0,915.0,43.1,981.0,168.0,59.5,43.4,402.0,82.3,58.7,734.0,27.0,3.7,32.0,0.7,17.6,Championship 2019-2020,championship,2019-2020,2019
Augsburg,3,34.0,71,1.0,2.0,8.0,2.0,60.8,0.32,-8.2,-0.24,178.0,491.0,36.3,848.0,143.0,41.2,36.9,276.0,51.4,42.4,470.0,16.0,3.4,26.0,0.76,13.7,Bundesliga 2018-2019,bundesliga,2018-2019,2018
Bayern Munich,2,34.0,32,5.0,1.0,3.0,1.0,29.7,0.32,-1.3,-0.04,110.0,261.0,42.1,1012.0,170.0,23.1,26.6,165.0,16.4,30.9,249.0,10.0,4.0,52.0,1.53,17.5,Bundesliga 2018-2019,bundesliga,2018-2019,2018
Dortmund,2,34.0,44,4.0,1.0,7.0,0.0,41.5,0.29,-2.5,-0.07,146.0,447.0,32.7,903.0,177.0,32.9,31.0,235.0,63.8,48.4,458.0,19.0,4.1,38.0,1.12,12.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
Düsseldorf,2,34.0,65,7.0,1.0,7.0,0.0,56.9,0.3,-8.1,-0.24,233.0,582.0,40.0,715.0,152.0,43.5,36.7,328.0,82.6,54.5,553.0,30.0,5.4,6.0,0.18,9.2,Bundesliga 2018-2019,bundesliga,2018-2019,2018
Eint Frankfurt,2,34.0,48,1.0,1.0,5.0,1.0,44.1,0.27,-2.9,-0.09,350.0,745.0,47.0,1023.0,107.0,53.6,44.6,236.0,83.5,56.8,457.0,20.0,4.4,37.0,1.09,9.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
Freiburg,2,34.0,61,7.0,0.0,11.0,0.0,58.1,0.31,-2.9,-0.09,263.0,647.0,40.6,964.0,143.0,39.7,36.7,335.0,78.8,59.2,552.0,13.0,2.4,29.0,0.85,14.8,Bundesliga 2018-2019,bundesliga,2018-2019,2018
Gladbach,1,34.0,42,3.0,0.0,3.0,0.0,48.2,0.3,6.2,0.18,174.0,465.0,37.4,1338.0,190.0,26.3,30.5,264.0,42.8,40.0,458.0,26.0,5.7,33.0,0.97,13.8,Bundesliga 2018-2019,bundesliga,2018-2019,2018
Hannover 96,3,34.0,71,6.0,1.0,10.0,1.0,65.1,0.27,-4.9,-0.14,310.0,633.0,49.0,982.0,150.0,45.9,32.0,310.0,58.7,43.4,569.0,26.0,4.6,42.0,1.24,3.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
Hertha BSC,2,34.0,57,4.0,1.0,6.0,2.0,52.1,0.3,-2.9,-0.08,369.0,836.0,44.1,967.0,104.0,58.1,40.8,309.0,88.7,57.5,536.0,33.0,6.2,30.0,0.88,14.2,Bundesliga 2018-2019,bundesliga,2018-2019,2018
Hoffenheim,2,34.0,52,7.0,1.0,4.0,1.0,49.1,0.25,-1.9,-0.06,178.0,424.0,42.0,1073.0,194.0,29.8,44.6,253.0,41.1,39.8,462.0,15.0,3.2,60.0,1.76,15.5,Bundesliga 2018-2019,bundesliga,2018-2019,2018
Leverkusen,2,34.0,52,4.0,2.0,10.0,3.0,43.0,0.27,-6.0,-0.18,211.0,476.0,44.3,1214.0,169.0,30.1,40.5,207.0,53.1,42.0,424.0,11.0,2.6,53.0,1.56,10.9,Bundesliga 2018-2019,bundesliga,2018-2019,2018
Mainz 05,2,34.0,57,3.0,1.0,8.0,0.0,51.9,0.29,-5.1,-0.15,203.0,596.0,34.1,881.0,160.0,41.7,36.1,293.0,78.2,56.7,522.0,22.0,4.2,37.0,1.09,14.5,Bundesliga 2018-2019,bundesliga,2018-2019,2018
Nürnberg,2,34.0,68,2.0,1.0,7.0,2.0,53.5,0.29,-12.5,-0.37,231.0,661.0,34.9,1017.0,138.0,44.1,39.0,337.0,62.9,49.8,633.0,10.0,1.6,20.0,0.59,9.6,Bundesliga 2018-2019,bundesliga,2018-2019,2018
RB Leipzig,2,34.0,29,5.0,1.0,4.0,1.0,39.7,0.29,11.7,0.34,241.0,598.0,40.3,822.0,128.0,50.0,39.6,229.0,81.7,55.7,389.0,16.0,4.1,59.0,1.74,19.5,Bundesliga 2018-2019,bundesliga,2018-2019,2018
Schalke 04,2,34.0,55,5.0,1.0,4.0,1.0,52.7,0.29,-1.3,-0.04,216.0,507.0,42.6,779.0,127.0,42.2,36.4,254.0,70.1,49.8,427.0,21.0,4.9,32.0,0.94,14.7,Bundesliga 2018-2019,bundesliga,2018-2019,2018
Stuttgart,1,34.0,70,2.0,2.0,7.0,4.0,56.4,0.31,-9.6,-0.28,259.0,714.0,36.3,911.0,129.0,55.4,40.3,305.0,68.5,52.7,518.0,22.0,4.2,41.0,1.21,14.7,Bundesliga 2018-2019,bundesliga,2018-2019,2018
Werder Bremen,3,34.0,49,4.0,2.0,5.0,0.0,48.6,0.29,-0.4,-0.01,213.0,501.0,42.5,941.0,169.0,36.1,28.5,310.0,51.9,43.1,510.0,13.0,2.5,25.0,0.74,12.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
Wolfsburg,2,34.0,50,4.0,3.0,1.0,0.0,51.9,0.31,1.9,0.06,261.0,560.0,46.6,1251.0,186.0,32.5,34.0,275.0,56.0,46.6,530.0,24.0,4.5,28.0,0.82,10.9,Bundesliga 2018-2019,bundesliga,2018-2019,2018
Arsenal,2,38.0,51,7.0,1.0,3.0,1.0,53.5,0.26,3.5,0.09,159.0,478.0,33.3,1093.0,227.0,29.2,31.7,280.0,56.8,45.5,489.0,16.0,3.3,48.0,1.26,12.9,Premier League 2018-2019,premier league,2018-2019,2018
Bournemouth,3,38.0,70,5.0,2.0,6.0,3.0,55.2,0.3,-11.8,-0.31,191.0,512.0,37.3,744.0,203.0,40.9,36.6,318.0,65.4,48.7,596.0,28.0,4.7,30.0,0.79,14.3,Premier League 2018-2019,premier league,2018-2019,2018
Brighton,2,38.0,60,10.0,1.0,5.0,0.0,55.9,0.28,-4.1,-0.11,328.0,822.0,39.9,776.0,109.0,62.8,42.7,358.0,93.6,59.4,561.0,20.0,3.6,13.0,0.34,11.6,Premier League 2018-2019,premier league,2018-2019,2018
Burnley,2,38.0,68,2.0,2.0,8.0,4.0,58.0,0.28,-6.0,-0.16,381.0,957.0,39.8,848.0,95.0,74.6,48.2,353.0,91.8,63.0,643.0,14.0,2.2,43.0,1.13,16.4,Premier League 2018-2019,premier league,2018-2019,2018
Cardiff City,1,38.0,69,4.0,1.0,12.0,0.0,68.2,0.3,-0.8,-0.02,337.0,1076.0,31.3,876.0,51.0,86.6,53.9,319.0,99.4,65.6,536.0,15.0,2.8,46.0,1.21,15.4,Premier League 2018-2019,premier league,2018-2019,2018
Chelsea,2,38.0,39,1.0,0.0,6.0,0.0,36.8,0.28,-2.2,-0.06,123.0,250.0,49.2,950.0,165.0,15.9,25.9,272.0,36.4,37.1,395.0,16.0,4.1,35.0,0.92,18.1,Premier League 2018-2019,premier league,2018-2019,2018
Crystal Palace,3,38.0,53,4.0,1.0,7.0,1.0,46.7,0.26,-5.3,-0.14,245.0,769.0,31.9,793.0,159.0,58.6,43.6,347.0,87.6,60.4,635.0,27.0,4.3,25.0,0.66,13.6,Premier League 2018-2019,premier league,2018-2019,2018
Everton,1,38.0,46,2.0,2.0,9.0,2.0,45.3,0.3,1.3,0.03,253.0,724.0,34.9,979.0,152.0,54.0,42.3,291.0,67.0,53.7,431.0,14.0,3.2,40.0,1.05,17.3,Premier League 2018-2019,premier league,2018-2019,2018
Fulham,3,38.0,81,5.0,1.0,10.0,2.0,72.4,0.3,-6.6,-0.17,332.0,777.0,42.7,834.0,137.0,57.7,37.3,356.0,83.1,54.8,629.0,9.0,1.4,42.0,1.11,16.0,Premier League 2018-2019,premier league,2018-2019,2018
Huddersfield,3,38.0,76,7.0,3.0,7.0,1.0,61.1,0.29,-13.9,-0.37,339.0,815.0,41.6,1062.0,109.0,55.9,40.7,281.0,78.6,56.0,426.0,30.0,7.0,34.0,0.89,13.3,Premier League 2018-2019,premier league,2018-2019,2018
Leicester City,1,38.0,48,5.0,0.0,4.0,0.0,40.0,0.26,-8.0,-0.21,282.0,639.0,44.1,935.0,127.0,44.3,37.7,310.0,72.6,52.3,534.0,12.0,2.2,25.0,0.66,12.5,Premier League 2018-2019,premier league,2018-2019,2018
Liverpool,1,38.0,22,0.0,0.0,5.0,0.0,27.2,0.29,5.2,0.14,129.0,311.0,41.5,1072.0,212.0,20.1,28.8,216.0,44.0,41.3,385.0,16.0,4.2,59.0,1.55,16.6,Premier League 2018-2019,premier league,2018-2019,2018
Manchester City,1,38.0,23,4.0,1.0,5.0,0.0,23.3,0.25,0.3,0.01,98.0,239.0,41.0,919.0,188.0,17.1,26.8,189.0,43.4,42.9,282.0,19.0,6.7,41.0,1.08,16.9,Premier League 2018-2019,premier league,2018-2019,2018
Manchester Utd,1,38.0,54,6.0,2.0,7.0,3.0,49.9,0.26,-1.1,-0.03,265.0,620.0,42.7,769.0,153.0,46.6,38.2,332.0,78.9,54.6,524.0,9.0,1.7,25.0,0.66,13.4,Premier League 2018-2019,premier league,2018-2019,2018
Newcastle Utd,1,38.0,48,6.0,2.0,9.0,1.0,42.3,0.27,-4.7,-0.12,250.0,708.0,35.3,850.0,140.0,51.1,38.9,323.0,84.8,57.9,651.0,43.0,6.6,33.0,0.87,12.0,Premier League 2018-2019,premier league,2018-2019,2018
Southampton,3,38.0,65,2.0,0.0,6.0,3.0,54.0,0.3,-8.0,-0.21,213.0,714.0,29.8,709.0,103.0,65.6,42.8,287.0,86.8,58.8,546.0,20.0,3.7,29.0,0.76,11.6,Premier League 2018-2019,premier league,2018-2019,2018
Tottenham,3,38.0,39,3.0,1.0,7.0,3.0,47.7,0.28,11.7,0.31,183.0,464.0,39.4,1089.0,191.0,28.8,24.7,288.0,52.1,43.1,514.0,16.0,3.1,40.0,1.05,15.4,Premier League 2018-2019,premier league,2018-2019,2018
Watford,1,38.0,59,4.0,2.0,6.0,3.0,55.5,0.3,-0.5,-0.01,340.0,941.0,36.1,942.0,98.0,69.9,45.9,308.0,91.9,63.2,575.0,31.0,5.4,72.0,1.89,16.9,Premier League 2018-2019,premier league,2018-2019,2018
West Ham,1,38.0,55,4.0,0.0,10.0,1.0,62.7,0.31,8.7,0.23,306.0,825.0,37.1,917.0,155.0,59.0,43.0,309.0,91.9,61.3,554.0,29.0,5.2,16.0,0.42,12.1,Premier League 2018-2019,premier league,2018-2019,2018
Wolves,3,38.0,46,3.0,1.0,6.0,4.0,39.4,0.26,-2.6,-0.07,218.0,552.0,39.5,593.0,105.0,52.4,39.1,291.0,82.8,50.5,508.0,15.0,3.0,18.0,0.47,12.1,Premier League 2018-2019,premier league,2018-2019,2018
Alavés,2,38.0,50,6.0,3.0,2.0,2.0,52.6,0.29,4.6,0.12,325.0,794.0,40.9,805.0,98.0,61.6,48.9,337.0,88.4,57.0,632.0,21.0,3.3,42.0,1.11,8.6,La Liga 2018-2019,la liga,2018-2019,2018
Athletic Club,2,38.0,45,5.0,0.0,6.0,0.0,42.8,0.32,-2.2,-0.06,358.0,825.0,43.4,901.0,123.0,64.9,36.7,264.0,90.9,62.7,508.0,22.0,4.3,36.0,0.95,11.1,La Liga 2018-2019,la liga,2018-2019,2018
Atlético Madrid,2,38.0,29,5.0,0.0,4.0,2.0,42.3,0.28,15.3,0.4,220.0,596.0,36.9,583.0,104.0,56.6,33.3,302.0,88.1,57.2,555.0,22.0,4.0,16.0,0.42,,La Liga 2018-2019,la liga,2018-2019,2018
Barcelona,2,38.0,36,2.0,0.0,2.0,1.0,40.4,0.3,5.4,0.14,125.0,244.0,51.2,970.0,211.0,15.7,27.3,224.0,41.1,37.8,440.0,8.0,1.8,38.0,1.0,16.2,La Liga 2018-2019,la liga,2018-2019,2018
Betis,2,38.0,52,4.0,2.0,8.0,0.0,51.5,0.31,-0.5,-0.01,128.0,337.0,38.0,1153.0,195.0,20.3,30.6,276.0,37.3,36.8,466.0,25.0,5.4,58.0,1.53,18.7,La Liga 2018-2019,la liga,2018-2019,2018
Celta Vigo,2,38.0,62,6.0,4.0,5.0,1.0,59.7,0.32,-1.3,-0.03,257.0,669.0,38.4,925.0,161.0,44.3,38.0,348.0,74.4,55.1,581.0,20.0,3.4,37.0,0.97,15.6,La Liga 2018-2019,la liga,2018-2019,2018
Eibar,2,38.0,50,3.0,2.0,3.0,1.0,44.1,0.31,-4.9,-0.13,325.0,855.0,38.0,912.0,108.0,69.4,44.6,235.0,94.5,66.5,403.0,20.0,5.0,84.0,2.21,18.1,La Liga 2018-2019,la liga,2018-2019,2018
Espanyol,1,38.0,50,6.0,5.0,7.0,2.0,51.8,0.27,3.8,0.1,226.0,562.0,40.2,868.0,133.0,39.9,35.4,333.0,64.9,47.6,674.0,24.0,3.6,19.0,0.5,12.3,La Liga 2018-2019,la liga,2018-2019,2018
Getafe,2,38.0,35,4.0,1.0,2.0,2.0,40.1,0.26,7.1,0.19,359.0,963.0,37.3,832.0,52.0,83.5,50.3,282.0,95.0,59.3,475.0,20.0,4.2,38.0,1.0,15.5,La Liga 2018-2019,la liga,2018-2019,2018
Girona,2,38.0,53,8.0,2.0,6.0,2.0,61.0,0.27,10.0,0.26,223.0,578.0,38.6,896.0,177.0,40.5,38.2,328.0,65.5,48.4,554.0,19.0,3.4,27.0,0.71,9.6,La Liga 2018-2019,la liga,2018-2019,2018
Huesca,3,38.0,65,9.0,2.0,1.0,3.0,61.5,0.31,-0.5,-0.01,332.0,851.0,39.0,782.0,75.0,71.9,51.2,310.0,93.2,61.9,525.0,7.0,1.3,12.0,0.32,11.6,La Liga 2018-2019,la liga,2018-2019,2018
Leganés,2,38.0,43,3.0,2.0,3.0,1.0,43.2,0.3,1.2,0.03,344.0,834.0,41.2,894.0,112.0,63.0,39.8,307.0,88.3,60.3,585.0,28.0,4.8,30.0,0.79,15.7,La Liga 2018-2019,la liga,2018-2019,2018
Levante,3,38.0,66,8.0,1.0,6.0,2.0,68.9,0.27,4.9,0.13,207.0,577.0,35.9,662.0,184.0,48.2,40.5,394.0,65.5,47.8,595.0,19.0,3.2,32.0,0.84,11.8,La Liga 2018-2019,la liga,2018-2019,2018
Rayo Vallecano,2,38.0,70,7.0,0.0,10.0,1.0,65.8,0.3,-3.2,-0.08,240.0,581.0,41.3,887.0,197.0,44.2,37.2,306.0,61.8,46.5,574.0,13.0,2.3,35.0,0.92,15.5,La Liga 2018-2019,la liga,2018-2019,2018
Real Madrid,3,38.0,46,6.0,0.0,6.0,0.0,47.9,0.31,1.9,0.05,126.0,363.0,34.7,923.0,233.0,27.1,32.3,256.0,44.1,42.5,400.0,26.0,6.5,38.0,1.0,14.2,La Liga 2018-2019,la liga,2018-2019,2018
Real Sociedad,2,38.0,46,2.0,1.0,11.0,2.0,39.9,0.27,-4.1,-0.11,218.0,556.0,39.2,1156.0,142.0,31.2,31.5,295.0,66.1,47.7,590.0,28.0,4.7,52.0,1.37,17.8,La Liga 2018-2019,la liga,2018-2019,2018
Sevilla,3,38.0,47,6.0,2.0,4.0,0.0,50.3,0.28,3.3,0.09,191.0,630.0,30.3,875.0,216.0,45.8,40.2,294.0,77.9,55.3,539.0,30.0,5.6,30.0,0.79,20.7,La Liga 2018-2019,la liga,2018-2019,2018
Valencia,2,38.0,35,7.0,2.0,6.0,2.0,42.4,0.23,9.4,0.25,186.0,548.0,33.9,635.0,176.0,46.6,35.1,305.0,82.6,57.1,620.0,14.0,2.3,18.0,0.47,12.5,La Liga 2018-2019,la liga,2018-2019,2018
Valladolid,2,38.0,51,6.0,1.0,8.0,1.0,53.2,0.29,3.2,0.08,269.0,842.0,31.9,900.0,172.0,59.1,42.4,347.0,89.3,60.6,614.0,20.0,3.3,14.0,0.37,11.2,La Liga 2018-2019,la liga,2018-2019,2018
Villarreal,2,38.0,52,3.0,2.0,5.0,3.0,55.8,0.28,6.8,0.18,227.0,532.0,42.7,708.0,154.0,45.9,39.2,303.0,68.3,50.6,677.0,23.0,3.4,36.0,0.95,11.8,La Liga 2018-2019,la liga,2018-2019,2018
Atalanta,3,38.0,46,4.0,3.0,6.0,3.0,39.4,0.27,-3.6,-0.1,187.0,457.0,40.9,800.0,173.0,31.0,50.0,272.0,76.8,52.8,448.0,12.0,2.7,49.0,1.29,,Serie A 2018-2019,serie a,2018-2019,2018
Bologna,1,38.0,56,4.0,1.0,4.0,1.0,50.6,0.27,-4.4,-0.11,251.0,543.0,46.2,776.0,225.0,41.1,36.4,353.0,63.5,46.7,599.0,32.0,5.3,14.0,0.37,11.3,Serie A 2018-2019,serie a,2018-2019,2018
Cagliari,1,38.0,54,8.0,2.0,4.0,2.0,61.5,0.26,9.5,0.25,337.0,722.0,46.7,884.0,175.0,48.6,36.9,369.0,79.1,53.6,646.0,25.0,3.9,31.0,0.82,12.8,Serie A 2018-2019,serie a,2018-2019,2018
Chievo,3,38.0,75,2.0,2.0,8.0,2.0,62.5,0.28,-10.5,-0.28,251.0,590.0,42.5,765.0,123.0,46.3,37.1,353.0,66.9,43.7,660.0,19.0,2.9,13.0,0.34,19.7,Serie A 2018-2019,serie a,2018-2019,2018
Empoli,3,38.0,70,6.0,0.0,8.0,2.0,64.5,0.25,-3.5,-0.09,156.0,454.0,34.4,862.0,230.0,35.0,34.3,347.0,43.8,40.6,628.0,23.0,3.7,33.0,0.87,14.7,Serie A 2018-2019,serie a,2018-2019,2018
Fiorentina,3,38.0,45,5.0,1.0,5.0,3.0,37.5,0.22,-4.5,-0.12,184.0,511.0,36.0,877.0,190.0,39.9,38.1,304.0,53.0,42.5,583.0,16.0,2.7,35.0,0.92,9.9,Serie A 2018-2019,serie a,2018-2019,2018
Frosinone,2,38.0,69,5.0,3.0,8.0,1.0,58.4,0.26,-9.6,-0.25,191.0,572.0,33.4,941.0,237.0,37.2,36.1,356.0,62.4,47.6,618.0,23.0,3.7,21.0,0.55,7.0,Serie A 2018-2019,serie a,2018-2019,2018
Genoa,3,38.0,57,5.0,0.0,9.0,2.0,53.5,0.29,-1.5,-0.04,279.0,772.0,36.1,767.0,114.0,62.3,44.2,334.0,88.0,60.0,590.0,14.0,2.4,21.0,0.55,25.0,Serie A 2018-2019,serie a,2018-2019,2018
Inter,1,38.0,33,3.0,1.0,3.0,3.0,33.1,0.24,3.1,0.08,140.0,299.0,46.8,901.0,203.0,21.0,27.3,265.0,41.5,37.1,492.0,16.0,3.3,27.0,0.71,14.5,Serie A 2018-2019,serie a,2018-2019,2018
Juventus,3,38.0,30,2.0,1.0,4.0,1.0,34.5,0.29,5.5,0.14,182.0,344.0,52.9,720.0,167.0,31.3,32.7,287.0,41.5,39.0,489.0,11.0,2.2,30.0,0.79,15.7,Serie A 2018-2019,serie a,2018-2019,2018
Lazio,3,38.0,46,5.0,2.0,5.0,3.0,50.0,0.3,7.0,0.18,192.0,495.0,38.8,916.0,183.0,39.6,27.3,274.0,48.2,41.9,529.0,12.0,2.3,31.0,0.82,16.0,Serie A 2018-2019,serie a,2018-2019,2018
Milan,2,38.0,36,4.0,1.0,5.0,1.0,38.9,0.25,3.9,0.1,160.0,345.0,46.4,963.0,221.0,21.6,32.3,324.0,42.3,36.9,597.0,19.0,3.2,24.0,0.63,11.4,Serie A 2018-2019,serie a,2018-2019,2018
Napoli,3,38.0,36,4.0,1.0,4.0,0.0,34.5,0.22,-1.5,-0.04,100.0,333.0,30.0,781.0,150.0,25.2,32.4,277.0,49.1,41.2,485.0,18.0,3.7,24.0,0.63,14.1,Serie A 2018-2019,serie a,2018-2019,2018
Parma,2,38.0,61,8.0,1.0,8.0,5.0,56.6,0.24,0.6,0.02,324.0,752.0,43.1,773.0,145.0,48.9,39.8,484.0,77.3,51.2,860.0,36.0,4.2,13.0,0.34,9.4,Serie A 2018-2019,serie a,2018-2019,2018
Roma,2,38.0,48,4.0,0.0,7.0,1.0,47.6,0.26,0.6,0.02,214.0,484.0,44.2,879.0,200.0,34.6,35.4,305.0,59.0,46.9,579.0,12.0,2.1,31.0,0.82,13.3,Serie A 2018-2019,serie a,2018-2019,2018
Sampdoria,2,38.0,51,7.0,2.0,6.0,1.0,49.7,0.29,-0.3,-0.01,134.0,394.0,34.0,905.0,189.0,26.4,34.7,311.0,49.8,39.4,606.0,25.0,4.1,49.0,1.29,16.5,Serie A 2018-2019,serie a,2018-2019,2018
Sassuolo,2,38.0,60,4.0,0.0,12.0,2.0,58.0,0.31,0.0,0.0,195.0,473.0,41.2,932.0,168.0,34.9,32.7,315.0,47.0,38.2,623.0,17.0,2.7,29.0,0.76,13.7,Serie A 2018-2019,serie a,2018-2019,2018
SPAL,4,38.0,56,5.0,0.0,10.0,0.0,49.9,0.26,-6.1,-0.16,241.0,593.0,40.6,1012.0,186.0,40.8,37.6,335.0,53.7,43.6,529.0,13.0,2.5,20.0,0.53,12.3,Serie A 2018-2019,serie a,2018-2019,2018
Torino,2,38.0,37,3.0,0.0,5.0,0.0,43.3,0.27,6.3,0.17,311.0,690.0,45.1,881.0,128.0,47.7,41.5,329.0,82.1,50.9,582.0,27.0,4.6,37.0,0.97,12.0,Serie A 2018-2019,serie a,2018-2019,2018
Udinese,2,38.0,53,9.0,0.0,6.0,1.0,55.8,0.27,3.8,0.1,302.0,680.0,44.4,730.0,139.0,49.5,38.6,406.0,78.6,50.0,735.0,19.0,2.6,14.0,0.37,9.8,Serie A 2018-2019,serie a,2018-2019,2018
Amiens,1,38.0,52,6.0,3.0,7.0,2.0,47.9,0.25,-2.1,-0.06,296.0,775.0,38.2,826.0,82.0,59.2,42.7,329.0,86.9,56.7,571.0,14.0,2.5,18.0,0.47,13.7,Ligue 1 2018-2019,ligue 1,2018-2019,2018
Angers,2,38.0,49,3.0,0.0,3.0,2.0,48.3,0.27,1.3,0.03,250.0,608.0,41.1,743.0,191.0,49.7,39.4,307.0,77.9,51.2,565.0,21.0,3.7,35.0,0.92,17.8,Ligue 1 2018-2019,ligue 1,2018-2019,2018
