Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,League,league_name,season,season_start
vs Millwall,26,56.6,46.0,28710.0,2808.0,9237.0,13223.0,6484.0,867.0,28707.0,682.0,412.0,60.4,270.0,39.6,14281.0,81840.0,42492.0,791.0,548.0,201.0,703.0,408.0,17672.0,1763.0,Championship 2019-2020,championship,2019-2020,2019
vs Nott'ham Forest,30,53.7,46.0,27452.0,2688.0,8350.0,12067.0,7342.0,952.0,27448.0,735.0,431.0,58.6,304.0,41.4,14333.0,83028.0,45803.0,893.0,614.0,181.0,664.0,464.0,16737.0,1989.0,Championship 2019-2020,championship,2019-2020,2019
vs Preston,26,48.4,46.0,24186.0,2662.0,8408.0,10163.0,5914.0,870.0,24181.0,665.0,400.0,60.2,265.0,39.8,11440.0,67398.0,33600.0,740.0,539.0,194.0,745.0,428.0,12904.0,1403.0,Championship 2019-2020,championship,2019-2020,2019
vs QPR,29,45.9,46.0,23645.0,2698.0,8271.0,9834.0,5801.0,895.0,23635.0,598.0,330.0,55.2,267.0,44.6,11372.0,65212.0,32239.0,668.0,458.0,216.0,636.0,395.0,13223.0,1391.0,Championship 2019-2020,championship,2019-2020,2019
vs Reading,31,54.1,46.0,28343.0,2551.0,8205.0,13053.0,7368.0,1102.0,28340.0,593.0,351.0,59.2,241.0,40.6,14687.0,82729.0,43517.0,840.0,591.0,225.0,796.0,453.0,17760.0,1939.0,Championship 2019-2020,championship,2019-2020,2019
vs Sheffield Weds,29,52.5,46.0,25655.0,2808.0,8768.0,11749.0,5388.0,802.0,25646.0,628.0,362.0,57.6,267.0,42.5,12828.0,71430.0,34467.0,595.0,432.0,139.0,746.0,518.0,14880.0,1454.0,Championship 2019-2020,championship,2019-2020,2019
vs Stoke City,35,53.3,46.0,27255.0,2731.0,9209.0,12456.0,5849.0,730.0,27250.0,625.0,348.0,55.7,277.0,44.3,13944.0,77151.0,39354.0,695.0,490.0,155.0,767.0,491.0,16535.0,1488.0,Championship 2019-2020,championship,2019-2020,2019
vs Swansea City,29,47.8,46.0,26148.0,2676.0,8368.0,11460.0,6585.0,1002.0,26141.0,633.0,371.0,58.6,262.0,41.4,12553.0,74649.0,39074.0,822.0,557.0,225.0,710.0,448.0,15483.0,1581.0,Championship 2019-2020,championship,2019-2020,2019
vs West Brom,25,45.0,46.0,23761.0,3029.0,8688.0,10052.0,5269.0,690.0,23756.0,622.0,372.0,59.8,250.0,40.2,11496.0,64943.0,33341.0,632.0,475.0,125.0,703.0,408.0,13179.0,1294.0,Championship 2019-2020,championship,2019-2020,2019
vs Wigan Athletic,30,52.3,46.0,25350.0,2756.0,8303.0,10802.0,6490.0,938.0,25349.0,712.0,418.0,58.7,294.0,41.3,12732.0,71386.0,36515.0,698.0,499.0,166.0,731.0,455.0,14826.0,1670.0,Championship 2019-2020,championship,2019-2020,2019
vs Augsburg,30,53.6,34.0,21714.0,2022.0,6581.0,10563.0,4785.0,807.0,21712.0,515.0,277.0,53.8,238.0,46.2,11658.0,65306.0,33865.0,645.0,458.0,165.0,532.0,353.0,13759.0,1434.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
vs Bayern Munich,24,34.3,34.0,16217.0,2750.0,6971.0,6783.0,2641.0,315.0,16211.0,410.0,245.0,59.8,165.0,40.2,7909.0,45003.0,23184.0,391.0,305.0,79.0,431.0,300.0,9101.0,762.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
vs Dortmund,23,41.9,34.0,19596.0,2043.0,6435.0,9148.0,4204.0,573.0,19591.0,402.0,221.0,55.0,181.0,45.0,9950.0,56112.0,28988.0,520.0,393.0,93.0,524.0,316.0,12262.0,1280.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
vs Düsseldorf,24,56.8,34.0,23359.0,1704.0,5758.0,12392.0,5447.0,759.0,23352.0,621.0,371.0,59.7,250.0,40.3,13759.0,78925.0,43643.0,812.0,585.0,147.0,521.0,375.0,16091.0,1648.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
vs Eint Frankfurt,30,52.8,34.0,21210.0,2191.0,6959.0,9916.0,4551.0,752.0,21209.0,539.0,306.0,56.8,233.0,43.2,10642.0,60057.0,30891.0,614.0,447.0,160.0,562.0,365.0,12748.0,1361.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
vs Freiburg,28,56.1,34.0,22783.0,1886.0,6400.0,11214.0,5414.0,757.0,22776.0,503.0,290.0,57.7,213.0,42.3,12850.0,73040.0,39192.0,751.0,578.0,141.0,500.0,357.0,15412.0,1527.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
vs Gladbach,22,46.9,34.0,20727.0,1995.0,6195.0,10351.0,4372.0,717.0,20724.0,466.0,268.0,57.5,198.0,42.5,11657.0,66067.0,35674.0,665.0,431.0,155.0,435.0,300.0,13788.0,1319.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
vs Hannover 96,32,53.7,34.0,21623.0,1736.0,5882.0,10479.0,5462.0,865.0,21616.0,628.0,366.0,58.3,262.0,41.7,11504.0,66890.0,37092.0,810.0,493.0,170.0,562.0,321.0,13616.0,1521.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
vs Hertha BSC,26,52.1,34.0,21371.0,1825.0,5981.0,10717.0,4875.0,771.0,21365.0,451.0,273.0,60.5,178.0,39.5,11233.0,64879.0,33881.0,613.0,431.0,157.0,491.0,360.0,13552.0,1480.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
vs Hoffenheim,29,46.2,34.0,19579.0,2221.0,6153.0,9033.0,4650.0,771.0,19572.0,528.0,322.0,61.0,206.0,39.0,10074.0,62328.0,35006.0,732.0,505.0,166.0,495.0,365.0,11891.0,1337.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
vs Leverkusen,21,40.2,34.0,18562.0,2084.0,5901.0,8783.0,4095.0,614.0,18556.0,544.0,313.0,57.5,230.0,42.3,9424.0,52111.0,26902.0,584.0,447.0,146.0,495.0,353.0,10682.0,1174.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
vs Mainz 05,28,53.9,34.0,22322.0,2226.0,7316.0,10328.0,4867.0,773.0,22318.0,467.0,247.0,52.9,220.0,47.1,12111.0,65313.0,34106.0,675.0,480.0,139.0,529.0,308.0,14262.0,1431.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
vs Nürnberg,27,57.6,34.0,23344.0,1675.0,5565.0,12022.0,5958.0,846.0,23340.0,560.0,307.0,54.8,253.0,45.2,13395.0,76124.0,42546.0,832.0,675.0,162.0,477.0,298.0,15994.0,1851.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
vs RB Leipzig,23,50.4,34.0,21381.0,2233.0,7817.0,9980.0,3783.0,522.0,21375.0,580.0,298.0,51.4,282.0,48.6,10481.0,55013.0,27452.0,433.0,302.0,103.0,582.0,375.0,12691.0,1145.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
vs Schalke 04,32,54.6,34.0,21390.0,2053.0,7000.0,10183.0,4431.0,601.0,21384.0,594.0,343.0,57.7,251.0,42.3,11181.0,62533.0,33227.0,624.0,433.0,112.0,503.0,380.0,13677.0,1309.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
vs Stuttgart,26,54.2,34.0,22125.0,1862.0,6385.0,10784.0,5154.0,790.0,22122.0,476.0,272.0,57.1,204.0,42.9,11693.0,67098.0,36498.0,716.0,481.0,157.0,540.0,372.0,14201.0,1447.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
vs Werder Bremen,24,48.0,34.0,20805.0,2142.0,6300.0,10119.0,4614.0,742.0,20800.0,554.0,337.0,60.8,216.0,39.0,10757.0,63634.0,34089.0,687.0,495.0,139.0,508.0,333.0,12772.0,1308.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
vs Wolfsburg,25,46.7,34.0,18994.0,1935.0,5784.0,8647.0,4789.0,685.0,18989.0,505.0,286.0,56.6,219.0,43.4,9280.0,56900.0,30488.0,693.0,503.0,171.0,548.0,323.0,11165.0,1354.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
vs Arsenal,28,41.9,38.0,20743.0,2232.0,6287.0,9435.0,5238.0,832.0,20736.0,537.0,307.0,57.2,228.0,42.5,10747.0,58396.0,30164.0,683.0,495.0,184.0,551.0,380.0,12212.0,1265.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Bournemouth,28,53.1,38.0,24695.0,2164.0,6511.0,11786.0,6614.0,916.0,24690.0,494.0,278.0,56.3,216.0,43.7,13627.0,72502.0,37072.0,741.0,582.0,203.0,551.0,309.0,15971.0,1652.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Brighton,21,57.6,38.0,26121.0,1782.0,6315.0,12989.0,7048.0,973.0,26111.0,582.0,318.0,54.6,264.0,45.4,14786.0,81420.0,45177.0,845.0,676.0,196.0,548.0,415.0,17547.0,1815.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Burnley,23,58.8,38.0,25526.0,2181.0,7421.0,11647.0,6656.0,1065.0,25523.0,539.0,302.0,56.0,237.0,44.0,14232.0,77331.0,42340.0,917.0,592.0,247.0,548.0,347.0,16502.0,1710.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Cardiff City,25,64.6,38.0,26490.0,2114.0,7085.0,13042.0,6588.0,995.0,26484.0,607.0,366.0,60.3,241.0,39.7,14676.0,82808.0,44834.0,872.0,646.0,232.0,631.0,414.0,17425.0,1711.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Chelsea,24,37.1,38.0,20301.0,2645.0,7508.0,8559.0,4459.0,609.0,20300.0,541.0,300.0,55.5,241.0,44.5,10700.0,54769.0,25744.0,501.0,394.0,133.0,542.0,377.0,12010.0,1116.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Crystal Palace,26,54.8,38.0,25658.0,2115.0,6318.0,12495.0,7063.0,865.0,25653.0,590.0,309.0,52.4,281.0,47.6,14615.0,77347.0,41997.0,827.0,662.0,144.0,642.0,452.0,16640.0,1879.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Everton,23,48.5,38.0,22290.0,2294.0,7169.0,10332.0,5017.0,712.0,22285.0,512.0,291.0,56.8,219.0,42.8,11609.0,63158.0,33311.0,598.0,428.0,154.0,575.0,478.0,13052.0,1351.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Fulham,28,51.2,38.0,24767.0,2137.0,6782.0,11798.0,6404.0,1026.0,24761.0,524.0,300.0,57.3,224.0,42.7,13459.0,71206.0,38700.0,816.0,572.0,253.0,582.0,372.0,15968.0,1703.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Huddersfield,31,52.8,38.0,24854.0,2275.0,7026.0,12324.0,5712.0,824.0,24846.0,625.0,362.0,57.9,263.0,42.1,13507.0,69842.0,36344.0,742.0,550.0,194.0,610.0,445.0,15783.0,1578.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Leicester City,25,49.1,38.0,22968.0,2257.0,6476.0,10998.0,5737.0,762.0,22963.0,549.0,312.0,56.8,237.0,43.2,12096.0,65794.0,35124.0,695.0,568.0,150.0,616.0,438.0,14021.0,1446.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Liverpool,23,38.2,38.0,20290.0,2764.0,7668.0,9007.0,3810.0,543.0,20288.0,556.0,305.0,54.9,251.0,45.1,9974.0,52218.0,26589.0,528.0,354.0,128.0,529.0,362.0,11479.0,1034.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Manchester City,21,32.1,38.0,17804.0,3065.0,7668.0,7290.0,3036.0,418.0,17800.0,468.0,274.0,58.5,193.0,41.2,8570.0,45375.0,21716.0,410.0,322.0,83.0,453.0,325.0,9885.0,799.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Manchester Utd,28,45.3,38.0,21891.0,2268.0,6534.0,9903.0,5693.0,852.0,21885.0,544.0,304.0,55.9,240.0,44.1,11892.0,67385.0,36529.0,748.0,590.0,196.0,516.0,341.0,13324.0,1322.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Newcastle Utd,24,59.6,38.0,27393.0,2065.0,6557.0,14103.0,6959.0,940.0,27387.0,565.0,324.0,57.3,241.0,42.7,15185.0,81384.0,42957.0,811.0,635.0,164.0,596.0,471.0,18329.0,1849.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Southampton,30,56.6,38.0,25423.0,2252.0,7439.0,12055.0,6128.0,953.0,25420.0,648.0,369.0,56.9,278.0,42.9,13719.0,69890.0,36405.0,702.0,530.0,194.0,589.0,420.0,16129.0,1564.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Tottenham,28,41.0,38.0,20494.0,2362.0,6675.0,9034.0,4992.0,747.0,20489.0,577.0,309.0,53.6,268.0,46.4,10494.0,56237.0,27757.0,597.0,453.0,173.0,591.0,359.0,11755.0,1183.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Watford,25,53.3,38.0,24096.0,2196.0,6862.0,11288.0,6170.0,891.0,24091.0,622.0,365.0,58.7,257.0,41.3,13101.0,69001.0,35925.0,762.0,619.0,193.0,544.0,399.0,15004.0,1585.0,Premier League 2018-2019,premier league,2018-2019,2018
vs West Ham,26,51.4,38.0,23872.0,2096.0,6281.0,11624.0,6237.0,915.0,23867.0,697.0,402.0,57.7,295.0,42.3,13118.0,74524.0,41343.0,853.0,679.0,204.0,522.0,428.0,15259.0,1767.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Wolves,21,53.2,38.0,25401.0,2092.0,6439.0,12980.0,6198.0,732.0,25397.0,665.0,381.0,57.3,283.0,42.6,14268.0,74563.0,38469.0,750.0,624.0,150.0,559.0,436.0,16643.0,1562.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Alavés,26,57.3,38.0,23524.0,2023.0,6609.0,11133.0,6010.0,864.0,23518.0,595.0,341.0,57.3,254.0,42.7,12837.0,71687.0,38638.0,714.0,535.0,173.0,587.0,392.0,14794.0,1825.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Athletic Club,27,50.0,38.0,21677.0,2176.0,6972.0,9852.0,5095.0,657.0,21672.0,646.0,401.0,62.1,245.0,37.9,11399.0,64793.0,34279.0,677.0,536.0,124.0,525.0,398.0,13185.0,1309.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Atlético Madrid,29,50.8,38.0,23808.0,2256.0,7066.0,11384.0,5594.0,638.0,23803.0,701.0,381.0,54.4,319.0,45.5,12723.0,68078.0,34834.0,662.0,596.0,112.0,531.0,465.0,15622.0,1645.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Barcelona,30,35.6,38.0,18710.0,2299.0,6567.0,8133.0,4232.0,651.0,18708.0,492.0,266.0,54.1,226.0,45.9,9990.0,55948.0,27555.0,558.0,431.0,149.0,488.0,311.0,11102.0,1081.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Betis,25,38.2,38.0,17994.0,2061.0,5784.0,7874.0,4579.0,698.0,17988.0,544.0,325.0,59.7,219.0,40.3,9473.0,53519.0,27264.0,577.0,460.0,176.0,483.0,396.0,10516.0,1139.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Celta Vigo,28,48.4,38.0,21502.0,1931.0,6001.0,10013.0,5698.0,818.0,21495.0,563.0,304.0,54.0,258.0,45.8,11699.0,65154.0,33864.0,721.0,507.0,179.0,497.0,376.0,13520.0,1488.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Eibar,25,46.0,38.0,20644.0,2765.0,8817.0,8410.0,3621.0,574.0,20640.0,564.0,323.0,57.3,240.0,42.6,9346.0,48705.0,23172.0,459.0,292.0,143.0,614.0,397.0,10819.0,1058.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Espanyol,25,50.6,38.0,22224.0,2083.0,6393.0,10123.0,5959.0,842.0,22216.0,684.0,421.0,61.5,263.0,38.5,12180.0,70682.0,38150.0,799.0,670.0,201.0,511.0,392.0,14132.0,1572.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Getafe,26,59.3,38.0,23942.0,2119.0,7657.0,11542.0,4958.0,653.0,23935.0,617.0,362.0,58.7,255.0,41.3,12434.0,64651.0,32408.0,525.0,427.0,114.0,644.0,349.0,14591.0,1373.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Girona,26,52.0,38.0,22861.0,2037.0,6445.0,10613.0,6045.0,878.0,22853.0,636.0,372.0,58.5,264.0,41.5,13030.0,73146.0,38763.0,809.0,633.0,221.0,529.0,349.0,14575.0,1602.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Huesca,30,55.5,38.0,23013.0,2157.0,6857.0,10824.0,5607.0,817.0,23004.0,694.0,391.0,56.3,303.0,43.7,12510.0,72482.0,39118.0,768.0,545.0,180.0,560.0,409.0,14442.0,1562.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Leganés,29,56.9,38.0,24519.0,2052.0,7018.0,11921.0,5784.0,621.0,24515.0,581.0,354.0,60.9,227.0,39.1,13630.0,72819.0,38237.0,705.0,584.0,117.0,553.0,382.0,16119.0,1585.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Levante,26,54.3,38.0,22279.0,2097.0,6482.0,9992.0,6067.0,1055.0,22271.0,722.0,458.0,63.4,264.0,36.6,12412.0,70897.0,38827.0,868.0,675.0,239.0,503.0,308.0,13867.0,1542.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Rayo Vallecano,29,51.3,38.0,21765.0,1997.0,6057.0,10258.0,5680.0,878.0,21754.0,594.0,335.0,56.4,257.0,43.3,11743.0,64755.0,33481.0,660.0,480.0,178.0,540.0,394.0,13334.0,1543.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Real Madrid,27,39.9,38.0,20119.0,2534.0,7038.0,8853.0,4451.0,600.0,20111.0,629.0,384.0,61.0,245.0,39.0,10572.0,59592.0,31122.0,615.0,469.0,146.0,479.0,381.0,12379.0,1150.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Real Sociedad,30,48.3,38.0,21608.0,1970.0,6395.0,9916.0,5513.0,793.0,21605.0,584.0,336.0,57.5,248.0,42.5,11225.0,60435.0,29235.0,657.0,491.0,188.0,548.0,331.0,13244.0,1393.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Sevilla,27,47.7,38.0,21477.0,2377.0,6907.0,9765.0,5034.0,668.0,21470.0,513.0,310.0,60.4,203.0,39.6,11828.0,65430.0,34826.0,696.0,566.0,148.0,491.0,395.0,13106.0,1400.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Valencia,25,52.9,38.0,24319.0,2201.0,7084.0,11322.0,6165.0,769.0,24311.0,588.0,350.0,59.5,238.0,40.5,14035.0,74539.0,39549.0,791.0,590.0,159.0,482.0,360.0,16278.0,1621.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Valladolid,28,53.2,38.0,22717.0,1949.0,6123.0,11039.0,5804.0,786.0,22708.0,678.0,398.0,58.7,280.0,41.3,12553.0,71910.0,39412.0,800.0,607.0,128.0,569.0,434.0,14502.0,1631.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Villarreal,26,51.7,38.0,23247.0,2035.0,6768.0,10714.0,6016.0,858.0,23242.0,659.0,386.0,58.6,273.0,41.4,12774.0,71386.0,38191.0,753.0,575.0,158.0,501.0,394.0,15061.0,1549.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Atalanta,27,42.7,38.0,20928.0,2572.0,7133.0,9697.0,4343.0,551.0,20923.0,577.0,308.0,53.4,268.0,46.4,10931.0,60224.0,30863.0,595.0,426.0,121.0,592.0,369.0,12251.0,1213.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Bologna,29,55.1,38.0,24129.0,2112.0,6640.0,11724.0,6042.0,762.0,24125.0,632.0,369.0,58.4,262.0,41.5,13905.0,76621.0,42272.0,769.0,652.0,145.0,564.0,427.0,15869.0,1611.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Cagliari,30,50.2,38.0,23353.0,2218.0,7500.0,10377.0,5715.0,908.0,23343.0,524.0,313.0,59.7,211.0,40.3,12942.0,70836.0,38270.0,828.0,540.0,198.0,577.0,392.0,14914.0,1582.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Chievo,36,56.7,38.0,25861.0,2020.0,6986.0,12732.0,6426.0,894.0,25857.0,605.0,353.0,58.3,252.0,41.7,14735.0,81494.0,42726.0,851.0,644.0,171.0,565.0,371.0,17678.0,1755.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Empoli,29,52.1,38.0,24215.0,2162.0,6600.0,11614.0,6253.0,892.0,24207.0,511.0,294.0,57.5,216.0,42.3,13672.0,79406.0,43741.0,888.0,673.0,178.0,512.0,336.0,16362.0,1634.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Fiorentina,27,49.6,38.0,21229.0,2368.0,6739.0,9698.0,5037.0,634.0,21223.0,470.0,271.0,57.7,198.0,42.1,11771.0,65376.0,34489.0,695.0,544.0,118.0,565.0,393.0,12765.0,1339.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Frosinone,33,58.5,38.0,26455.0,1994.0,6435.0,13125.0,7143.0,871.0,26450.0,530.0,317.0,59.8,213.0,40.2,16042.0,86395.0,48552.0,1033.0,805.0,180.0,561.0,358.0,18398.0,1794.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Genoa,31,56.6,38.0,24636.0,2362.0,7449.0,11482.0,5918.0,762.0,24630.0,542.0,288.0,53.1,253.0,46.7,14432.0,78005.0,41921.0,760.0,577.0,140.0,571.0,417.0,16168.0,1612.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Inter,23,40.6,38.0,20111.0,2831.0,7377.0,8625.0,4356.0,621.0,20106.0,596.0,343.0,57.6,252.0,42.3,11235.0,61791.0,32533.0,639.0,518.0,136.0,501.0,361.0,12173.0,1203.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Juventus,31,44.1,38.0,21149.0,2409.0,6638.0,9818.0,4906.0,550.0,21145.0,453.0,239.0,52.8,214.0,47.2,11991.0,63516.0,33269.0,652.0,591.0,117.0,506.0,357.0,13605.0,1237.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Lazio,30,49.2,38.0,23462.0,2431.0,7053.0,11666.0,4986.0,605.0,23456.0,599.0,319.0,53.3,280.0,46.7,13493.0,72640.0,38747.0,700.0,517.0,127.0,522.0,378.0,15237.0,1441.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Milan,23,45.9,38.0,22039.0,2220.0,6372.0,10492.0,5397.0,695.0,22034.0,560.0,291.0,52.0,268.0,47.9,12449.0,67852.0,35525.0,698.0,546.0,146.0,547.0,373.0,14268.0,1494.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Napoli,26,40.9,38.0,21486.0,2833.0,7906.0,9441.0,4364.0,617.0,21482.0,553.0,330.0,59.7,223.0,40.3,11578.0,61767.0,30633.0,563.0,421.0,109.0,582.0,351.0,13710.0,1231.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Parma,31,62.3,38.0,26537.0,1785.0,5895.0,13032.0,7821.0,1119.0,26529.0,500.0,305.0,61.0,194.0,38.8,16577.0,91958.0,52203.0,1132.0,848.0,223.0,522.0,385.0,18559.0,2142.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Roma,26,48.6,38.0,22351.0,2538.0,7510.0,10104.0,4996.0,699.0,22344.0,479.0,280.0,58.5,197.0,41.1,12614.0,70885.0,39329.0,797.0,550.0,151.0,492.0,336.0,14219.0,1400.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Sampdoria,24,45.1,38.0,21630.0,2298.0,7490.0,9241.0,5167.0,779.0,21622.0,567.0,291.0,51.3,276.0,48.7,11846.0,63208.0,32003.0,720.0,502.0,168.0,549.0,371.0,13304.0,1393.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Sassuolo,29,46.2,38.0,21341.0,2093.0,6470.0,9651.0,5418.0,792.0,21333.0,517.0,301.0,58.2,216.0,41.8,11794.0,63112.0,33002.0,672.0,520.0,167.0,526.0,313.0,13556.0,1407.0,Serie A 2018-2019,serie a,2018-2019,2018
vs SPAL,28,49.6,38.0,21746.0,2090.0,6367.0,10081.0,5542.0,848.0,21741.0,494.0,275.0,55.7,217.0,43.9,12010.0,69488.0,38739.0,739.0,509.0,177.0,505.0,360.0,13960.0,1510.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Torino,25,48.9,38.0,20673.0,2257.0,6441.0,9655.0,4818.0,692.0,20668.0,506.0,280.0,55.3,227.0,44.9,10638.0,59770.0,31393.0,718.0,531.0,148.0,599.0,410.0,11819.0,1296.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Udinese,31,57.4,38.0,24860.0,1910.0,5819.0,12678.0,6586.0,918.0,24851.0,554.0,309.0,55.8,245.0,44.2,14641.0,78232.0,42246.0,813.0,693.0,143.0,600.0,406.0,16636.0,1821.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Amiens,26,53.5,38.0,22865.0,1903.0,6803.0,10896.0,5378.0,753.0,22856.0,611.0,355.0,58.1,256.0,41.9,12066.0,66375.0,35963.0,680.0,545.0,168.0,664.0,373.0,14268.0,1556.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
vs Angers,24,56.7,38.0,26388.0,1979.0,6624.0,14350.0,5652.0,719.0,26383.0,623.0,364.0,58.4,259.0,41.6,15155.0,83451.0,46455.0,816.0,561.0,168.0,613.0,414.0,18159.0,1833.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
vs Bordeaux,33,49.9,38.0,22716.0,1930.0,6431.0,11188.0,5371.0,717.0,22709.0,666.0,370.0,55.6,296.0,44.4,11809.0,67216.0,35140.0,723.0,521.0,136.0,613.0,424.0,14191.0,1461.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
vs Caen,26,56.0,38.0,23834.0,1800.0,6497.0,12054.0,5544.0,760.0,23826.0,621.0,330.0,53.1,291.0,46.9,12646.0,70639.0,38320.0,755.0,538.0,179.0,570.0,418.0,15312.0,1655.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
vs Dijon,26,52.1,38.0,22918.0,2037.0,7158.0,11037.0,4966.0,717.0,22915.0,645.0,384.0,59.5,260.0,40.3,12364.0,68654.0,36644.0,721.0,520.0,161.0,671.0,414.0,14569.0,1517.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
vs Guingamp,30,55.9,38.0,24697.0,2202.0,7402.0,12269.0,5251.0,708.0,24692.0,551.0,276.0,50.1,275.0,49.9,13293.0,72319.0,38960.0,684.0,497.0,140.0,672.0,409.0,15834.0,1647.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
vs Lille,25,48.6,38.0,21494.0,1950.0,6512.0,10522.0,4689.0,644.0,21484.0,583.0,320.0,54.9,263.0,45.1,11421.0,62996.0,33759.0,696.0,478.0,155.0,599.0,365.0,13360.0,1489.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
vs Lyon,25,39.6,38.0,19116.0,2261.0,6398.0,8709.0,4288.0,600.0,19111.0,492.0,261.0,53.0,231.0,47.0,9601.0,57838.0,31283.0,723.0,545.0,158.0,553.0,406.0,10999.0,1098.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
vs Marseille,24,44.8,38.0,20649.0,2313.0,7028.0,9762.0,4046.0,558.0,20637.0,698.0,380.0,54.4,317.0,45.4,10696.0,57671.0,29950.0,577.0,402.0,140.0,580.0,463.0,12345.0,1206.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
