Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,League,league_name,season,season_start
vs Benfica,35,42.0,34.0,17873.0,2665.0,7737.0,7456.0,2894.0,387.0,17869.0,616.0,255.0,41.4,332.0,53.9,9000.0,47114.0,23308.0,441.0,330.0,84.0,608.0,294.0,10380.0,805.0,Primeira Liga 2024-2025,primeira liga,2024-2025,2024
vs Boavista,32,59.7,34.0,22023.0,2070.0,7196.0,10032.0,4992.0,773.0,22017.0,636.0,302.0,47.5,299.0,47.0,12605.0,61060.0,31149.0,522.0,373.0,156.0,517.0,266.0,14811.0,1526.0,Primeira Liga 2024-2025,primeira liga,2024-2025,2024
vs Braga,35,43.2,34.0,18271.0,2377.0,6929.0,8167.0,3389.0,498.0,18268.0,597.0,265.0,44.4,292.0,48.9,9509.0,48364.0,24652.0,435.0,308.0,107.0,525.0,279.0,10934.0,942.0,Primeira Liga 2024-2025,primeira liga,2024-2025,2024
vs Casa Pia,32,53.3,34.0,19745.0,1754.0,5703.0,9188.0,5053.0,689.0,19737.0,490.0,208.0,42.4,258.0,52.7,10791.0,54225.0,27357.0,527.0,400.0,116.0,517.0,239.0,12568.0,1299.0,Primeira Liga 2024-2025,primeira liga,2024-2025,2024
vs Estoril,28,51.1,34.0,19861.0,2027.0,6678.0,9524.0,3886.0,656.0,19853.0,555.0,232.0,41.8,279.0,50.3,10909.0,52106.0,25244.0,509.0,318.0,129.0,570.0,251.0,12419.0,1075.0,Primeira Liga 2024-2025,primeira liga,2024-2025,2024
vs Estrela,40,55.2,34.0,19531.0,1697.0,5906.0,9250.0,4551.0,669.0,19524.0,619.0,263.0,42.5,312.0,50.4,10319.0,50009.0,24643.0,449.0,320.0,108.0,624.0,301.0,12005.0,1206.0,Primeira Liga 2024-2025,primeira liga,2024-2025,2024
vs Famalicão,31,49.6,34.0,18905.0,1983.0,6431.0,8432.0,4230.0,611.0,18900.0,568.0,256.0,45.1,272.0,47.9,10050.0,48680.0,24176.0,415.0,329.0,112.0,542.0,288.0,11607.0,1087.0,Primeira Liga 2024-2025,primeira liga,2024-2025,2024
vs Farense,37,58.7,34.0,20743.0,1911.0,6231.0,9500.0,5245.0,775.0,20735.0,603.0,278.0,46.1,282.0,46.8,11412.0,60858.0,31447.0,610.0,457.0,149.0,575.0,307.0,13062.0,1394.0,Primeira Liga 2024-2025,primeira liga,2024-2025,2024
vs Gil Vicente FC,34,49.4,34.0,19485.0,1801.0,5891.0,8947.0,4826.0,639.0,19478.0,560.0,219.0,39.1,309.0,55.2,10536.0,50071.0,24340.0,458.0,343.0,105.0,537.0,233.0,12423.0,1309.0,Primeira Liga 2024-2025,primeira liga,2024-2025,2024
vs Moreirense,31,52.5,34.0,19858.0,1657.0,6103.0,8981.0,4948.0,659.0,19853.0,552.0,250.0,45.3,275.0,49.8,10753.0,52297.0,26216.0,435.0,334.0,98.0,532.0,272.0,12713.0,1319.0,Primeira Liga 2024-2025,primeira liga,2024-2025,2024
vs Nacional,31,52.5,34.0,18514.0,1871.0,5923.0,8277.0,4509.0,748.0,18503.0,576.0,261.0,45.3,280.0,48.6,9852.0,51310.0,27045.0,524.0,333.0,139.0,521.0,275.0,11235.0,1282.0,Primeira Liga 2024-2025,primeira liga,2024-2025,2024
vs Porto,32,38.3,34.0,15701.0,2205.0,6491.0,6521.0,2837.0,434.0,15693.0,492.0,212.0,43.1,238.0,48.4,7939.0,37554.0,18031.0,332.0,233.0,69.0,500.0,234.0,8993.0,788.0,Primeira Liga 2024-2025,primeira liga,2024-2025,2024
