Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,League,league_name,season,season_start
Werder Bremen,30,34.0,604.0,351.0,303.0,239.0,62.0,312.0,609.0,51.2,297.0,434.0,153.0,281.0,284.0,888.0,785.0,9.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
Wolfsburg,28,34.0,550.0,303.0,272.0,201.0,77.0,262.0,527.0,49.7,265.0,414.0,99.0,315.0,268.0,818.0,801.0,8.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
Arsenal,25,38.0,610.0,348.0,257.0,246.0,107.0,271.0,543.0,49.9,272.0,412.0,106.0,306.0,292.0,902.0,515.0,18.0,Premier League 2023-2024,premier league,2023-2024,2023
Aston Villa,31,38.0,547.0,311.0,269.0,210.0,68.0,260.0,550.0,47.3,290.0,389.0,113.0,276.0,236.0,783.0,597.0,13.0,Premier League 2023-2024,premier league,2023-2024,2023
Bournemouth,30,38.0,693.0,410.0,301.0,281.0,111.0,325.0,688.0,47.2,363.0,504.0,153.0,351.0,357.0,1050.0,817.0,16.0,Premier League 2023-2024,premier league,2023-2024,2023
Brentford,28,38.0,677.0,399.0,349.0,250.0,78.0,317.0,697.0,45.5,380.0,474.0,142.0,332.0,378.0,1055.0,903.0,18.0,Premier League 2023-2024,premier league,2023-2024,2023
Brighton,30,38.0,644.0,366.0,292.0,252.0,100.0,307.0,658.0,46.7,351.0,437.0,140.0,297.0,288.0,932.0,603.0,21.0,Premier League 2023-2024,premier league,2023-2024,2023
Burnley,31,38.0,607.0,342.0,282.0,247.0,78.0,284.0,584.0,48.6,300.0,477.0,169.0,308.0,280.0,887.0,837.0,22.0,Premier League 2023-2024,premier league,2023-2024,2023
Chelsea,32,38.0,663.0,376.0,325.0,235.0,103.0,323.0,630.0,51.3,307.0,448.0,166.0,282.0,298.0,961.0,785.0,24.0,Premier League 2023-2024,premier league,2023-2024,2023
Crystal Palace,26,38.0,788.0,464.0,373.0,301.0,114.0,337.0,609.0,55.3,272.0,456.0,122.0,334.0,323.0,1111.0,927.0,6.0,Premier League 2023-2024,premier league,2023-2024,2023
Everton,26,38.0,743.0,442.0,371.0,261.0,111.0,347.0,701.0,49.5,354.0,479.0,177.0,302.0,358.0,1101.0,882.0,12.0,Premier League 2023-2024,premier league,2023-2024,2023
Fulham,25,38.0,679.0,384.0,339.0,260.0,80.0,346.0,678.0,51.0,332.0,437.0,117.0,320.0,371.0,1050.0,744.0,14.0,Premier League 2023-2024,premier league,2023-2024,2023
Liverpool,30,38.0,677.0,418.0,274.0,290.0,113.0,341.0,768.0,44.4,427.0,475.0,108.0,367.0,292.0,969.0,583.0,19.0,Premier League 2023-2024,premier league,2023-2024,2023
Luton Town,28,38.0,654.0,368.0,330.0,236.0,88.0,299.0,616.0,48.5,317.0,493.0,183.0,310.0,325.0,979.0,916.0,21.0,Premier League 2023-2024,premier league,2023-2024,2023
Manchester City,25,38.0,517.0,305.0,183.0,221.0,113.0,222.0,458.0,48.5,236.0,353.0,75.0,278.0,233.0,750.0,457.0,17.0,Premier League 2023-2024,premier league,2023-2024,2023
Manchester Utd,31,38.0,676.0,409.0,334.0,240.0,102.0,349.0,715.0,48.8,366.0,534.0,207.0,327.0,313.0,989.0,884.0,12.0,Premier League 2023-2024,premier league,2023-2024,2023
Newcastle Utd,32,38.0,661.0,391.0,316.0,254.0,91.0,302.0,681.0,44.3,379.0,497.0,151.0,346.0,285.0,946.0,682.0,16.0,Premier League 2023-2024,premier league,2023-2024,2023
Nott'ham Forest,33,38.0,728.0,430.0,437.0,219.0,72.0,326.0,609.0,53.5,283.0,489.0,168.0,321.0,331.0,1059.0,968.0,13.0,Premier League 2023-2024,premier league,2023-2024,2023
Sheffield Utd,35,38.0,709.0,405.0,375.0,248.0,86.0,299.0,635.0,47.1,336.0,514.0,180.0,334.0,348.0,1057.0,1042.0,18.0,Premier League 2023-2024,premier league,2023-2024,2023
Tottenham,29,38.0,724.0,451.0,335.0,264.0,125.0,360.0,691.0,52.1,331.0,445.0,132.0,313.0,355.0,1079.0,707.0,24.0,Premier League 2023-2024,premier league,2023-2024,2023
West Ham,26,38.0,684.0,426.0,350.0,254.0,80.0,307.0,607.0,50.6,300.0,487.0,180.0,307.0,361.0,1045.0,906.0,9.0,Premier League 2023-2024,premier league,2023-2024,2023
Wolves,27,38.0,739.0,430.0,415.0,247.0,77.0,312.0,607.0,51.4,295.0,506.0,173.0,333.0,284.0,1023.0,828.0,16.0,Premier League 2023-2024,premier league,2023-2024,2023
Alavés,30,38.0,578.0,347.0,284.0,227.0,67.0,290.0,629.0,46.1,339.0,363.0,117.0,246.0,279.0,857.0,810.0,5.0,La Liga 2023-2024,la liga,2023-2024,2023
Almería,35,38.0,633.0,372.0,354.0,222.0,57.0,280.0,582.0,48.1,302.0,430.0,134.0,296.0,313.0,946.0,856.0,19.0,La Liga 2023-2024,la liga,2023-2024,2023
Athletic Club,27,38.0,581.0,362.0,217.0,264.0,100.0,305.0,635.0,48.0,330.0,419.0,106.0,313.0,278.0,859.0,631.0,4.0,La Liga 2023-2024,la liga,2023-2024,2023
Atlético Madrid,27,38.0,654.0,399.0,308.0,263.0,83.0,327.0,671.0,48.7,344.0,460.0,114.0,346.0,256.0,910.0,793.0,8.0,La Liga 2023-2024,la liga,2023-2024,2023
Barcelona,29,38.0,571.0,363.0,271.0,223.0,77.0,243.0,523.0,46.5,280.0,363.0,97.0,266.0,257.0,828.0,573.0,17.0,La Liga 2023-2024,la liga,2023-2024,2023
Betis,35,38.0,692.0,440.0,305.0,300.0,87.0,358.0,683.0,52.4,325.0,422.0,101.0,321.0,345.0,1037.0,801.0,9.0,La Liga 2023-2024,la liga,2023-2024,2023
Cádiz,34,38.0,671.0,398.0,338.0,264.0,69.0,341.0,728.0,46.8,387.0,443.0,123.0,320.0,298.0,969.0,786.0,13.0,La Liga 2023-2024,la liga,2023-2024,2023
Celta Vigo,31,38.0,627.0,382.0,302.0,243.0,82.0,308.0,662.0,46.5,354.0,434.0,116.0,318.0,297.0,924.0,832.0,9.0,La Liga 2023-2024,la liga,2023-2024,2023
Getafe,33,38.0,608.0,364.0,269.0,251.0,88.0,291.0,577.0,50.4,286.0,342.0,103.0,239.0,307.0,915.0,730.0,6.0,La Liga 2023-2024,la liga,2023-2024,2023
Girona,25,38.0,544.0,340.0,264.0,222.0,58.0,274.0,521.0,52.6,247.0,378.0,124.0,254.0,257.0,801.0,661.0,21.0,La Liga 2023-2024,la liga,2023-2024,2023
Granada,40,38.0,637.0,374.0,336.0,237.0,64.0,289.0,623.0,46.4,334.0,404.0,110.0,294.0,280.0,917.0,779.0,26.0,La Liga 2023-2024,la liga,2023-2024,2023
Las Palmas,29,38.0,662.0,397.0,328.0,263.0,71.0,305.0,633.0,48.2,328.0,416.0,98.0,318.0,281.0,943.0,761.0,14.0,La Liga 2023-2024,la liga,2023-2024,2023
Mallorca,25,38.0,686.0,388.0,347.0,281.0,58.0,340.0,657.0,51.8,317.0,369.0,131.0,238.0,365.0,1051.0,785.0,10.0,La Liga 2023-2024,la liga,2023-2024,2023
Osasuna,29,38.0,525.0,311.0,247.0,201.0,77.0,243.0,517.0,47.0,274.0,400.0,108.0,292.0,263.0,788.0,756.0,16.0,La Liga 2023-2024,la liga,2023-2024,2023
Rayo Vallecano,26,38.0,630.0,372.0,279.0,282.0,69.0,270.0,608.0,44.4,338.0,410.0,105.0,305.0,308.0,938.0,796.0,12.0,La Liga 2023-2024,la liga,2023-2024,2023
Real Madrid,27,38.0,557.0,368.0,252.0,214.0,91.0,225.0,461.0,48.8,236.0,401.0,104.0,297.0,296.0,853.0,552.0,14.0,La Liga 2023-2024,la liga,2023-2024,2023
Real Sociedad,31,38.0,650.0,405.0,271.0,285.0,94.0,283.0,552.0,51.3,269.0,405.0,118.0,287.0,253.0,903.0,693.0,15.0,La Liga 2023-2024,la liga,2023-2024,2023
Sevilla,35,38.0,697.0,463.0,380.0,237.0,80.0,335.0,626.0,53.5,291.0,395.0,123.0,272.0,313.0,1010.0,772.0,9.0,La Liga 2023-2024,la liga,2023-2024,2023
Valencia,29,38.0,657.0,379.0,335.0,250.0,72.0,309.0,618.0,50.0,309.0,392.0,105.0,287.0,324.0,981.0,842.0,9.0,La Liga 2023-2024,la liga,2023-2024,2023
Villarreal,32,38.0,576.0,348.0,288.0,212.0,76.0,260.0,532.0,48.9,272.0,386.0,130.0,256.0,304.0,880.0,789.0,12.0,La Liga 2023-2024,la liga,2023-2024,2023
Atalanta,29,38.0,613.0,369.0,273.0,249.0,91.0,291.0,597.0,48.7,306.0,483.0,119.0,364.0,340.0,953.0,614.0,7.0,Serie A 2023-2024,serie a,2023-2024,2023
Bologna,28,38.0,633.0,385.0,299.0,267.0,67.0,303.0,579.0,52.3,276.0,426.0,113.0,313.0,258.0,891.0,677.0,17.0,Serie A 2023-2024,serie a,2023-2024,2023
Cagliari,29,38.0,540.0,315.0,272.0,203.0,65.0,264.0,525.0,50.3,261.0,373.0,113.0,260.0,265.0,805.0,816.0,12.0,Serie A 2023-2024,serie a,2023-2024,2023
Empoli,34,38.0,618.0,378.0,311.0,227.0,80.0,300.0,564.0,53.2,264.0,462.0,154.0,308.0,263.0,881.0,840.0,9.0,Serie A 2023-2024,serie a,2023-2024,2023
Fiorentina,30,38.0,564.0,320.0,242.0,231.0,91.0,275.0,512.0,53.7,237.0,388.0,81.0,307.0,236.0,800.0,509.0,8.0,Serie A 2023-2024,serie a,2023-2024,2023
Frosinone,34,38.0,545.0,322.0,244.0,225.0,76.0,253.0,525.0,48.2,272.0,439.0,143.0,296.0,241.0,786.0,789.0,14.0,Serie A 2023-2024,serie a,2023-2024,2023
Genoa,34,38.0,625.0,352.0,315.0,247.0,63.0,283.0,571.0,49.6,288.0,462.0,162.0,300.0,332.0,957.0,796.0,11.0,Serie A 2023-2024,serie a,2023-2024,2023
Hellas Verona,36,38.0,621.0,387.0,302.0,245.0,74.0,293.0,578.0,50.7,285.0,414.0,133.0,281.0,302.0,923.0,784.0,15.0,Serie A 2023-2024,serie a,2023-2024,2023
Inter,27,38.0,540.0,321.0,252.0,219.0,69.0,234.0,474.0,49.4,240.0,365.0,116.0,249.0,280.0,820.0,576.0,7.0,Serie A 2023-2024,serie a,2023-2024,2023
Juventus,31,38.0,577.0,369.0,270.0,233.0,74.0,264.0,445.0,59.3,181.0,375.0,124.0,251.0,253.0,830.0,725.0,4.0,Serie A 2023-2024,serie a,2023-2024,2023
Lazio,22,38.0,581.0,348.0,259.0,254.0,68.0,283.0,618.0,45.8,335.0,430.0,122.0,308.0,295.0,876.0,640.0,7.0,Serie A 2023-2024,serie a,2023-2024,2023
Lecce,26,38.0,605.0,374.0,285.0,252.0,68.0,289.0,566.0,51.1,277.0,429.0,117.0,312.0,308.0,913.0,751.0,8.0,Serie A 2023-2024,serie a,2023-2024,2023
Milan,35,38.0,576.0,333.0,274.0,232.0,70.0,273.0,521.0,52.4,248.0,367.0,146.0,221.0,252.0,828.0,548.0,16.0,Serie A 2023-2024,serie a,2023-2024,2023
Monza,31,38.0,565.0,334.0,307.0,195.0,63.0,266.0,484.0,55.0,218.0,378.0,151.0,227.0,279.0,844.0,642.0,8.0,Serie A 2023-2024,serie a,2023-2024,2023
Napoli,29,38.0,571.0,326.0,235.0,237.0,99.0,263.0,554.0,47.5,291.0,351.0,92.0,259.0,241.0,812.0,521.0,5.0,Serie A 2023-2024,serie a,2023-2024,2023
Roma,30,38.0,569.0,336.0,261.0,229.0,79.0,249.0,535.0,46.5,286.0,370.0,132.0,238.0,242.0,811.0,623.0,16.0,Serie A 2023-2024,serie a,2023-2024,2023
Salernitana,39,38.0,536.0,327.0,289.0,198.0,49.0,257.0,519.0,49.5,262.0,409.0,161.0,248.0,279.0,815.0,816.0,12.0,Serie A 2023-2024,serie a,2023-2024,2023
Sassuolo,30,38.0,507.0,310.0,241.0,198.0,68.0,245.0,531.0,46.1,286.0,402.0,143.0,259.0,267.0,774.0,767.0,14.0,Serie A 2023-2024,serie a,2023-2024,2023
Torino,30,38.0,471.0,275.0,207.0,213.0,51.0,191.0,386.0,49.5,195.0,303.0,100.0,203.0,329.0,800.0,594.0,15.0,Serie A 2023-2024,serie a,2023-2024,2023
Udinese,32,38.0,606.0,381.0,345.0,213.0,48.0,299.0,571.0,52.4,272.0,437.0,129.0,308.0,327.0,933.0,988.0,10.0,Serie A 2023-2024,serie a,2023-2024,2023
Brest,25,34.0,679.0,427.0,295.0,299.0,85.0,306.0,715.0,42.8,409.0,386.0,100.0,286.0,321.0,1000.0,644.0,13.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
Clermont Foot,31,34.0,581.0,358.0,279.0,242.0,60.0,312.0,633.0,49.3,321.0,382.0,130.0,252.0,347.0,928.0,667.0,19.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
Le Havre,27,34.0,560.0,332.0,293.0,207.0,60.0,283.0,572.0,49.5,289.0,362.0,124.0,238.0,363.0,923.0,664.0,10.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
Lens,27,34.0,554.0,339.0,213.0,266.0,75.0,291.0,569.0,51.1,278.0,392.0,112.0,280.0,298.0,852.0,549.0,16.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
Lille,28,34.0,594.0,370.0,267.0,242.0,85.0,278.0,580.0,47.9,302.0,319.0,80.0,239.0,292.0,886.0,574.0,10.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
Lorient,38,34.0,538.0,326.0,284.0,195.0,59.0,252.0,531.0,47.5,279.0,391.0,129.0,262.0,337.0,875.0,805.0,14.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
Lyon,35,34.0,538.0,331.0,241.0,203.0,94.0,250.0,578.0,43.3,328.0,343.0,118.0,225.0,304.0,842.0,563.0,12.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
Marseille,33,34.0,604.0,371.0,270.0,264.0,70.0,292.0,587.0,49.7,295.0,365.0,99.0,266.0,332.0,936.0,633.0,8.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
Metz,30,34.0,562.0,334.0,310.0,183.0,69.0,238.0,514.0,46.3,276.0,416.0,127.0,289.0,348.0,910.0,834.0,9.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
Monaco,30,34.0,664.0,412.0,259.0,314.0,91.0,322.0,686.0,46.9,364.0,418.0,85.0,333.0,394.0,1058.0,582.0,14.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
Montpellier,31,34.0,619.0,379.0,352.0,187.0,80.0,310.0,691.0,44.9,381.0,427.0,161.0,266.0,308.0,927.0,766.0,5.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
Nantes,35,34.0,582.0,352.0,307.0,220.0,55.0,298.0,616.0,48.4,318.0,339.0,102.0,237.0,332.0,914.0,697.0,4.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
Nice,27,34.0,538.0,308.0,247.0,212.0,79.0,285.0,505.0,56.4,220.0,389.0,111.0,278.0,292.0,830.0,505.0,10.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
Paris S-G,29,34.0,585.0,360.0,254.0,221.0,110.0,283.0,602.0,47.0,319.0,346.0,108.0,238.0,268.0,853.0,509.0,22.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
Reims,29,34.0,640.0,392.0,303.0,246.0,91.0,320.0,639.0,50.1,319.0,398.0,133.0,265.0,342.0,982.0,671.0,10.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
Rennes,29,34.0,526.0,311.0,261.0,190.0,75.0,280.0,525.0,53.3,245.0,371.0,106.0,265.0,328.0,854.0,618.0,10.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
Strasbourg,30,34.0,620.0,383.0,317.0,240.0,63.0,308.0,572.0,53.8,264.0,406.0,115.0,291.0,347.0,967.0,682.0,13.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
Toulouse,26,34.0,612.0,358.0,295.0,241.0,76.0,294.0,626.0,47.0,332.0,431.0,148.0,283.0,294.0,906.0,715.0,6.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
Ajax,35,34.0,533.0,316.0,236.0,216.0,81.0,271.0,526.0,51.5,255.0,375.0,101.0,274.0,293.0,826.0,542.0,11.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Almere City,29,34.0,623.0,378.0,299.0,236.0,88.0,294.0,602.0,48.8,308.0,418.0,116.0,302.0,328.0,951.0,752.0,6.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
AZ Alkmaar,33,34.0,553.0,333.0,225.0,244.0,84.0,279.0,532.0,52.4,253.0,375.0,110.0,265.0,269.0,822.0,549.0,6.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Excelsior,27,34.0,602.0,373.0,345.0,195.0,62.0,283.0,567.0,49.9,284.0,418.0,124.0,294.0,351.0,953.0,819.0,12.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Feyenoord,25,34.0,580.0,344.0,237.0,238.0,105.0,262.0,502.0,52.2,240.0,352.0,77.0,275.0,255.0,835.0,467.0,8.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Fortuna Sittard,32,34.0,627.0,379.0,323.0,225.0,79.0,321.0,626.0,51.3,305.0,408.0,106.0,302.0,334.0,961.0,619.0,4.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Go Ahead Eag,23,34.0,502.0,297.0,226.0,201.0,75.0,251.0,497.0,50.5,246.0,401.0,162.0,239.0,264.0,766.0,821.0,5.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Heerenveen,26,34.0,505.0,305.0,257.0,186.0,62.0,259.0,522.0,49.6,263.0,365.0,109.0,256.0,288.0,793.0,670.0,16.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Heracles Almelo,27,34.0,598.0,379.0,347.0,187.0,64.0,295.0,597.0,49.4,302.0,420.0,161.0,259.0,256.0,854.0,764.0,12.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
NEC Nijmegen,28,34.0,624.0,376.0,355.0,203.0,66.0,307.0,646.0,47.5,339.0,450.0,158.0,292.0,268.0,892.0,814.0,13.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
PSV Eindhoven,29,34.0,547.0,341.0,233.0,219.0,95.0,261.0,492.0,53.0,231.0,359.0,86.0,273.0,285.0,832.0,477.0,13.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
RKC Waalwijk,26,34.0,621.0,357.0,345.0,195.0,81.0,308.0,594.0,51.9,286.0,398.0,142.0,256.0,277.0,898.0,851.0,13.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Sparta R'dam,26,34.0,532.0,339.0,282.0,198.0,52.0,275.0,545.0,50.5,270.0,400.0,156.0,244.0,258.0,790.0,848.0,16.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Twente,26,34.0,541.0,323.0,229.0,221.0,91.0,294.0,625.0,47.0,331.0,361.0,65.0,296.0,269.0,810.0,517.0,9.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Utrecht,35,34.0,573.0,359.0,275.0,228.0,70.0,287.0,577.0,49.7,290.0,362.0,101.0,261.0,246.0,819.0,726.0,9.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Vitesse,31,34.0,527.0,321.0,275.0,182.0,70.0,238.0,517.0,46.0,279.0,386.0,124.0,262.0,302.0,829.0,636.0,11.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Volendam,37,34.0,613.0,367.0,358.0,195.0,60.0,322.0,665.0,48.4,343.0,410.0,148.0,262.0,299.0,912.0,862.0,11.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Zwolle,29,34.0,558.0,351.0,318.0,182.0,58.0,314.0,614.0,51.1,300.0,358.0,118.0,240.0,312.0,870.0,849.0,10.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Arouca,31,34.0,530.0,339.0,255.0,204.0,71.0,291.0,604.0,48.2,313.0,361.0,92.0,269.0,262.0,792.0,637.0,8.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Benfica,34,34.0,657.0,420.0,273.0,270.0,114.0,343.0,657.0,52.2,314.0,397.0,87.0,310.0,298.0,955.0,457.0,10.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Boavista,23,34.0,554.0,343.0,279.0,229.0,46.0,281.0,554.0,50.7,273.0,348.0,119.0,229.0,273.0,827.0,705.0,15.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Braga,25,34.0,518.0,313.0,225.0,237.0,56.0,251.0,536.0,46.8,285.0,328.0,83.0,245.0,310.0,828.0,593.0,16.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Casa Pia,32,34.0,499.0,331.0,248.0,189.0,62.0,270.0,560.0,48.2,290.0,366.0,99.0,267.0,286.0,785.0,712.0,7.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Chaves,31,34.0,473.0,282.0,250.0,176.0,47.0,254.0,505.0,50.3,251.0,364.0,108.0,256.0,294.0,767.0,730.0,12.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Estoril,31,34.0,538.0,335.0,249.0,228.0,61.0,261.0,539.0,48.4,278.0,359.0,113.0,246.0,269.0,807.0,687.0,18.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Estrela,34,34.0,574.0,381.0,265.0,242.0,67.0,314.0,582.0,54.0,268.0,390.0,115.0,275.0,281.0,855.0,709.0,9.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Famalicão,27,34.0,548.0,360.0,286.0,197.0,65.0,270.0,534.0,50.6,264.0,372.0,107.0,265.0,299.0,847.0,687.0,7.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Farense,25,34.0,515.0,318.0,274.0,199.0,42.0,244.0,519.0,47.0,275.0,472.0,175.0,297.0,332.0,847.0,1004.0,5.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Gil Vicente FC,31,34.0,540.0,341.0,261.0,206.0,73.0,289.0,539.0,53.6,250.0,373.0,102.0,271.0,303.0,843.0,677.0,15.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Moreirense,29,34.0,532.0,345.0,269.0,195.0,68.0,242.0,500.0,48.4,258.0,382.0,114.0,268.0,318.0,850.0,797.0,7.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Portimonense,31,34.0,661.0,413.0,343.0,255.0,63.0,312.0,594.0,52.5,282.0,402.0,129.0,273.0,356.0,1017.0,811.0,10.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Porto,32,34.0,484.0,308.0,188.0,218.0,78.0,245.0,492.0,49.8,247.0,308.0,71.0,237.0,215.0,699.0,440.0,6.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Rio Ave,33,34.0,541.0,329.0,253.0,233.0,55.0,283.0,577.0,49.0,294.0,403.0,119.0,284.0,289.0,830.0,755.0,15.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
