Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,League,league_name,season,season_start
vs Aves,44,34.0,16485.0,14330.0,2086.0,576.0,27.0,192.0,791.0,910.0,255.0,99.0,80.0,32.0,12545.0,69.0,289.0,Primeira Liga 2019-2020,primeira liga,2019-2020,2019
vs B-SAD,41,34.0,15354.0,13308.0,1986.0,598.0,42.0,232.0,,851.0,203.0,78.0,74.0,5.0,11580.0,60.0,288.0,Primeira Liga 2019-2020,primeira liga,2019-2020,2019
vs Benfica,28,34.0,14062.0,12166.0,1841.0,550.0,15.0,176.0,507.0,723.0,131.0,52.0,56.0,7.0,10727.0,55.0,269.0,Primeira Liga 2019-2020,primeira liga,2019-2020,2019
vs Boavista,27,34.0,16387.0,14290.0,2045.0,665.0,23.0,146.0,753.0,842.0,202.0,102.0,50.0,13.0,12616.0,52.0,274.0,Primeira Liga 2019-2020,primeira liga,2019-2020,2019
vs Braga,36,34.0,13359.0,11360.0,1928.0,526.0,15.0,156.0,501.0,812.0,138.0,56.0,52.0,11.0,9871.0,71.0,286.0,Primeira Liga 2019-2020,primeira liga,2019-2020,2019
vs Famalicão,26,34.0,14327.0,12327.0,1899.0,556.0,23.0,218.0,730.0,784.0,185.0,95.0,64.0,8.0,10908.0,101.0,244.0,Primeira Liga 2019-2020,primeira liga,2019-2020,2019
vs Gil Vicente FC,27,34.0,15517.0,13457.0,1956.0,628.0,20.0,168.0,665.0,821.0,165.0,80.0,61.0,1.0,11916.0,104.0,286.0,Primeira Liga 2019-2020,primeira liga,2019-2020,2019
vs Marítimo,30,34.0,15726.0,13630.0,2025.0,608.0,14.0,175.0,759.0,866.0,194.0,89.0,65.0,6.0,12002.0,71.0,289.0,Primeira Liga 2019-2020,primeira liga,2019-2020,2019
vs Moreirense,27,34.0,16702.0,14745.0,1902.0,533.0,20.0,189.0,796.0,833.0,207.0,96.0,72.0,14.0,13106.0,55.0,257.0,Primeira Liga 2019-2020,primeira liga,2019-2020,2019
vs Paços de Ferreira,31,34.0,15014.0,12952.0,2003.0,650.0,20.0,132.0,635.0,854.0,165.0,76.0,61.0,6.0,11218.0,59.0,261.0,Primeira Liga 2019-2020,primeira liga,2019-2020,2019
vs Portimonense,32,34.0,14937.0,12932.0,1941.0,609.0,23.0,188.0,626.0,816.0,156.0,55.0,48.0,15.0,11105.0,64.0,228.0,Primeira Liga 2019-2020,primeira liga,2019-2020,2019
vs Porto,28,34.0,12248.0,10379.0,1820.0,584.0,12.0,170.0,470.0,710.0,104.0,39.0,45.0,3.0,8778.0,49.0,266.0,Primeira Liga 2019-2020,primeira liga,2019-2020,2019
vs Rio Ave,27,34.0,14689.0,12851.0,1792.0,550.0,11.0,167.0,648.0,725.0,169.0,98.0,48.0,11.0,11061.0,46.0,245.0,Primeira Liga 2019-2020,primeira liga,2019-2020,2019
vs Santa Clara,29,34.0,15628.0,13482.0,2085.0,568.0,11.0,186.0,705.0,945.0,200.0,79.0,72.0,9.0,11740.0,61.0,308.0,Primeira Liga 2019-2020,primeira liga,2019-2020,2019
vs Sporting CP,36,34.0,12972.0,11082.0,1828.0,570.0,15.0,131.0,528.0,707.0,136.0,55.0,33.0,19.0,9731.0,62.0,260.0,Primeira Liga 2019-2020,primeira liga,2019-2020,2019
vs Tondela,30,34.0,16742.0,14832.0,1855.0,539.0,20.0,207.0,762.0,817.0,192.0,87.0,66.0,9.0,12991.0,55.0,254.0,Primeira Liga 2019-2020,primeira liga,2019-2020,2019
vs Vitória,32,34.0,14971.0,13046.0,1899.0,542.0,19.0,124.0,460.0,737.0,132.0,57.0,50.0,6.0,11562.0,26.0,269.0,Primeira Liga 2019-2020,primeira liga,2019-2020,2019
vs Vitória Setúbal,31,34.0,16319.0,14260.0,1991.0,543.0,24.0,173.0,820.0,902.0,231.0,94.0,88.0,30.0,12611.0,68.0,269.0,Primeira Liga 2019-2020,primeira liga,2019-2020,2019
vs Barnsley,32,46.0,18954.0,15913.0,2920.0,658.0,28.0,165.0,743.0,1525.0,229.0,105.0,70.0,26.0,12131.0,121.0,498.0,Championship 2019-2020,championship,2019-2020,2019
vs Birmingham City,32,46.0,22015.0,19367.0,2568.0,665.0,43.0,161.0,852.0,1131.0,260.0,147.0,67.0,22.0,16151.0,80.0,392.0,Championship 2019-2020,championship,2019-2020,2019
vs Blackburn,27,46.0,19860.0,17433.0,2336.0,595.0,31.0,148.0,781.0,1075.0,198.0,111.0,43.0,14.0,14230.0,91.0,363.0,Championship 2019-2020,championship,2019-2020,2019
vs Brentford,29,46.0,18328.0,15920.0,2298.0,536.0,26.0,138.0,795.0,994.0,187.0,90.0,55.0,19.0,12880.0,110.0,360.0,Championship 2019-2020,championship,2019-2020,2019
vs Bristol City,32,46.0,21787.0,19316.0,2382.0,551.0,24.0,193.0,1053.0,1125.0,292.0,175.0,66.0,11.0,15898.0,89.0,351.0,Championship 2019-2020,championship,2019-2020,2019
vs Cardiff City,29,46.0,22106.0,19591.0,2461.0,646.0,17.0,156.0,898.0,1069.0,260.0,104.0,68.0,12.0,16094.0,54.0,354.0,Championship 2019-2020,championship,2019-2020,2019
vs Charlton Ath,33,46.0,22203.0,19645.0,2492.0,629.0,20.0,180.0,1128.0,1131.0,296.0,133.0,94.0,17.0,16639.0,66.0,385.0,Championship 2019-2020,championship,2019-2020,2019
vs Derby County,31,46.0,20949.0,18594.0,2273.0,568.0,30.0,202.0,1027.0,993.0,277.0,149.0,63.0,23.0,15784.0,82.0,356.0,Championship 2019-2020,championship,2019-2020,2019
vs Fulham,28,46.0,17061.0,14574.0,2384.0,576.0,16.0,171.0,765.0,1073.0,218.0,100.0,61.0,13.0,11926.0,103.0,391.0,Championship 2019-2020,championship,2019-2020,2019
vs Huddersfield,39,46.0,20132.0,17571.0,2464.0,604.0,23.0,185.0,859.0,1191.0,216.0,104.0,55.0,17.0,14777.0,97.0,389.0,Championship 2019-2020,championship,2019-2020,2019
vs Hull City,33,46.0,23065.0,20332.0,2653.0,685.0,37.0,193.0,948.0,1203.0,259.0,112.0,47.0,25.0,17361.0,80.0,351.0,Championship 2019-2020,championship,2019-2020,2019
vs Leeds United,28,46.0,14725.0,12192.0,2488.0,605.0,19.0,84.0,575.0,1065.0,185.0,91.0,68.0,14.0,9451.0,45.0,381.0,Championship 2019-2020,championship,2019-2020,2019
vs Luton Town,28,46.0,21696.0,19137.0,2488.0,555.0,25.0,203.0,1146.0,1166.0,306.0,142.0,88.0,18.0,16155.0,71.0,346.0,Championship 2019-2020,championship,2019-2020,2019
vs Middlesbrough,30,46.0,20835.0,18222.0,2544.0,646.0,30.0,188.0,977.0,1154.0,258.0,122.0,66.0,13.0,15125.0,69.0,334.0,Championship 2019-2020,championship,2019-2020,2019
vs Millwall,26,46.0,23740.0,21214.0,2459.0,555.0,17.0,199.0,864.0,1202.0,209.0,103.0,55.0,16.0,17860.0,67.0,338.0,Championship 2019-2020,championship,2019-2020,2019
vs Nott'ham Forest,30,46.0,22478.0,19873.0,2534.0,586.0,20.0,198.0,1156.0,1128.0,285.0,117.0,80.0,21.0,16867.0,71.0,432.0,Championship 2019-2020,championship,2019-2020,2019
vs Preston,26,46.0,19238.0,16655.0,2505.0,568.0,18.0,162.0,912.0,1198.0,248.0,106.0,61.0,19.0,13043.0,78.0,401.0,Championship 2019-2020,championship,2019-2020,2019
vs QPR,29,46.0,18890.0,16272.0,2514.0,617.0,25.0,174.0,861.0,1125.0,260.0,112.0,78.0,25.0,13366.0,104.0,336.0,Championship 2019-2020,championship,2019-2020,2019
vs Reading,31,46.0,23301.0,20888.0,2354.0,596.0,22.0,188.0,923.0,1057.0,251.0,95.0,66.0,25.0,17915.0,59.0,356.0,Championship 2019-2020,championship,2019-2020,2019
vs Sheffield Weds,29,46.0,20669.0,17928.0,2671.0,736.0,30.0,152.0,721.0,1209.0,202.0,103.0,71.0,8.0,15004.0,70.0,373.0,Championship 2019-2020,championship,2019-2020,2019
vs Stoke City,35,46.0,22524.0,20036.0,2423.0,604.0,31.0,208.0,789.0,1136.0,201.0,102.0,44.0,19.0,16702.0,65.0,345.0,Championship 2019-2020,championship,2019-2020,2019
vs Swansea City,29,46.0,21055.0,18633.0,2325.0,551.0,23.0,164.0,965.0,1070.0,237.0,119.0,59.0,14.0,15648.0,97.0,340.0,Championship 2019-2020,championship,2019-2020,2019
vs West Brom,25,46.0,18666.0,16074.0,2529.0,607.0,28.0,184.0,760.0,1125.0,227.0,121.0,42.0,16.0,13309.0,63.0,385.0,Championship 2019-2020,championship,2019-2020,2019
vs Wigan Athletic,30,46.0,20475.0,17869.0,2509.0,659.0,20.0,214.0,935.0,1132.0,238.0,104.0,69.0,20.0,14974.0,97.0,415.0,Championship 2019-2020,championship,2019-2020,2019
vs Augsburg,30,34.0,17792.0,15864.0,1865.0,520.0,50.0,155.0,596.0,809.0,173.0,63.0,93.0,2.0,13895.0,63.0,325.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
vs Bayern Munich,24,34.0,12463.0,10880.0,1529.0,383.0,13.0,123.0,317.0,565.0,68.0,28.0,35.0,0.0,9169.0,54.0,279.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
vs Dortmund,23,34.0,15855.0,14264.0,1511.0,334.0,25.0,159.0,575.0,668.0,162.0,52.0,87.0,0.0,12337.0,80.0,300.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
vs Düsseldorf,24,34.0,19758.0,18045.0,1660.0,452.0,36.0,108.0,672.0,716.0,164.0,77.0,73.0,2.0,16201.0,53.0,327.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
vs Eint Frankfurt,30,34.0,17072.0,15211.0,1755.0,477.0,31.0,144.0,584.0,758.0,161.0,46.0,95.0,1.0,12853.0,106.0,425.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
vs Freiburg,28,34.0,19165.0,17485.0,1632.0,426.0,25.0,147.0,685.0,732.0,186.0,63.0,98.0,2.0,15522.0,48.0,330.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
vs Gladbach,22,34.0,17142.0,15552.0,1514.0,383.0,29.0,120.0,581.0,601.0,157.0,68.0,74.0,2.0,13859.0,76.0,345.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
vs Hannover 96,32,34.0,17626.0,15829.0,1741.0,453.0,48.0,153.0,681.0,768.0,209.0,73.0,109.0,1.0,13724.0,56.0,360.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
vs Hertha BSC,26,34.0,17667.0,15841.0,1757.0,499.0,57.0,141.0,676.0,766.0,186.0,77.0,91.0,1.0,13672.0,69.0,373.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
vs Hoffenheim,29,34.0,15611.0,13774.0,1774.0,510.0,22.0,149.0,597.0,670.0,165.0,58.0,76.0,3.0,11999.0,63.0,359.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
vs Leverkusen,21,34.0,14540.0,12824.0,1641.0,404.0,33.0,128.0,520.0,695.0,164.0,48.0,93.0,2.0,10756.0,75.0,379.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
vs Mainz 05,28,34.0,18311.0,16492.0,1764.0,482.0,30.0,152.0,638.0,708.0,201.0,72.0,89.0,2.0,14350.0,55.0,396.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
vs Nürnberg,27,34.0,19664.0,17978.0,1645.0,420.0,22.0,149.0,766.0,715.0,210.0,80.0,96.0,1.0,16091.0,41.0,335.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
vs RB Leipzig,23,34.0,17249.0,15205.0,1913.0,530.0,32.0,145.0,497.0,851.0,135.0,43.0,66.0,5.0,12788.0,131.0,440.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
vs Schalke 04,32,34.0,17542.0,15723.0,1775.0,492.0,34.0,160.0,539.0,770.0,158.0,56.0,68.0,2.0,13754.0,44.0,389.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
vs Stuttgart,26,34.0,18252.0,16456.0,1727.0,408.0,31.0,145.0,657.0,792.0,195.0,62.0,110.0,3.0,14307.0,69.0,381.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
vs Werder Bremen,24,34.0,16798.0,14997.0,1698.0,448.0,41.0,220.0,631.0,710.0,182.0,78.0,85.0,5.0,12854.0,103.0,374.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
vs Wolfsburg,25,34.0,15131.0,13305.0,1782.0,400.0,15.0,147.0,680.0,805.0,201.0,74.0,94.0,5.0,11248.0,44.0,375.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
vs Arsenal,28,38.0,16319.0,14430.0,1795.0,464.0,68.0,150.0,627.0,733.0,184.0,71.0,82.0,5.0,12313.0,94.0,360.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Bournemouth,28,38.0,20430.0,18560.0,1786.0,368.0,72.0,142.0,753.0,793.0,225.0,99.0,80.0,6.0,16091.0,84.0,340.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Brighton,21,38.0,21902.0,19966.0,1899.0,513.0,43.0,139.0,725.0,835.0,216.0,68.0,91.0,15.0,17677.0,37.0,334.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Burnley,23,38.0,21331.0,19291.0,1994.0,448.0,55.0,185.0,811.0,918.0,245.0,81.0,67.0,13.0,16631.0,46.0,380.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Cardiff City,25,38.0,22088.0,20080.0,1972.0,421.0,58.0,109.0,662.0,923.0,270.0,111.0,99.0,15.0,17574.0,36.0,409.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Chelsea,24,38.0,15784.0,13989.0,1718.0,407.0,32.0,169.0,511.0,731.0,141.0,54.0,31.0,10.0,12084.0,77.0,347.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Crystal Palace,26,38.0,20996.0,19077.0,1858.0,430.0,54.0,237.0,840.0,818.0,216.0,74.0,114.0,8.0,16735.0,61.0,397.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Everton,23,38.0,17729.0,15626.0,2018.0,470.0,79.0,137.0,568.0,975.0,179.0,79.0,58.0,11.0,13146.0,85.0,395.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Fulham,28,38.0,20508.0,18494.0,1935.0,480.0,64.0,185.0,808.0,871.0,226.0,102.0,71.0,12.0,16080.0,79.0,370.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Huddersfield,31,38.0,20248.0,18262.0,1911.0,441.0,67.0,135.0,526.0,947.0,170.0,67.0,62.0,10.0,15904.0,75.0,415.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Leicester City,25,38.0,18601.0,16602.0,1911.0,395.0,46.0,136.0,698.0,911.0,202.0,97.0,75.0,10.0,14135.0,88.0,437.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Liverpool,23,38.0,15810.0,13964.0,1722.0,363.0,41.0,155.0,472.0,740.0,125.0,55.0,35.0,11.0,11572.0,124.0,331.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Manchester City,21,38.0,13564.0,11859.0,1643.0,407.0,29.0,129.0,359.0,615.0,82.0,39.0,28.0,6.0,9950.0,62.0,289.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Manchester Utd,28,38.0,17529.0,15643.0,1814.0,492.0,45.0,151.0,662.0,756.0,186.0,68.0,74.0,12.0,13430.0,72.0,391.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Newcastle Utd,24,38.0,23109.0,21078.0,1968.0,442.0,73.0,163.0,834.0,960.0,231.0,101.0,94.0,16.0,18449.0,63.0,437.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Southampton,30,38.0,21051.0,18875.0,2088.0,462.0,63.0,152.0,710.0,1012.0,214.0,78.0,60.0,25.0,16244.0,88.0,460.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Tottenham,28,38.0,15982.0,14084.0,1791.0,430.0,72.0,208.0,662.0,776.0,187.0,86.0,57.0,16.0,11840.0,107.0,379.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Watford,25,38.0,19586.0,17653.0,1818.0,491.0,87.0,169.0,741.0,769.0,210.0,92.0,66.0,10.0,15141.0,115.0,360.0,Premier League 2018-2019,premier league,2018-2019,2018
vs West Ham,26,38.0,19548.0,17686.0,1737.0,375.0,86.0,129.0,711.0,799.0,207.0,89.0,85.0,5.0,15357.0,125.0,434.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Wolves,21,38.0,21077.0,19138.0,1891.0,456.0,39.0,112.0,654.0,873.0,190.0,75.0,60.0,8.0,16749.0,48.0,430.0,Premier League 2018-2019,premier league,2018-2019,2018
vs Alavés,26,38.0,19419.0,17243.0,2085.0,571.0,53.0,258.0,800.0,883.0,231.0,85.0,109.0,4.0,14913.0,91.0,386.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Athletic Club,27,38.0,17674.0,15586.0,2009.0,614.0,35.0,193.0,654.0,880.0,139.0,65.0,49.0,4.0,13325.0,79.0,385.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Atlético Madrid,29,38.0,19648.0,17811.0,1816.0,525.0,23.0,280.0,692.0,749.0,172.0,65.0,59.0,6.0,15714.0,21.0,351.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Barcelona,30,38.0,14681.0,13006.0,1607.0,487.0,40.0,177.0,578.0,532.0,158.0,64.0,56.0,4.0,11210.0,68.0,328.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Betis,25,38.0,14082.0,12296.0,1685.0,472.0,41.0,152.0,594.0,685.0,187.0,64.0,80.0,5.0,10604.0,101.0,373.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Celta Vigo,28,38.0,17612.0,15687.0,1847.0,521.0,64.0,202.0,745.0,786.0,186.0,65.0,71.0,10.0,13631.0,78.0,367.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Eibar,25,38.0,15956.0,13690.0,2104.0,587.0,61.0,175.0,518.0,892.0,148.0,56.0,42.0,11.0,10922.0,162.0,361.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Espanyol,25,38.0,18279.0,16297.0,1904.0,579.0,29.0,259.0,822.0,754.0,198.0,80.0,85.0,2.0,14249.0,78.0,338.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Getafe,26,38.0,19627.0,17352.0,2158.0,715.0,52.0,255.0,594.0,908.0,159.0,54.0,65.0,6.0,14702.0,117.0,404.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Girona,26,38.0,18884.0,16848.0,1962.0,562.0,66.0,169.0,747.0,838.0,207.0,70.0,70.0,4.0,14706.0,74.0,370.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Huesca,30,38.0,18822.0,16727.0,1986.0,627.0,60.0,196.0,692.0,773.0,211.0,66.0,88.0,16.0,14546.0,109.0,385.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Leganés,29,38.0,20639.0,18518.0,2063.0,585.0,40.0,282.0,737.0,912.0,167.0,64.0,55.0,5.0,16214.0,58.0,314.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Levante,26,38.0,17889.0,15914.0,1903.0,548.0,49.0,162.0,747.0,759.0,202.0,63.0,84.0,8.0,13968.0,72.0,369.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Rayo Vallecano,29,38.0,17602.0,15412.0,2050.0,590.0,78.0,205.0,722.0,891.0,183.0,68.0,61.0,2.0,13416.0,140.0,393.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Real Madrid,27,38.0,16019.0,14173.0,1755.0,525.0,46.0,154.0,533.0,668.0,152.0,54.0,62.0,7.0,12483.0,91.0,356.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Real Sociedad,30,38.0,17566.0,15585.0,1908.0,554.0,32.0,219.0,743.0,800.0,183.0,62.0,62.0,4.0,13338.0,73.0,399.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Sevilla,27,38.0,17254.0,15174.0,1987.0,608.0,53.0,186.0,662.0,777.0,176.0,58.0,83.0,7.0,13190.0,93.0,319.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Valencia,25,38.0,20420.0,18540.0,1810.0,496.0,34.0,184.0,781.0,740.0,170.0,66.0,64.0,7.0,16386.0,70.0,384.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Valladolid,28,38.0,18620.0,16614.0,1941.0,582.0,51.0,212.0,801.0,777.0,199.0,57.0,90.0,1.0,14608.0,65.0,405.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Villarreal,26,38.0,19100.0,17060.0,1953.0,576.0,52.0,263.0,820.0,786.0,214.0,70.0,92.0,2.0,15157.0,87.0,331.0,La Liga 2018-2019,la liga,2018-2019,2018
vs Atalanta,27,38.0,16443.0,14429.0,1927.0,489.0,47.0,147.0,569.0,805.0,150.0,50.0,59.0,1.0,12352.0,87.0,397.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Bologna,29,38.0,19888.0,17909.0,1932.0,584.0,37.0,202.0,768.0,778.0,185.0,67.0,85.0,2.0,15964.0,47.0,401.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Cagliari,30,38.0,19165.0,17072.0,2011.0,594.0,25.0,223.0,812.0,833.0,190.0,73.0,67.0,1.0,15017.0,82.0,394.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Chievo,36,38.0,21910.0,19816.0,2038.0,631.0,40.0,266.0,814.0,810.0,267.0,106.0,78.0,3.0,17799.0,56.0,374.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Empoli,29,38.0,20106.0,18223.0,1791.0,501.0,35.0,164.0,817.0,706.0,203.0,88.0,61.0,5.0,16476.0,92.0,297.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Fiorentina,27,38.0,17040.0,14926.0,2063.0,571.0,33.0,126.0,740.0,810.0,201.0,75.0,88.0,2.0,12874.0,51.0,350.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Frosinone,33,38.0,22388.0,20458.0,1868.0,603.0,30.0,182.0,794.0,689.0,204.0,67.0,78.0,2.0,18496.0,62.0,344.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Genoa,31,38.0,20367.0,18337.0,1961.0,600.0,39.0,169.0,725.0,746.0,195.0,71.0,78.0,3.0,16279.0,69.0,343.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Inter,23,38.0,15792.0,13931.0,1799.0,501.0,30.0,176.0,627.0,662.0,150.0,62.0,60.0,1.0,12229.0,62.0,350.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Juventus,31,38.0,17157.0,15282.0,1840.0,517.0,13.0,160.0,655.0,669.0,179.0,84.0,76.0,1.0,13679.0,35.0,343.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Lazio,30,38.0,19222.0,17259.0,1917.0,570.0,29.0,185.0,683.0,744.0,180.0,80.0,68.0,1.0,15314.0,46.0,369.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Milan,23,38.0,17948.0,16072.0,1811.0,490.0,31.0,124.0,753.0,708.0,198.0,88.0,74.0,1.0,14344.0,65.0,397.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Napoli,26,38.0,17347.0,15486.0,1800.0,475.0,27.0,128.0,601.0,660.0,164.0,67.0,64.0,2.0,13784.0,61.0,312.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Parma,31,38.0,22640.0,20660.0,1938.0,557.0,34.0,186.0,1091.0,808.0,252.0,99.0,101.0,1.0,18675.0,42.0,394.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Roma,26,38.0,18211.0,16192.0,1894.0,479.0,69.0,130.0,730.0,733.0,219.0,85.0,92.0,0.0,14313.0,125.0,304.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Sampdoria,24,38.0,17320.0,15300.0,1898.0,532.0,50.0,274.0,769.0,757.0,206.0,67.0,84.0,3.0,13392.0,122.0,391.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Sassuolo,29,38.0,17304.0,15244.0,1957.0,562.0,38.0,155.0,776.0,757.0,225.0,98.0,82.0,1.0,13640.0,103.0,355.0,Serie A 2018-2019,serie a,2018-2019,2018
vs SPAL,28,38.0,17781.0,15749.0,1931.0,508.0,32.0,172.0,697.0,784.0,223.0,76.0,98.0,2.0,14079.0,101.0,362.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Torino,25,38.0,16275.0,13990.0,2229.0,666.0,27.0,160.0,746.0,921.0,214.0,84.0,96.0,5.0,11927.0,56.0,440.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Udinese,31,38.0,20721.0,18708.0,1978.0,536.0,29.0,140.0,959.0,802.0,257.0,108.0,111.0,3.0,16751.0,35.0,421.0,Serie A 2018-2019,serie a,2018-2019,2018
vs Amiens,26,38.0,18589.0,16568.0,1957.0,554.0,34.0,149.0,724.0,875.0,188.0,94.0,71.0,4.0,14392.0,64.0,317.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
vs Angers,24,38.0,22215.0,20340.0,1802.0,465.0,69.0,154.0,730.0,814.0,172.0,77.0,67.0,3.0,18285.0,73.0,359.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
vs Bordeaux,33,38.0,18448.0,16458.0,1936.0,575.0,39.0,150.0,745.0,810.0,198.0,85.0,80.0,2.0,14300.0,54.0,350.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
vs Caen,26,38.0,19643.0,17525.0,2060.0,556.0,51.0,172.0,751.0,967.0,219.0,100.0,92.0,5.0,15408.0,58.0,329.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
vs Dijon,26,38.0,18633.0,16539.0,2041.0,582.0,41.0,172.0,695.0,903.0,202.0,94.0,77.0,4.0,14672.0,53.0,370.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
vs Guingamp,30,38.0,20126.0,18091.0,1991.0,518.0,39.0,150.0,615.0,935.0,164.0,85.0,59.0,3.0,15938.0,44.0,382.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
vs Lille,25,38.0,17332.0,15367.0,1883.0,479.0,42.0,183.0,674.0,829.0,178.0,71.0,83.0,4.0,13457.0,82.0,359.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
vs Lyon,25,38.0,14770.0,12908.0,1815.0,506.0,49.0,116.0,565.0,685.0,168.0,77.0,62.0,4.0,11099.0,47.0,346.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
vs Marseille,24,38.0,16229.0,14191.0,1975.0,504.0,42.0,181.0,517.0,877.0,157.0,65.0,56.0,1.0,12436.0,63.0,306.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
vs Monaco,42,38.0,18191.0,16166.0,1951.0,545.0,53.0,169.0,634.0,849.0,174.0,78.0,63.0,1.0,14366.0,74.0,310.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
vs Montpellier,25,38.0,19401.0,17362.0,1994.0,553.0,50.0,197.0,655.0,849.0,178.0,82.0,70.0,1.0,15291.0,45.0,370.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
vs Nantes,33,38.0,17707.0,15602.0,2046.0,534.0,43.0,154.0,630.0,915.0,176.0,85.0,71.0,1.0,13464.0,59.0,339.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
vs Nice,30,38.0,17481.0,15536.0,1861.0,431.0,57.0,202.0,734.0,860.0,200.0,94.0,58.0,5.0,13791.0,84.0,360.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
vs Nîmes,23,38.0,18794.0,16688.0,2032.0,485.0,62.0,163.0,625.0,941.0,167.0,79.0,62.0,4.0,14638.0,74.0,331.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
