Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,League
Feyenoord,40,57.3,34.0,22144.0,2042.0,6572.0,10024.0,5766.0,1005.0,22138.0,710.0,293.0,41.3,372.0,52.4,12840.0,70900.0,38684.0,785.0,537.0,264.0,501.0,318.0,14957.0,1581.0,Eredivisie 2024-2025
Fortuna Sittard,30,44.4,34.0,17746.0,2122.0,6317.0,7670.0,3933.0,633.0,17740.0,549.0,256.0,46.6,261.0,47.5,8991.0,50136.0,24524.0,488.0,349.0,105.0,570.0,281.0,10070.0,930.0,Eredivisie 2024-2025
Go Ahead Eag,28,51.4,34.0,20701.0,2880.0,7701.0,8375.0,4794.0,840.0,20699.0,435.0,196.0,45.1,221.0,50.8,11670.0,56641.0,28841.0,508.0,381.0,139.0,444.0,272.0,13402.0,1260.0,Eredivisie 2024-2025
Groningen,29,46.9,34.0,19550.0,2169.0,6228.0,9161.0,4330.0,581.0,19544.0,563.0,245.0,43.5,286.0,50.8,9997.0,49905.0,23364.0,395.0,357.0,88.0,574.0,316.0,11567.0,1151.0,Eredivisie 2024-2025
Heerenveen,30,53.2,34.0,21790.0,2395.0,7390.0,9503.0,5119.0,765.0,21784.0,654.0,272.0,41.6,332.0,50.8,12073.0,63542.0,30859.0,566.0,403.0,145.0,579.0,309.0,14000.0,1391.0,Eredivisie 2024-2025
Heracles Almelo,24,45.4,34.0,18279.0,2435.0,6720.0,7573.0,4186.0,639.0,18274.0,615.0,271.0,44.1,304.0,49.4,9382.0,52552.0,25278.0,531.0,343.0,150.0,516.0,292.0,10504.0,1029.0,Eredivisie 2024-2025
NAC Breda,30,45.0,34.0,18696.0,2423.0,6815.0,7917.0,4152.0,637.0,18693.0,476.0,202.0,42.4,247.0,51.9,9605.0,50389.0,25734.0,504.0,414.0,107.0,493.0,277.0,10957.0,1035.0,Eredivisie 2024-2025
NEC Nijmegen,25,48.6,34.0,19903.0,2539.0,7171.0,8707.0,4234.0,685.0,19899.0,494.0,212.0,42.9,249.0,50.4,10797.0,57453.0,28146.0,514.0,378.0,117.0,525.0,273.0,12217.0,1090.0,Eredivisie 2024-2025
PSV Eindhoven,32,67.5,34.0,26739.0,1937.0,6464.0,12312.0,8189.0,1409.0,26735.0,635.0,306.0,48.2,308.0,48.5,15550.0,83046.0,44825.0,952.0,615.0,315.0,491.0,286.0,19273.0,2216.0,Eredivisie 2024-2025
RKC Waalwijk,29,43.9,34.0,18599.0,2714.0,7417.0,7446.0,3935.0,588.0,18596.0,574.0,266.0,46.3,279.0,48.6,9813.0,54045.0,26855.0,572.0,375.0,126.0,601.0,343.0,10917.0,1040.0,Eredivisie 2024-2025
