Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,League
vs Las Palmas,2,38.0,45.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,La Liga 2015-2016
vs Levante,2,38.0,37.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,La Liga 2015-2016
vs Málaga,2,38.0,38.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,La Liga 2015-2016
vs Rayo Vallecano,3,38.0,52.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,La Liga 2015-2016
vs Real Madrid,2,38.0,110.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,La Liga 2015-2016
vs Real Sociedad,2,38.0,45.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,La Liga 2015-2016
vs Sevilla,2,38.0,51.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,La Liga 2015-2016
vs Sporting Gijón,2,38.0,40.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,La Liga 2015-2016
vs Valencia,3,38.0,46.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,La Liga 2015-2016
vs Villarreal,3,38.0,44.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,La Liga 2015-2016
vs Atalanta,3,38.0,41.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2015-2016
vs Bologna,2,38.0,33.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2015-2016
vs Carpi,4,38.0,37.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2015-2016
vs Chievo,2,38.0,43.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2015-2016
vs Empoli,3,38.0,40.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2015-2016
vs Fiorentina,2,38.0,60.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2015-2016
vs Frosinone,3,38.0,35.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2015-2016
vs Genoa,2,38.0,45.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2015-2016
vs Hellas Verona,3,38.0,34.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2015-2016
vs Inter,3,38.0,50.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2015-2016
vs Juventus,2,38.0,75.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2015-2016
vs Lazio,2,38.0,52.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2015-2016
vs Milan,3,38.0,49.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2015-2016
vs Napoli,2,38.0,80.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2015-2016
vs Palermo,4,38.0,38.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2015-2016
vs Roma,2,38.0,83.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2015-2016
vs Sampdoria,2,38.0,48.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2015-2016
vs Sassuolo,2,38.0,49.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2015-2016
vs Torino,2,38.0,52.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2015-2016
vs Udinese,1,38.0,35.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2015-2016
vs Angers,3,38.0,40.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2015-2016
vs Bastia,3,38.0,36.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2015-2016
vs Bordeaux,3,38.0,50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2015-2016
vs Caen,1,38.0,39.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2015-2016
vs Gazélec Ajaccio,3,38.0,37.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2015-2016
vs Guingamp,2,38.0,47.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2015-2016
vs Lille,2,38.0,39.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2015-2016
vs Lorient,2,38.0,47.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2015-2016
vs Lyon,2,38.0,67.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2015-2016
vs Marseille,2,38.0,48.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2015-2016
vs Monaco,2,38.0,57.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2015-2016
vs Montpellier,3,38.0,49.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2015-2016
vs Nantes,2,38.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2015-2016
vs Nice,3,38.0,58.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2015-2016
vs Paris S-G,3,38.0,102.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2015-2016
vs Reims,3,38.0,44.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2015-2016
vs Rennes,2,38.0,52.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2015-2016
vs Saint-Étienne,1,38.0,42.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2015-2016
vs Toulouse,3,38.0,45.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2015-2016
vs Troyes,3,38.0,28.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2015-2016
vs ADO Den Haag,2,34.0,48.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie 2015-2016
vs Ajax,2,34.0,81.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie 2015-2016
vs AZ Alkmaar,2,34.0,65.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie 2015-2016
vs Cambuur,2,34.0,33.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie 2015-2016
vs De Graafschap,1,34.0,39.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie 2015-2016
vs Excelsior,2,34.0,34.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie 2015-2016
vs Feyenoord,1,34.0,62.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie 2015-2016
vs Groningen,1,34.0,41.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie 2015-2016
vs Heerenveen,1,34.0,46.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie 2015-2016
vs Heracles Almelo,1,34.0,47.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie 2015-2016
vs NEC Nijmegen,4,34.0,37.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie 2015-2016
vs PSV Eindhoven,1,34.0,88.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie 2015-2016
vs Roda JC,1,34.0,34.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie 2015-2016
vs Twente,2,34.0,49.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie 2015-2016
vs Utrecht,2,34.0,57.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie 2015-2016
vs Vitesse,1,34.0,55.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie 2015-2016
vs Willem II,1,34.0,35.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie 2015-2016
vs Zwolle,3,34.0,56.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie 2015-2016
vs Académica,2,34.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,Primeira Liga 2015-2016
vs Arouca,2,34.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,Primeira Liga 2015-2016
vs Belenenses,2,34.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,Primeira Liga 2015-2016
vs Benfica,3,34.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,Primeira Liga 2015-2016
vs Boavista,2,34.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,Primeira Liga 2015-2016
vs Braga,3,34.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,Primeira Liga 2015-2016
vs Estoril,2,34.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,Primeira Liga 2015-2016
vs Marítimo,3,34.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,Primeira Liga 2015-2016
vs Moreirense,3,34.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,Primeira Liga 2015-2016
vs Nacional,2,34.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,Primeira Liga 2015-2016
vs Paços de Ferreira,2,34.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,Primeira Liga 2015-2016
vs Porto,2,34.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,Primeira Liga 2015-2016
vs Rio Ave,2,34.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,Primeira Liga 2015-2016
vs Sporting CP,2,34.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,Primeira Liga 2015-2016
vs Tondela,3,34.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,Primeira Liga 2015-2016
vs União,5,34.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,Primeira Liga 2015-2016
vs Vitória,2,34.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,Primeira Liga 2015-2016
vs Vitória Setúbal,2,34.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,Primeira Liga 2015-2016
vs Birmingham City,2,46.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Blackburn,2,46.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Bolton,2,46.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Brentford,1,46.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Brighton,1,46.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Bristol City,3,46.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Burnley,1,46.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Cardiff City,2,46.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Charlton Ath,2,46.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Derby County,2,46.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Fulham,3,46.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Huddersfield,4,46.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Hull City,2,46.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Ipswich Town,2,46.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Leeds United,2,46.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Middlesbrough,1,46.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,Championship 2015-2016
vs MK Dons,3,46.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Nott'ham Forest,2,46.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Preston,5,46.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,Championship 2015-2016
vs QPR,4,46.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Reading,2,46.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Rotherham Utd,3,46.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Sheffield Weds,3,46.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Wolves,2,46.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Aberdeen,4,38.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2015-2016
vs Celtic,2,38.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2015-2016
vs Dundee,2,38.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2015-2016
vs Dundee United,3,38.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2015-2016
vs Hamilton Acad.,2,38.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2015-2016
vs Hearts,2,38.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2015-2016
vs Inverness CT,1,38.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2015-2016
vs Kilmarnock,2,38.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2015-2016
vs Motherwell,2,38.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2015-2016
vs Partick Thistle,3,38.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2015-2016
vs Ross County,2,38.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2015-2016
vs St Johnstone,2,38.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2015-2016
vs Augsburg,2,34.0,43.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,Bundesliga 2014-2015
vs Bayern Munich,2,34.0,80.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,Bundesliga 2014-2015
vs Dortmund,2,34.0,47.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,Bundesliga 2014-2015
vs Eint Frankfurt,3,34.0,56.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,Bundesliga 2014-2015
vs Freiburg,1,34.0,36.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,Bundesliga 2014-2015
vs Gladbach,1,34.0,53.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,Bundesliga 2014-2015
vs Hamburger SV,2,34.0,25.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,Bundesliga 2014-2015
vs Hannover 96,1,34.0,40.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,Bundesliga 2014-2015
vs Hertha BSC,3,34.0,32.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,Bundesliga 2014-2015
vs Hoffenheim,1,34.0,46.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,Bundesliga 2014-2015
vs Köln,2,34.0,34.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,Bundesliga 2014-2015
vs Leverkusen,1,34.0,61.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,Bundesliga 2014-2015
vs Mainz 05,2,34.0,45.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,Bundesliga 2014-2015
vs Paderborn 07,1,34.0,31.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,Bundesliga 2014-2015
vs Schalke 04,3,34.0,42.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,Bundesliga 2014-2015
vs Stuttgart,2,34.0,42.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,Bundesliga 2014-2015
vs Werder Bremen,3,34.0,50.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,Bundesliga 2014-2015
vs Wolfsburg,2,34.0,72.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,Bundesliga 2014-2015
vs Arsenal,3,38.0,67.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,Premier League 2014-2015
vs Aston Villa,3,38.0,31.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,Premier League 2014-2015
vs Burnley,1,38.0,26.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,Premier League 2014-2015
vs Chelsea,2,38.0,73.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,Premier League 2014-2015
vs Crystal Palace,2,38.0,47.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,Premier League 2014-2015
vs Everton,2,38.0,48.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,Premier League 2014-2015
vs Hull City,3,38.0,33.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,Premier League 2014-2015
vs Leicester City,3,38.0,46.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,Premier League 2014-2015
vs Liverpool,2,38.0,52.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,Premier League 2014-2015
vs Manchester City,2,38.0,83.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,Premier League 2014-2015
vs Manchester Utd,2,38.0,62.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,Premier League 2014-2015
vs Newcastle Utd,3,38.0,40.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,Premier League 2014-2015
vs QPR,2,38.0,42.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,Premier League 2014-2015
vs Southampton,3,38.0,52.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,Premier League 2014-2015
vs Stoke City,2,38.0,48.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,Premier League 2014-2015
vs Sunderland,2,38.0,31.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,Premier League 2014-2015
vs Swansea City,2,38.0,46.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,Premier League 2014-2015
vs Tottenham,2,38.0,56.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,Premier League 2014-2015
vs West Brom,2,38.0,38.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,Premier League 2014-2015
vs West Ham,2,38.0,44.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,Premier League 2014-2015
vs Almería,2,38.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Athletic Club,2,38.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Atlético Madrid,2,38.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Barcelona,2,38.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Celta Vigo,2,38.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Córdoba,2,38.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Eibar,2,38.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Elche,2,38.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Espanyol,2,38.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Getafe,3,38.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Granada,3,38.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs La Coruña,2,38.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Levante,2,38.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Málaga,1,38.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Rayo Vallecano,3,38.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Real Madrid,2,38.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Real Sociedad,2,38.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Sevilla,3,38.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Valencia,2,38.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Villarreal,2,38.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Atalanta,3,38.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2014-2015
vs Cagliari,3,38.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2014-2015
vs Cesena,3,38.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2014-2015
vs Chievo,2,38.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2014-2015
vs Empoli,2,38.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2014-2015
vs Fiorentina,2,38.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2014-2015
vs Genoa,2,38.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2014-2015
vs Hellas Verona,3,38.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2014-2015
vs Inter,2,38.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2014-2015
vs Juventus,2,38.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2014-2015
vs Lazio,2,38.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2014-2015
vs Milan,2,38.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2014-2015
vs Napoli,2,38.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2014-2015
vs Palermo,2,38.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2014-2015
vs Parma,2,38.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2014-2015
vs Roma,2,38.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2014-2015
vs Sampdoria,2,38.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2014-2015
vs Sassuolo,2,38.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2014-2015
vs Torino,3,38.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2014-2015
vs Udinese,2,38.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,Serie A 2014-2015
vs Bastia,2,38.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2014-2015
vs Bordeaux,2,38.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2014-2015
vs Caen,1,38.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2014-2015
vs Evian,2,38.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2014-2015
vs Guingamp,2,38.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2014-2015
vs Lens,3,38.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2014-2015
vs Lille,1,38.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2014-2015
vs Lorient,2,38.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2014-2015
vs Lyon,1,38.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2014-2015
vs Marseille,1,38.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2014-2015
vs Metz,3,38.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2014-2015
vs Monaco,2,38.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2014-2015
vs Montpellier,3,38.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2014-2015
vs Nantes,2,38.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2014-2015
vs Nice,2,38.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2014-2015
vs Paris S-G,2,38.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2014-2015
vs Reims,4,38.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2014-2015
vs Rennes,1,38.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2014-2015
vs Saint-Étienne,1,38.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2014-2015
vs Toulouse,2,38.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1 2014-2015
vs ADO Den Haag,2,34.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie 2014-2015
vs Ajax,3,34.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie 2014-2015
vs AZ Alkmaar,2,34.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie 2014-2015
vs Cambuur,2,34.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie 2014-2015
vs Dordrecht,2,34.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie 2014-2015
vs Excelsior,3,34.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie 2014-2015
vs Feyenoord,2,34.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie 2014-2015
vs Go Ahead Eag,2,34.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie 2014-2015
vs Groningen,2,34.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie 2014-2015
vs Heerenveen,1,34.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie 2014-2015
vs Heracles Almelo,2,34.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie 2014-2015
vs NAC Breda,1,34.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie 2014-2015
vs PSV Eindhoven,2,34.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie 2014-2015
vs Twente,2,34.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie 2014-2015
vs Utrecht,2,34.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie 2014-2015
vs Vitesse,2,34.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie 2014-2015
vs Willem II,2,34.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie 2014-2015
vs Zwolle,2,34.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie 2014-2015
vs Académica,2,34.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,Primeira Liga 2014-2015
vs Arouca,2,34.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,Primeira Liga 2014-2015
vs Belenenses,2,34.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,Primeira Liga 2014-2015
vs Benfica,2,34.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,Primeira Liga 2014-2015
vs Boavista,3,34.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,Primeira Liga 2014-2015
vs Braga,2,34.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,Primeira Liga 2014-2015
vs Estoril,3,34.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,Primeira Liga 2014-2015
