Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,League
vs Heracles Almelo,27,34.0,,0.0,,,,,,,,,,,0.0,,,,Eredivisie 2016-2017
vs NEC Nijmegen,27,34.0,,0.0,,,,,,,,,,,0.0,,,,Eredivisie 2016-2017
vs PSV Eindhoven,23,34.0,,0.0,,,,,,,,,,,0.0,,,,Eredivisie 2016-2017
vs Roda JC,30,34.0,,0.0,,,,,,,,,,,0.0,,,,Eredivisie 2016-2017
vs Sparta R'dam,29,34.0,,0.0,,,,,,,,,,,0.0,,,,Eredivisie 2016-2017
vs Twente,25,34.0,,0.0,,,,,,,,,,,0.0,,,,Eredivisie 2016-2017
vs Utrecht,29,34.0,,0.0,,,,,,,,,,,0.0,,,,Eredivisie 2016-2017
vs Vitesse,27,34.0,,0.0,,,,,,,,,,,0.0,,,,Eredivisie 2016-2017
vs Willem II,25,34.0,,0.0,,,,,,,,,,,0.0,,,,Eredivisie 2016-2017
vs Zwolle,27,34.0,,0.0,,,,,,,,,,,0.0,,,,Eredivisie 2016-2017
vs Arouca,29,34.0,,0.0,,,,,,,,,,,0.0,,,,Primeira Liga 2016-2017
vs Belenenses,31,34.0,,0.0,,,,,,,,,,,0.0,,,,Primeira Liga 2016-2017
vs Benfica,32,34.0,,0.0,,,,,,,,,,,0.0,,,,Primeira Liga 2016-2017
vs Boavista,31,34.0,,0.0,,,,,,,,,,,0.0,,,,Primeira Liga 2016-2017
vs Braga,37,34.0,,0.0,,,,,,,,,,,0.0,,,,Primeira Liga 2016-2017
vs Chaves,31,34.0,,0.0,,,,,,,,,,,0.0,,,,Primeira Liga 2016-2017
vs Estoril,31,34.0,,0.0,,,,,,,,,,,0.0,,,,Primeira Liga 2016-2017
vs Feirense,29,34.0,,0.0,,,,,,,,,,,0.0,,,,Primeira Liga 2016-2017
vs Marítimo,29,34.0,,0.0,,,,,,,,,,,0.0,,,,Primeira Liga 2016-2017
vs Moreirense,30,34.0,,0.0,,,,,,,,,,,0.0,,,,Primeira Liga 2016-2017
vs Nacional,29,34.0,,0.0,,,,,,,,,,,0.0,,,,Primeira Liga 2016-2017
vs Paços de Ferreira,29,34.0,,0.0,,,,,,,,,,,0.0,,,,Primeira Liga 2016-2017
vs Porto,27,34.0,,0.0,,,,,,,,,,,0.0,,,,Primeira Liga 2016-2017
vs Rio Ave,29,34.0,,0.0,,,,,,,,,,,0.0,,,,Primeira Liga 2016-2017
vs Sporting CP,31,34.0,,0.0,,,,,,,,,,,0.0,,,,Primeira Liga 2016-2017
vs Tondela,31,34.0,,0.0,,,,,,,,,,,0.0,,,,Primeira Liga 2016-2017
vs Vitória,32,34.0,,0.0,,,,,,,,,,,0.0,,,,Primeira Liga 2016-2017
vs Vitória Setúbal,26,34.0,,0.0,,,,,,,,,,,0.0,,,,Primeira Liga 2016-2017
vs Aston Villa,35,46.0,,0.0,,,,,,,,,,,0.0,,,,Championship 2016-2017
vs Barnsley,32,46.0,,0.0,,,,,,,,,,,0.0,,,,Championship 2016-2017
vs Birmingham City,30,46.0,,0.0,,,,,,,,,,,0.0,,,,Championship 2016-2017
vs Blackburn,31,46.0,,0.0,,,,,,,,,,,0.0,,,,Championship 2016-2017
vs Brentford,30,46.0,,0.0,,,,,,,,,,,0.0,,,,Championship 2016-2017
vs Brighton,28,46.0,,0.0,,,,,,,,,,,0.0,,,,Championship 2016-2017
vs Bristol City,32,46.0,,0.0,,,,,,,,,,,0.0,,,,Championship 2016-2017
vs Burton Albion,30,46.0,,0.0,,,,,,,,,,,0.0,,,,Championship 2016-2017
vs Cardiff City,33,46.0,,0.0,,,,,,,,,,,0.0,,,,Championship 2016-2017
vs Derby County,28,46.0,,0.0,,,,,,,,,,,0.0,,,,Championship 2016-2017
vs Fulham,27,46.0,,0.0,,,,,,,,,,,0.0,,,,Championship 2016-2017
vs Huddersfield,25,46.0,,0.0,,,,,,,,,,,0.0,,,,Championship 2016-2017
vs Ipswich Town,32,46.0,,0.0,,,,,,,,,,,0.0,,,,Championship 2016-2017
vs Leeds United,25,46.0,,0.0,,,,,,,,,,,0.0,,,,Championship 2016-2017
vs Newcastle Utd,30,46.0,,0.0,,,,,,,,,,,0.0,,,,Championship 2016-2017
vs Norwich City,28,46.0,,0.0,,,,,,,,,,,0.0,,,,Championship 2016-2017
vs Nott'ham Forest,38,46.0,,0.0,,,,,,,,,,,0.0,,,,Championship 2016-2017
vs Preston,29,46.0,,0.0,,,,,,,,,,,0.0,,,,Championship 2016-2017
vs QPR,37,46.0,,0.0,,,,,,,,,,,0.0,,,,Championship 2016-2017
vs Reading,28,46.0,,0.0,,,,,,,,,,,0.0,,,,Championship 2016-2017
vs Rotherham Utd,35,46.0,,0.0,,,,,,,,,,,0.0,,,,Championship 2016-2017
vs Sheffield Weds,30,46.0,,0.0,,,,,,,,,,,0.0,,,,Championship 2016-2017
vs Wigan Athletic,41,46.0,,0.0,,,,,,,,,,,0.0,,,,Championship 2016-2017
vs Wolves,35,46.0,,0.0,,,,,,,,,,,0.0,,,,Championship 2016-2017
vs Aberdeen,22,38.0,,,,,,,,,,,,,,,,,Scottish Premiership 2016-2017
vs Celtic,31,38.0,,,,,,,,,,,,,,,,,Scottish Premiership 2016-2017
vs Dundee,25,38.0,,,,,,,,,,,,,,,,,Scottish Premiership 2016-2017
vs Hamilton Acad.,33,38.0,,,,,,,,,,,,,,,,,Scottish Premiership 2016-2017
vs Hearts,32,38.0,,,,,,,,,,,,,,,,,Scottish Premiership 2016-2017
vs Inverness CT,28,38.0,,,,,,,,,,,,,,,,,Scottish Premiership 2016-2017
vs Kilmarnock,35,38.0,,,,,,,,,,,,,,,,,Scottish Premiership 2016-2017
vs Motherwell,30,38.0,,,,,,,,,,,,,,,,,Scottish Premiership 2016-2017
vs Partick Thistle,28,38.0,,,,,,,,,,,,,,,,,Scottish Premiership 2016-2017
vs Rangers,30,38.0,,,,,,,,,,,,,,,,,Scottish Premiership 2016-2017
vs Ross County,31,38.0,,,,,,,,,,,,,,,,,Scottish Premiership 2016-2017
vs St Johnstone,25,38.0,,,,,,,,,,,,,,,,,Scottish Premiership 2016-2017
vs Augsburg,27,34.0,,444.0,,,,,,,,,,,586.0,,,,Bundesliga 2015-2016
vs Bayern Munich,25,34.0,,553.0,,,,,,,,,,,732.0,,,,Bundesliga 2015-2016
vs Darmstadt 98,23,34.0,,349.0,,,,,,,,,,,447.0,,,,Bundesliga 2015-2016
vs Dortmund,26,34.0,,518.0,,,,,,,,,,,795.0,,,,Bundesliga 2015-2016
vs Eint Frankfurt,30,34.0,,498.0,,,,,,,,,,,681.0,,,,Bundesliga 2015-2016
vs Gladbach,26,34.0,,505.0,,,,,,,,,,,765.0,,,,Bundesliga 2015-2016
vs Hamburger SV,28,34.0,,467.0,,,,,,,,,,,639.0,,,,Bundesliga 2015-2016
vs Hannover 96,33,34.0,,515.0,,,,,,,,,,,617.0,,,,Bundesliga 2015-2016
vs Hertha BSC,26,34.0,,508.0,,,,,,,,,,,617.0,,,,Bundesliga 2015-2016
vs Hoffenheim,26,34.0,,500.0,,,,,,,,,,,734.0,,,,Bundesliga 2015-2016
vs Ingolstadt 04,25,34.0,,483.0,,,,,,,,,,,618.0,,,,Bundesliga 2015-2016
vs Köln,23,34.0,,420.0,,,,,,,,,,,597.0,,,,Bundesliga 2015-2016
vs Leverkusen,27,34.0,,617.0,,,,,,,,,,,786.0,,,,Bundesliga 2015-2016
vs Mainz 05,29,34.0,,581.0,,,,,,,,,,,706.0,,,,Bundesliga 2015-2016
vs Schalke 04,28,34.0,,572.0,,,,,,,,,,,656.0,,,,Bundesliga 2015-2016
vs Stuttgart,31,34.0,,494.0,,,,,,,,,,,675.0,,,,Bundesliga 2015-2016
vs Werder Bremen,30,34.0,,511.0,,,,,,,,,,,650.0,,,,Bundesliga 2015-2016
vs Wolfsburg,29,34.0,,484.0,,,,,,,,,,,641.0,,,,Bundesliga 2015-2016
vs Arsenal,25,38.0,,634.0,,,,,,,,,,,640.0,,,,Premier League 2015-2016
vs Aston Villa,29,38.0,,612.0,,,,,,,,,,,638.0,,,,Premier League 2015-2016
vs Bournemouth,28,38.0,,637.0,,,,,,,,,,,690.0,,,,Premier League 2015-2016
vs Chelsea,28,38.0,,626.0,,,,,,,,,,,678.0,,,,Premier League 2015-2016
vs Crystal Palace,30,38.0,,651.0,,,,,,,,,,,523.0,,,,Premier League 2015-2016
vs Everton,31,38.0,,598.0,,,,,,,,,,,686.0,,,,Premier League 2015-2016
vs Leicester City,23,38.0,,580.0,,,,,,,,,,,604.0,,,,Premier League 2015-2016
vs Liverpool,34,38.0,,665.0,,,,,,,,,,,748.0,,,,Premier League 2015-2016
vs Manchester City,25,38.0,,627.0,,,,,,,,,,,707.0,,,,Premier League 2015-2016
vs Manchester Utd,33,38.0,,681.0,,,,,,,,,,,775.0,,,,Premier League 2015-2016
vs Newcastle Utd,31,38.0,,686.0,,,,,,,,,,,657.0,,,,Premier League 2015-2016
vs Norwich City,28,38.0,,564.0,,,,,,,,,,,628.0,,,,Premier League 2015-2016
vs Southampton,26,38.0,,516.0,,,,,,,,,,,612.0,,,,Premier League 2015-2016
vs Stoke City,27,38.0,,536.0,,,,,,,,,,,573.0,,,,Premier League 2015-2016
vs Sunderland,31,38.0,,520.0,,,,,,,,,,,554.0,,,,Premier League 2015-2016
vs Swansea City,27,38.0,,561.0,,,,,,,,,,,750.0,,,,Premier League 2015-2016
vs Tottenham,24,38.0,,681.0,,,,,,,,,,,730.0,,,,Premier League 2015-2016
vs Watford,25,38.0,,521.0,,,,,,,,,,,675.0,,,,Premier League 2015-2016
vs West Brom,28,38.0,,523.0,,,,,,,,,,,540.0,,,,Premier League 2015-2016
vs West Ham,28,38.0,,614.0,,,,,,,,,,,579.0,,,,Premier League 2015-2016
vs Athletic Club,25,38.0,,601.0,,,,,,,,,,,798.0,,,,La Liga 2015-2016
vs Atlético Madrid,25,38.0,,631.0,,,,,,,,,,,824.0,,,,La Liga 2015-2016
vs Barcelona,25,38.0,,629.0,,,,,,,,,,,769.0,,,,La Liga 2015-2016
vs Betis,29,38.0,,637.0,,,,,,,,,,,637.0,,,,La Liga 2015-2016
vs Celta Vigo,27,38.0,,634.0,,,,,,,,,,,851.0,,,,La Liga 2015-2016
vs Eibar,28,38.0,,550.0,,,,,,,,,,,868.0,,,,La Liga 2015-2016
vs Espanyol,26,38.0,,566.0,,,,,,,,,,,678.0,,,,La Liga 2015-2016
vs Getafe,27,38.0,,636.0,,,,,,,,,,,703.0,,,,La Liga 2015-2016
vs Granada,28,38.0,,586.0,,,,,,,,,,,702.0,,,,La Liga 2015-2016
vs La Coruña,25,38.0,,496.0,,,,,,,,,,,713.0,,,,La Liga 2015-2016
vs Las Palmas,27,38.0,,630.0,,,,,,,,,,,796.0,,,,La Liga 2015-2016
vs Levante,27,38.0,,595.0,,,,,,,,,,,713.0,,,,La Liga 2015-2016
vs Málaga,30,38.0,,576.0,,,,,,,,,,,743.0,,,,La Liga 2015-2016
vs Rayo Vallecano,29,38.0,,635.0,,,,,,,,,,,770.0,,,,La Liga 2015-2016
vs Real Madrid,24,38.0,,518.0,,,,,,,,,,,673.0,,,,La Liga 2015-2016
vs Real Sociedad,27,38.0,,582.0,,,,,,,,,,,726.0,,,,La Liga 2015-2016
vs Sevilla,33,38.0,,531.0,,,,,,,,,,,665.0,,,,La Liga 2015-2016
vs Sporting Gijón,28,38.0,,573.0,,,,,,,,,,,777.0,,,,La Liga 2015-2016
vs Valencia,30,38.0,,675.0,,,,,,,,,,,741.0,,,,La Liga 2015-2016
vs Villarreal,26,38.0,,541.0,,,,,,,,,,,754.0,,,,La Liga 2015-2016
vs Atalanta,33,38.0,,552.0,,,,,,,,,,,597.0,,,,Serie A 2015-2016
vs Bologna,31,38.0,,724.0,,,,,,,,,,,679.0,,,,Serie A 2015-2016
vs Carpi,35,38.0,,610.0,,,,,,,,,,,651.0,,,,Serie A 2015-2016
vs Chievo,26,38.0,,537.0,,,,,,,,,,,641.0,,,,Serie A 2015-2016
vs Empoli,29,38.0,,770.0,,,,,,,,,,,721.0,,,,Serie A 2015-2016
vs Fiorentina,26,38.0,,710.0,,,,,,,,,,,654.0,,,,Serie A 2015-2016
vs Frosinone,28,38.0,,641.0,,,,,,,,,,,571.0,,,,Serie A 2015-2016
vs Genoa,30,38.0,,684.0,,,,,,,,,,,680.0,,,,Serie A 2015-2016
vs Hellas Verona,32,38.0,,607.0,,,,,,,,,,,639.0,,,,Serie A 2015-2016
vs Inter,28,38.0,,639.0,,,,,,,,,,,683.0,,,,Serie A 2015-2016
vs Juventus,28,38.0,,777.0,,,,,,,,,,,650.0,,,,Serie A 2015-2016
vs Lazio,27,38.0,,712.0,,,,,,,,,,,711.0,,,,Serie A 2015-2016
vs Milan,30,38.0,,738.0,,,,,,,,,,,648.0,,,,Serie A 2015-2016
vs Napoli,22,38.0,,655.0,,,,,,,,,,,847.0,,,,Serie A 2015-2016
vs Palermo,31,38.0,,770.0,,,,,,,,,,,646.0,,,,Serie A 2015-2016
vs Roma,32,38.0,,713.0,,,,,,,,,,,679.0,,,,Serie A 2015-2016
vs Sampdoria,35,38.0,,587.0,,,,,,,,,,,734.0,,,,Serie A 2015-2016
vs Sassuolo,26,38.0,,710.0,,,,,,,,,,,765.0,,,,Serie A 2015-2016
vs Torino,27,38.0,,574.0,,,,,,,,,,,598.0,,,,Serie A 2015-2016
vs Udinese,28,38.0,,572.0,,,,,,,,,,,622.0,,,,Serie A 2015-2016
vs Angers,29,38.0,,551.0,,,,,,,,,,,658.0,,,,Ligue 1 2015-2016
vs Bastia,26,38.0,,514.0,,,,,,,,,,,614.0,,,,Ligue 1 2015-2016
vs Bordeaux,35,38.0,,609.0,,,,,,,,,,,697.0,,,,Ligue 1 2015-2016
vs Caen,24,38.0,,589.0,,,,,,,,,,,732.0,,,,Ligue 1 2015-2016
vs Gazélec Ajaccio,23,38.0,,479.0,,,,,,,,,,,642.0,,,,Ligue 1 2015-2016
vs Guingamp,28,38.0,,571.0,,,,,,,,,,,569.0,,,,Ligue 1 2015-2016
vs Lille,32,38.0,,653.0,,,,,,,,,,,689.0,,,,Ligue 1 2015-2016
vs Lorient,31,38.0,,639.0,,,,,,,,,,,726.0,,,,Ligue 1 2015-2016
vs Lyon,30,38.0,,621.0,,,,,,,,,,,831.0,,,,Ligue 1 2015-2016
vs Marseille,28,38.0,,714.0,,,,,,,,,,,751.0,,,,Ligue 1 2015-2016
vs Monaco,31,38.0,,604.0,,,,,,,,,,,701.0,,,,Ligue 1 2015-2016
vs Montpellier,30,38.0,,677.0,,,,,,,,,,,746.0,,,,Ligue 1 2015-2016
vs Nantes,29,38.0,,524.0,,,,,,,,,,,670.0,,,,Ligue 1 2015-2016
vs Nice,33,38.0,,613.0,,,,,,,,,,,754.0,,,,Ligue 1 2015-2016
vs Paris S-G,28,38.0,,515.0,,,,,,,,,,,817.0,,,,Ligue 1 2015-2016
vs Reims,31,38.0,,571.0,,,,,,,,,,,772.0,,,,Ligue 1 2015-2016
vs Rennes,31,38.0,,626.0,,,,,,,,,,,794.0,,,,Ligue 1 2015-2016
vs Saint-Étienne,31,38.0,,544.0,,,,,,,,,,,712.0,,,,Ligue 1 2015-2016
vs Toulouse,25,38.0,,657.0,,,,,,,,,,,701.0,,,,Ligue 1 2015-2016
vs Troyes,33,38.0,,500.0,,,,,,,,,,,699.0,,,,Ligue 1 2015-2016
vs ADO Den Haag,24,34.0,,469.0,,,,,,,,,,,435.0,,,,Eredivisie 2015-2016
vs Ajax,25,34.0,,589.0,,,,,,,,,,,579.0,,,,Eredivisie 2015-2016
vs AZ Alkmaar,28,34.0,,527.0,,,,,,,,,,,633.0,,,,Eredivisie 2015-2016
vs Cambuur,32,34.0,,501.0,,,,,,,,,,,544.0,,,,Eredivisie 2015-2016
vs De Graafschap,25,34.0,,433.0,,,,,,,,,,,538.0,,,,Eredivisie 2015-2016
vs Excelsior,25,34.0,,502.0,,,,,,,,,,,560.0,,,,Eredivisie 2015-2016
vs Feyenoord,24,34.0,,447.0,,,,,,,,,,,688.0,,,,Eredivisie 2015-2016
vs Groningen,24,34.0,,479.0,,,,,,,,,,,566.0,,,,Eredivisie 2015-2016
vs Heerenveen,22,34.0,,550.0,,,,,,,,,,,659.0,,,,Eredivisie 2015-2016
vs Heracles Almelo,22,34.0,,454.0,,,,,,,,,,,550.0,,,,Eredivisie 2015-2016
vs NEC Nijmegen,27,34.0,,467.0,,,,,,,,,,,584.0,,,,Eredivisie 2015-2016
vs PSV Eindhoven,23,34.0,,503.0,,,,,,,,,,,598.0,,,,Eredivisie 2015-2016
vs Roda JC,33,34.0,,480.0,,,,,,,,,,,559.0,,,,Eredivisie 2015-2016
vs Twente,28,34.0,,637.0,,,,,,,,,,,614.0,,,,Eredivisie 2015-2016
vs Utrecht,27,34.0,,507.0,,,,,,,,,,,632.0,,,,Eredivisie 2015-2016
vs Vitesse,26,34.0,,582.0,,,,,,,,,,,667.0,,,,Eredivisie 2015-2016
vs Willem II,29,34.0,,458.0,,,,,,,,,,,576.0,,,,Eredivisie 2015-2016
vs Zwolle,29,34.0,,431.0,,,,,,,,,,,622.0,,,,Eredivisie 2015-2016
vs Académica,28,34.0,,,,,,,,,,,,,,,,,Primeira Liga 2015-2016
vs Arouca,30,34.0,,,,,,,,,,,,,,,,,Primeira Liga 2015-2016
vs Belenenses,30,34.0,,,,,,,,,,,,,,,,,Primeira Liga 2015-2016
vs Benfica,31,34.0,,,,,,,,,,,,,,,,,Primeira Liga 2015-2016
vs Boavista,33,34.0,,,,,,,,,,,,,,,,,Primeira Liga 2015-2016
vs Braga,32,34.0,,,,,,,,,,,,,,,,,Primeira Liga 2015-2016
vs Estoril,28,34.0,,,,,,,,,,,,,,,,,Primeira Liga 2015-2016
vs Marítimo,33,34.0,,,,,,,,,,,,,,,,,Primeira Liga 2015-2016
vs Moreirense,30,34.0,,,,,,,,,,,,,,,,,Primeira Liga 2015-2016
vs Nacional,29,34.0,,,,,,,,,,,,,,,,,Primeira Liga 2015-2016
vs Paços de Ferreira,28,34.0,,,,,,,,,,,,,,,,,Primeira Liga 2015-2016
vs Porto,29,34.0,,,,,,,,,,,,,,,,,Primeira Liga 2015-2016
vs Rio Ave,31,34.0,,,,,,,,,,,,,,,,,Primeira Liga 2015-2016
vs Sporting CP,31,34.0,,,,,,,,,,,,,,,,,Primeira Liga 2015-2016
vs Tondela,30,34.0,,,,,,,,,,,,,,,,,Primeira Liga 2015-2016
vs União,32,34.0,,,,,,,,,,,,,,,,,Primeira Liga 2015-2016
vs Vitória,38,34.0,,,,,,,,,,,,,,,,,Primeira Liga 2015-2016
vs Vitória Setúbal,27,34.0,,,,,,,,,,,,,,,,,Primeira Liga 2015-2016
vs Birmingham City,28,46.0,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Blackburn,33,46.0,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Bolton,34,46.0,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Brentford,29,46.0,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Brighton,30,46.0,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Bristol City,31,46.0,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Burnley,25,46.0,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Cardiff City,29,46.0,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Charlton Ath,37,46.0,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Derby County,25,46.0,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Fulham,33,46.0,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Huddersfield,34,46.0,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Hull City,27,46.0,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Ipswich Town,31,46.0,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Leeds United,26,46.0,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Middlesbrough,27,46.0,,,,,,,,,,,,,,,,,Championship 2015-2016
vs MK Dons,33,46.0,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Nott'ham Forest,34,46.0,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Preston,29,46.0,,,,,,,,,,,,,,,,,Championship 2015-2016
vs QPR,32,46.0,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Reading,30,46.0,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Rotherham Utd,39,46.0,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Sheffield Weds,29,46.0,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Wolves,33,46.0,,,,,,,,,,,,,,,,,Championship 2015-2016
vs Aberdeen,31,38.0,,,,,,,,,,,,,,,,,Scottish Premiership 2015-2016
vs Celtic,36,38.0,,,,,,,,,,,,,,,,,Scottish Premiership 2015-2016
vs Dundee,30,38.0,,,,,,,,,,,,,,,,,Scottish Premiership 2015-2016
vs Dundee United,40,38.0,,,,,,,,,,,,,,,,,Scottish Premiership 2015-2016
vs Hamilton Acad.,29,38.0,,,,,,,,,,,,,,,,,Scottish Premiership 2015-2016
vs Hearts,30,38.0,,,,,,,,,,,,,,,,,Scottish Premiership 2015-2016
vs Inverness CT,25,38.0,,,,,,,,,,,,,,,,,Scottish Premiership 2015-2016
vs Kilmarnock,34,38.0,,,,,,,,,,,,,,,,,Scottish Premiership 2015-2016
vs Motherwell,27,38.0,,,,,,,,,,,,,,,,,Scottish Premiership 2015-2016
vs Partick Thistle,29,38.0,,,,,,,,,,,,,,,,,Scottish Premiership 2015-2016
vs Ross County,26,38.0,,,,,,,,,,,,,,,,,Scottish Premiership 2015-2016
vs St Johnstone,28,38.0,,,,,,,,,,,,,,,,,Scottish Premiership 2015-2016
vs Augsburg,25,34.0,,456.0,,,,,,,,,,,536.0,,,,Bundesliga 2014-2015
vs Bayern Munich,28,34.0,,585.0,,,,,,,,,,,669.0,,,,Bundesliga 2014-2015
vs Dortmund,28,34.0,,514.0,,,,,,,,,,,750.0,,,,Bundesliga 2014-2015
vs Eint Frankfurt,26,34.0,,553.0,,,,,,,,,,,589.0,,,,Bundesliga 2014-2015
vs Freiburg,27,34.0,,532.0,,,,,,,,,,,541.0,,,,Bundesliga 2014-2015
vs Gladbach,19,34.0,,432.0,,,,,,,,,,,597.0,,,,Bundesliga 2014-2015
vs Hamburger SV,31,34.0,,487.0,,,,,,,,,,,520.0,,,,Bundesliga 2014-2015
vs Hannover 96,25,34.0,,498.0,,,,,,,,,,,553.0,,,,Bundesliga 2014-2015
vs Hertha BSC,26,34.0,,513.0,,,,,,,,,,,559.0,,,,Bundesliga 2014-2015
vs Hoffenheim,23,34.0,,570.0,,,,,,,,,,,668.0,,,,Bundesliga 2014-2015
vs Köln,23,34.0,,404.0,,,,,,,,,,,538.0,,,,Bundesliga 2014-2015
vs Leverkusen,22,34.0,,632.0,,,,,,,,,,,690.0,,,,Bundesliga 2014-2015
vs Mainz 05,29,34.0,,536.0,,,,,,,,,,,575.0,,,,Bundesliga 2014-2015
vs Paderborn 07,24,34.0,,564.0,,,,,,,,,,,510.0,,,,Bundesliga 2014-2015
vs Schalke 04,29,34.0,,554.0,,,,,,,,,,,587.0,,,,Bundesliga 2014-2015
vs Stuttgart,24,34.0,,492.0,,,,,,,,,,,519.0,,,,Bundesliga 2014-2015
vs Werder Bremen,31,34.0,,504.0,,,,,,,,,,,575.0,,,,Bundesliga 2014-2015
vs Wolfsburg,22,34.0,,466.0,,,,,,,,,,,649.0,,,,Bundesliga 2014-2015
vs Arsenal,29,38.0,,649.0,,,,,,,,,,,598.0,,,,Premier League 2014-2015
vs Aston Villa,27,38.0,,457.0,,,,,,,,,,,544.0,,,,Premier League 2014-2015
vs Burnley,24,38.0,,466.0,,,,,,,,,,,534.0,,,,Premier League 2014-2015
vs Chelsea,25,38.0,,621.0,,,,,,,,,,,589.0,,,,Premier League 2014-2015
vs Crystal Palace,30,38.0,,611.0,,,,,,,,,,,543.0,,,,Premier League 2014-2015
vs Everton,28,38.0,,584.0,,,,,,,,,,,607.0,,,,Premier League 2014-2015
vs Hull City,29,38.0,,496.0,,,,,,,,,,,510.0,,,,Premier League 2014-2015
vs Leicester City,28,38.0,,536.0,,,,,,,,,,,566.0,,,,Premier League 2014-2015
vs Liverpool,25,38.0,,606.0,,,,,,,,,,,696.0,,,,Premier League 2014-2015
vs Manchester City,24,38.0,,515.0,,,,,,,,,,,693.0,,,,Premier League 2014-2015
vs Manchester Utd,33,38.0,,543.0,,,,,,,,,,,546.0,,,,Premier League 2014-2015
vs Newcastle Utd,27,38.0,,695.0,,,,,,,,,,,562.0,,,,Premier League 2014-2015
vs QPR,32,38.0,,564.0,,,,,,,,,,,532.0,,,,Premier League 2014-2015
vs Southampton,29,38.0,,490.0,,,,,,,,,,,615.0,,,,Premier League 2014-2015
vs Stoke City,25,38.0,,545.0,,,,,,,,,,,529.0,,,,Premier League 2014-2015
vs Sunderland,25,38.0,,529.0,,,,,,,,,,,566.0,,,,Premier League 2014-2015
vs Swansea City,28,38.0,,531.0,,,,,,,,,,,590.0,,,,Premier League 2014-2015
vs Tottenham,27,38.0,,638.0,,,,,,,,,,,609.0,,,,Premier League 2014-2015
vs West Brom,26,38.0,,473.0,,,,,,,,,,,549.0,,,,Premier League 2014-2015
vs West Ham,28,38.0,,543.0,,,,,,,,,,,486.0,,,,Premier League 2014-2015
vs Almería,27,38.0,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Athletic Club,26,38.0,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Atlético Madrid,25,38.0,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Barcelona,24,38.0,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Celta Vigo,23,38.0,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Córdoba,33,38.0,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Eibar,23,38.0,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Elche,24,38.0,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Espanyol,27,38.0,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Getafe,27,38.0,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Granada,34,38.0,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs La Coruña,27,38.0,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Levante,29,38.0,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Málaga,23,38.0,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Rayo Vallecano,28,38.0,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Real Madrid,24,38.0,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Real Sociedad,25,38.0,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Sevilla,26,38.0,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Valencia,24,38.0,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Villarreal,28,38.0,,,,,,,,,,,,,,,,,La Liga 2014-2015
vs Atalanta,32,38.0,,,,,,,,,,,,,,,,,Serie A 2014-2015
vs Cagliari,29,38.0,,,,,,,,,,,,,,,,,Serie A 2014-2015
vs Cesena,33,38.0,,,,,,,,,,,,,,,,,Serie A 2014-2015
vs Chievo,27,38.0,,,,,,,,,,,,,,,,,Serie A 2014-2015
vs Empoli,26,38.0,,,,,,,,,,,,,,,,,Serie A 2014-2015
vs Fiorentina,30,38.0,,,,,,,,,,,,,,,,,Serie A 2014-2015
vs Genoa,33,38.0,,,,,,,,,,,,,,,,,Serie A 2014-2015
