Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,League,Season
407,Miguel Rodríguez,es ESP,"FW,MF",Utrecht,21,2003,22,15,"1,241",13.8,7,3,10,7,0,0,5,0,4.4,4.4,3.7,8.0,44,42,118,0.51,0.22,0.73,0.51,0.73,0.32,0.27,0.58,0.32,0.58,Matches,Eredivisie,2024/25
408,Robin Roefs,nl NED,GK,NEC Nijmegen,21,2003,32,32,"2,880",32.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2024/25
409,Godfried Roemeratoe,cw CUW,MF,RKC Waalwijk,24,1999,25,17,"1,517",16.9,1,1,2,1,0,0,3,0,0.7,0.7,0.5,1.3,14,66,6,0.06,0.06,0.12,0.06,0.12,0.04,0.03,0.08,0.04,0.08,Matches,Eredivisie,2024/25
410,Ole Romeny,id IDN,FW,Utrecht,24,2000,13,8,726,8.1,2,0,2,2,0,0,2,0,1.8,1.8,0.3,2.1,28,21,77,0.25,0.00,0.25,0.25,0.25,0.23,0.04,0.27,0.23,0.27,Matches,Eredivisie,2024/25
411,Bart van Rooij,nl NED,DF,Twente,23,2001,32,32,"2,852",31.7,1,4,5,1,0,0,1,0,1.2,1.2,3.6,4.7,65,172,104,0.03,0.13,0.16,0.03,0.16,0.04,0.11,0.15,0.04,0.15,Matches,Eredivisie,2024/25
412,Bart van Rooij,nl NED,DF,NEC Nijmegen,23,2001,2,2,177,2.0,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.2,2,3,3,0.00,0.51,0.51,0.00,0.51,0.01,0.07,0.08,0.01,0.08,Matches,Eredivisie,2024/25
413,Kaj de Rooij,nl NED,"FW,MF",Zwolle,23,2000,21,0,330,3.7,2,1,3,2,0,0,3,0,0.3,0.3,0.3,0.7,7,15,31,0.55,0.27,0.82,0.55,0.82,0.09,0.09,0.18,0.09,0.18,Matches,Eredivisie,2024/25
414,Ruben Roosken,nl NED,DF,Heracles Almelo,24,2000,16,15,"1,222",13.6,1,2,3,1,0,0,4,0,0.2,0.2,1.7,1.9,28,36,76,0.07,0.15,0.22,0.07,0.22,0.01,0.13,0.14,0.01,0.14,Matches,Eredivisie,2024/25
415,Loreintz Rosier,fr FRA,"MF,DF",Fortuna Sittard,25,1998,31,24,"2,148",23.9,3,1,4,3,0,0,6,0,1.5,1.5,1.0,2.4,24,98,15,0.13,0.04,0.17,0.13,0.17,0.06,0.04,0.10,0.06,0.10,Matches,Eredivisie,2024/25
416,Daan Rots,nl NED,FW,Twente,23,2001,32,27,"2,173",24.1,3,6,9,3,0,0,4,0,4.8,4.8,4.3,9.1,39,106,195,0.12,0.25,0.37,0.12,0.37,0.20,0.18,0.38,0.20,0.38,Matches,Eredivisie,2024/25
