Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,League,Season
51,Leonardo Balerdi,ar ARG,DF,Marseille,25,1999,27,27,"2,273",25.3,0,0,0,0,0,0,9,1,0.9,0.9,0.7,1.7,13,105,5,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07,Matches,Ligue 1,2024/25
52,Fodé Ballo-Touré,sn SEN,"DF,MF",Le Havre,27,1997,10,9,589,6.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,15,13,14,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,Ligue 1,2024/25
53,Folarin Balogun,us USA,FW,Monaco,23,2001,13,7,615,6.8,4,0,4,4,0,0,0,0,4.8,4.8,0.9,5.6,21,9,73,0.59,0.00,0.59,0.59,0.59,0.70,0.13,0.82,0.70,0.82,Matches,Ligue 1,2024/25
54,Abdoulaye Bamba,ci CIV,DF,Angers,34,1990,19,16,"1,510",16.8,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,1,16,3,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.01,0.02,Matches,Ligue 1,2024/25
55,Mohamed Bamba,ci CIV,MF,Reims,19,2004,2,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2024/25
56,Valentín Barco,ar ARG,"MF,DF",Strasbourg,20,2004,14,14,"1,157",12.9,0,2,2,0,0,0,2,0,0.5,0.5,1.5,2.0,20,64,55,0.00,0.16,0.16,0.00,0.16,0.04,0.11,0.15,0.04,0.15,Matches,Ligue 1,2024/25
57,Bradley Barcola,fr FRA,FW,Paris S-G,21,2002,34,27,"2,181",24.2,14,10,24,14,0,0,2,0,13.4,13.4,10.1,23.5,137,96,374,0.58,0.41,0.99,0.58,0.99,0.55,0.42,0.97,0.55,0.97,Matches,Ligue 1,2024/25
58,Melvin Bard,fr FRA,"DF,MF",Nice,23,2000,24,22,"1,938",21.5,2,1,3,2,0,0,4,2,2.2,2.2,1.9,4.1,53,88,95,0.09,0.05,0.14,0.09,0.14,0.10,0.09,0.19,0.10,0.19,Matches,Ligue 1,2024/25
59,Gabriel Bares,ch SUI,"MF,DF",Montpellier,23,2000,6,0,56,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2024/25
60,Téo Barisic,fr FRA,DF,Lyon,19,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2024/25
61,Dylan Batubinsika,cd COD,DF,Saint-Étienne,28,1996,25,22,"2,016",22.4,1,0,1,1,0,0,3,1,0.8,0.8,0.2,1.0,11,51,1,0.04,0.00,0.04,0.04,0.04,0.04,0.01,0.04,0.04,0.04,Matches,Ligue 1,2024/25
62,Haris Belkebla,dz ALG,MF,Angers,30,1994,22,21,"1,792",19.9,0,1,1,0,0,0,1,0,0.1,0.1,0.9,1.0,8,69,15,0.00,0.05,0.05,0.00,0.05,0.00,0.05,0.05,0.00,0.05,Matches,Ligue 1,2024/25
