Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,League,Season
94,Adama Boiro,es ESP,"DF,FW",Athletic Club,22,2002,18,13,"1,101",12.2,0,0,0,0,0,0,3,0,0.3,0.3,0.5,0.7,25,46,36,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06,Matches,laliga,2024/25
95,Enzo Boyomo,cm CMR,DF,Osasuna,22,2001,34,33,"2,987",33.2,2,0,2,2,0,0,5,0,1.5,1.5,0.9,2.4,16,111,7,0.06,0.00,0.06,0.06,0.06,0.05,0.03,0.07,0.05,0.07,Matches,laliga,2024/25
96,Enzo Boyomo,cm CMR,DF,Valladolid,22,2001,3,3,270,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,7,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,laliga,2024/25
97,Darko Brašanac,rs SRB,MF,Leganés,32,1992,30,15,"1,617",18.0,1,2,3,1,0,0,4,0,1.8,1.8,0.4,2.2,6,43,53,0.06,0.11,0.17,0.06,0.17,0.10,0.02,0.12,0.10,0.12,Matches,laliga,2024/25
98,Tajon Buchanan,ca CAN,MF,Villarreal,25,1999,13,4,416,4.6,1,2,3,1,0,0,2,0,0.9,0.9,0.5,1.4,19,5,45,0.22,0.43,0.65,0.22,0.65,0.19,0.12,0.31,0.19,0.31,Matches,laliga,2024/25
99,Ante Budimir,hr CRO,FW,Osasuna,33,1991,38,34,"2,952",32.8,21,4,25,13,8,8,4,0,18.3,12.3,1.7,13.9,23,24,134,0.64,0.12,0.76,0.40,0.52,0.56,0.05,0.61,0.37,0.42,Matches,laliga,2024/25
100,Manu Bueno,es ESP,"MF,FW",Sevilla,20,2004,9,1,140,1.6,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,2,5,5,0.64,0.00,0.64,0.64,0.64,0.08,0.00,0.08,0.08,0.08,Matches,laliga,2024/25
101,Endika Buján,es ESP,FW,Athletic Club,21,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,laliga,2024/25
102,Pau Cabanes,es ESP,"MF,FW",Villarreal,19,2005,10,0,163,1.8,1,0,1,1,0,0,0,0,0.5,0.5,0.4,0.9,10,11,33,0.55,0.00,0.55,0.55,0.55,0.26,0.22,0.47,0.26,0.47,Matches,laliga,2024/25
103,Pau Cabanes,es ESP,"MF,FW",Alavés,19,2005,6,2,188,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,15,5,15,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches,laliga,2024/25
