Empty,Empty,Empty,Empty,Empty,Empty,Empty,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Matches,League,Season
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Primeira Liga,2024/25
51,Afonso Bastardo,pt POR,FW,Sporting CP,19,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
52,Gil Bastião Dias,pt POR,"FW,MF",Famalicão,27,1996,30,13,"1,406",15.6,5,2,7,5,0,0,7,0,2.8,2.8,1.1,3.8,45,61,123,0.32,0.13,0.45,0.32,0.45,0.18,0.07,0.24,0.18,0.24,Matches,Primeira Liga,2024/25
53,Gabriel Batista,br BRA,GK,Santa Clara,26,1998,34,34,"3,060",34.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
54,Gilberto Batista,gw GNB,DF,Moreirense,20,2003,5,3,317,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
55,Ricardo Batista,pt POR,GK,Casa Pia,37,1986,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
56,Yanis Begraoui,ma MAR,"FW,MF",Estoril,23,2001,34,25,"1,913",21.3,11,3,14,9,2,4,1,0,10.8,7.7,3.4,11.0,28,46,111,0.52,0.14,0.66,0.42,0.56,0.51,0.16,0.67,0.36,0.52,Matches,Primeira Liga,2024/25
57,Gui Beleza,pt POR,MF,Gil Vicente FC,17,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
58,Bachir Belloumi,dz ALG,FW,Farense,22,2002,3,3,270,3.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,8,14,20,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10,Matches,Primeira Liga,2024/25
59,Andrea Belotti,it ITA,FW,Benfica,30,1993,14,4,457,5.1,3,0,3,3,0,0,0,0,5.3,5.3,1.1,6.4,11,8,40,0.59,0.00,0.59,0.59,0.59,1.04,0.22,1.26,1.04,1.26,Matches,Primeira Liga,2024/25
60,Fahem Benaissa Yahia,fr FRA,"MF,DF",Casa Pia,22,2002,8,4,386,4.3,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.3,10,10,19,0.23,0.00,0.23,0.23,0.23,0.07,0.00,0.07,0.07,0.07,Matches,Primeira Liga,2024/25
61,Beni,ao ANG,MF,Vitória,22,2002,7,2,177,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,9,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,Primeira Liga,2024/25
62,Beni,ao ANG,MF,Casa Pia,22,2002,13,7,749,8.3,0,1,1,0,0,0,3,0,0.1,0.1,0.2,0.2,7,35,7,0.00,0.12,0.12,0.00,0.12,0.01,0.02,0.03,0.01,0.03,Matches,Primeira Liga,2024/25
63,Álex Bermejo,es ESP,"MF,FW",Farense,25,1998,24,4,598,6.6,1,0,1,1,0,0,3,0,1.9,1.9,0.4,2.3,14,18,35,0.15,0.00,0.15,0.15,0.15,0.28,0.07,0.35,0.28,0.35,Matches,Primeira Liga,2024/25
64,Sergio Bermejo,es ESP,"MF,FW",Gil Vicente FC,26,1997,10,6,475,5.3,1,0,1,1,0,0,0,0,0.6,0.6,0.3,0.8,12,20,24,0.19,0.00,0.19,0.19,0.19,0.10,0.05,0.15,0.10,0.15,Matches,Primeira Liga,2024/25
65,Simão Bertelli,br BRA,GK,AVS Futebol,31,1993,11,11,990,11.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
66,Jan-Niklas Beste,de GER,"FW,DF",Benfica,25,1999,13,5,501,5.6,0,1,1,0,0,0,3,0,0.7,0.7,1.5,2.2,23,21,67,0.00,0.18,0.18,0.00,0.18,0.12,0.27,0.40,0.12,0.40,Matches,Primeira Liga,2024/25
67,José Bica,pt POR,"FW,MF",Vitória,21,2003,4,0,25,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,0,0,2,0.00,0.00,0.00,0.00,0.00,0.69,0.20,0.89,0.69,0.89,Matches,Primeira Liga,2024/25
68,Biel,br BRA,"MF,FW",Sporting CP,23,2001,3,0,15,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,2,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.52,0.52,0.52,Matches,Primeira Liga,2024/25
69,Raúl Blanco,es ESP,FW,Casa Pia,23,2001,5,3,250,2.8,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.3,2,11,14,0.36,0.00,0.36,0.36,0.36,0.11,0.00,0.11,0.11,0.11,Matches,Primeira Liga,2024/25
70,Paulinho Bóia,br BRA,"FW,MF",Nacional,26,1998,15,13,"1,081",12.0,1,2,3,1,0,0,2,0,2.2,2.0,2.6,4.6,32,26,77,0.08,0.17,0.25,0.08,0.25,0.18,0.22,0.40,0.17,0.38,Matches,Primeira Liga,2024/25
71,Kévin Boma,tg TOG,DF,Estoril,21,2002,29,29,"2,467",27.4,1,0,1,1,0,0,7,0,1.3,1.3,0.2,1.5,4,56,4,0.04,0.00,0.04,0.04,0.04,0.05,0.01,0.06,0.05,0.06,Matches,Primeira Liga,2024/25
72,Pedro Bondo,ao ANG,DF,Famalicão,19,2004,6,2,181,2.0,1,1,2,1,0,0,1,1,0.1,0.1,0.8,0.9,8,4,10,0.50,0.50,0.99,0.50,0.99,0.05,0.42,0.47,0.05,0.47,Matches,Primeira Liga,2024/25
73,Kiko Bondoso,pt POR,"FW,MF",Rio Ave,28,1995,28,24,"1,949",21.7,2,1,3,2,0,0,1,0,2.2,2.2,2.3,4.6,39,55,147,0.09,0.05,0.14,0.09,0.14,0.10,0.11,0.21,0.10,0.21,Matches,Primeira Liga,2024/25
74,Toni Borevkovic,hr CRO,DF,Vitória,27,1997,27,27,"2,420",26.9,0,0,0,0,0,0,7,0,1.5,1.5,0.8,2.2,8,83,1,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08,Matches,Primeira Liga,2024/25
75,Daniel Borges,br BRA,"MF,FW",Santa Clara,21,2003,16,1,194,2.2,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.5,3,7,6,0.00,0.00,0.00,0.00,0.00,0.15,0.09,0.24,0.15,0.24,Matches,Primeira Liga,2024/25
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Primeira Liga,2024/25
76,Gonçalo Borges,pt POR,"FW,MF",Porto,23,2001,26,6,761,8.5,2,3,5,2,0,0,6,1,1.3,1.3,2.1,3.4,46,16,122,0.24,0.35,0.59,0.24,0.59,0.15,0.25,0.40,0.15,0.40,Matches,Primeira Liga,2024/25
77,Róbert Boženík,sk SVK,FW,Boavista,24,1999,33,30,"2,753",30.6,5,1,6,4,1,1,7,0,8.9,8.2,0.6,8.7,16,39,150,0.16,0.03,0.20,0.13,0.16,0.29,0.02,0.31,0.27,0.29,Matches,Primeira Liga,2024/25
78,Daniel Bragança,pt POR,MF,Sporting CP,25,1999,18,14,"1,077",12.0,3,4,7,3,0,0,3,0,2.7,2.7,1.7,4.4,16,87,46,0.25,0.33,0.58,0.25,0.58,0.22,0.15,0.37,0.22,0.37,Matches,Primeira Liga,2024/25
79,Bruno Brigido,br BRA,GK,Estrela,33,1991,18,18,"1,575",17.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
80,Alexandre Brito,pt POR,"MF,DF",Sporting CP,19,2005,2,1,89,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,3,0,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches,Primeira Liga,2024/25
81,Rafael Brito,pt POR,MF,Casa Pia,22,2002,22,12,"1,011",11.2,0,1,1,0,0,0,5,0,0.3,0.3,0.4,0.7,3,33,15,0.00,0.09,0.09,0.00,0.09,0.03,0.04,0.06,0.03,0.06,Matches,Primeira Liga,2024/25
82,Tiago Brito,pt POR,MF,Estoril,20,2004,4,0,97,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,2,1,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.07,0.02,0.07,Matches,Primeira Liga,2024/25
83,Bruma,pt POR,"FW,MF",Braga,29,1994,17,13,"1,208",13.4,7,5,12,4,3,4,1,0,8.6,5.4,5.9,11.4,43,64,115,0.52,0.37,0.89,0.30,0.67,0.64,0.44,1.08,0.40,0.85,Matches,Primeira Liga,2024/25
84,Bruma,pt POR,"FW,MF",Benfica,29,1994,10,5,487,5.4,1,2,3,1,0,0,0,0,2.4,2.4,1.0,3.4,25,37,61,0.18,0.37,0.55,0.18,0.55,0.43,0.19,0.62,0.43,0.62,Matches,Primeira Liga,2024/25
85,Jonathan Buatu Mananga,ao ANG,DF,Gil Vicente FC,30,1993,21,20,"1,824",20.3,0,2,2,0,0,0,1,0,0.4,0.4,0.9,1.3,9,44,0,0.00,0.10,0.10,0.00,0.10,0.02,0.05,0.07,0.02,0.07,Matches,Primeira Liga,2024/25
