Empty,Empty,Empty,Empty,Empty,Empty,Empty,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Matches,League,Season
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
274,Orkun Kökçü,tr TUR,MF,Benfica,23,2000,33,30,"2,633",29.3,7,7,14,5,2,2,8,0,4.7,3.1,7.5,10.6,65,309,110,0.24,0.24,0.48,0.17,0.41,0.16,0.26,0.42,0.11,0.36,Matches,Primeira Liga,2024/25
275,Moussa Koné,sn SEN,"MF,FW",Boavista,27,1996,7,4,311,3.5,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.7,1,0,11,0.00,0.00,0.00,0.00,0.00,0.16,0.03,0.19,0.16,0.19,Matches,Primeira Liga,2024/25
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Primeira Liga,2024/25
276,Konstantinos Kostoulas,gr GRE,DF,Rio Ave,19,2005,3,2,191,2.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
277,Vladan Kovačević,ba BIH,GK,Sporting CP,26,1998,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
278,Andrian Kraev,bg BUL,MF,Casa Pia,25,1999,26,20,"1,664",18.5,1,0,1,1,0,0,9,0,1.7,1.7,0.1,1.8,4,62,13,0.05,0.00,0.05,0.05,0.05,0.09,0.01,0.10,0.09,0.10,Matches,Primeira Liga,2024/25
279,Layvin Kurzawa,fr FRA,"DF,MF",Boavista,31,1992,4,2,170,1.9,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,2,2,10,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches,Primeira Liga,2024/25
280,Chiheb Labidi,tn TUN,"MF,FW",Nacional,23,2001,17,4,411,4.6,1,0,1,1,0,0,3,0,0.1,0.1,0.1,0.3,6,26,5,0.22,0.00,0.22,0.22,0.22,0.03,0.03,0.06,0.03,0.06,Matches,Primeira Liga,2024/25
281,André Lacximicant,pt POR,FW,Estoril,23,2001,27,11,993,11.0,5,3,8,5,0,0,4,0,5.6,5.6,1.1,6.7,27,14,51,0.45,0.27,0.73,0.45,0.73,0.50,0.10,0.60,0.50,0.60,Matches,Primeira Liga,2024/25
282,Chico Lamba,pt POR,DF,Arouca,21,2003,26,25,"2,265",25.2,1,2,3,1,0,0,6,0,0.7,0.7,0.6,1.3,9,63,5,0.04,0.08,0.12,0.04,0.12,0.03,0.02,0.05,0.03,0.05,Matches,Primeira Liga,2024/25
283,Larra,es ESP,"MF,DF",Casa Pia,26,1997,32,26,"2,242",24.9,2,3,5,2,0,0,9,1,1.9,1.9,2.8,4.7,51,56,116,0.08,0.12,0.20,0.08,0.20,0.08,0.11,0.19,0.08,0.19,Matches,Primeira Liga,2024/25
284,Leonardo Lelo,pt POR,"MF,DF",Casa Pia,24,2000,32,32,"2,848",31.6,1,4,5,1,0,0,2,0,1.4,1.4,4.5,5.9,32,107,141,0.03,0.13,0.16,0.03,0.16,0.04,0.14,0.19,0.04,0.19,Matches,Primeira Liga,2024/25
285,Marcos Leonardo,br BRA,MF,Benfica,21,2003,3,0,82,0.9,1,0,1,0,1,1,0,0,1.3,0.5,0.0,0.5,4,2,6,1.10,0.00,1.10,0.00,0.00,1.38,0.03,1.41,0.52,0.55,Matches,Primeira Liga,2024/25
286,Guilherme Liberato,br BRA,MF,Moreirense,23,2001,4,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
287,Otso Liimatta,fi FIN,"FW,MF",Famalicão,20,2004,5,1,121,1.3,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,2,4,12,0.00,0.00,0.00,0.00,0.00,0.21,0.07,0.28,0.21,0.28,Matches,Primeira Liga,2024/25
288,Rúben Lima,pt POR,DF,Estrela,34,1989,24,20,"1,778",19.8,0,2,2,0,0,0,3,1,0.1,0.1,1.9,2.0,6,65,3,0.00,0.10,0.10,0.00,0.10,0.00,0.10,0.10,0.00,0.10,Matches,Primeira Liga,2024/25
289,Yan Lincon,br BRA,FW,Moreirense,21,2002,8,3,262,2.9,3,0,3,3,0,0,2,0,0.6,0.6,0.0,0.6,3,4,8,1.03,0.00,1.03,1.03,1.03,0.21,0.01,0.22,0.21,0.22,Matches,Primeira Liga,2024/25
290,Jérémy Livolant,fr FRA,"FW,MF",Casa Pia,26,1998,26,20,"1,802",20.0,4,4,8,4,0,0,1,1,4.3,4.3,2.7,7.0,52,44,120,0.20,0.20,0.40,0.20,0.40,0.21,0.13,0.35,0.21,0.35,Matches,Primeira Liga,2024/25
291,Danny Loader,cm CMR,"FW,MF",Porto,23,2000,29,11,"1,071",11.9,3,1,4,2,1,1,3,0,4.2,3.4,0.8,4.1,18,31,71,0.25,0.08,0.34,0.17,0.25,0.35,0.06,0.41,0.28,0.35,Matches,Primeira Liga,2024/25
292,Samuel Lobato,pt POR,"FW,MF",Famalicão,22,2001,12,0,74,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,1,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
293,Tom van de Looi,nl NED,MF,Famalicão,25,1999,27,18,"1,753",19.5,0,2,2,0,0,0,4,0,0.7,0.7,0.8,1.5,10,128,14,0.00,0.10,0.10,0.00,0.10,0.04,0.04,0.08,0.04,0.08,Matches,Primeira Liga,2024/25
294,Miguel Lopes,pt POR,DF,Estrela,37,1986,15,13,"1,144",12.7,0,0,0,0,0,0,3,0,0.3,0.3,0.1,0.4,3,30,1,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03,Matches,Primeira Liga,2024/25
295,Rony Lopes,pt POR,"MF,FW",Farense,28,1995,14,14,"1,128",12.5,1,0,1,1,0,1,4,0,3.1,2.3,1.4,3.7,12,41,43,0.08,0.00,0.08,0.08,0.08,0.25,0.11,0.36,0.19,0.29,Matches,Primeira Liga,2024/25
296,Vasco Lopes,cv CPV,"FW,MF",AVS Futebol,24,1999,24,10,"1,047",11.6,2,2,4,2,0,0,6,0,1.8,1.8,1.4,3.2,55,45,78,0.17,0.17,0.34,0.17,0.34,0.15,0.12,0.27,0.15,0.27,Matches,Primeira Liga,2024/25
297,Mamadou Loum,sn SEN,"MF,DF",Arouca,27,1996,21,7,707,7.9,0,0,0,0,0,0,4,1,0.4,0.4,0.5,0.9,5,44,2,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11,Matches,Primeira Liga,2024/25
298,Jonatan Lucca,br BRA,MF,AVS Futebol,30,1994,8,2,271,3.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,12,5,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches,Primeira Liga,2024/25
299,Florentino Luís,pt POR,MF,Benfica,24,1999,26,24,"1,969",21.9,2,1,3,2,0,0,7,0,1.4,1.4,0.7,2.0,15,127,16,0.09,0.05,0.14,0.09,0.14,0.06,0.03,0.09,0.06,0.09,Matches,Primeira Liga,2024/25
300,Zé Luís,cv CPV,FW,AVS Futebol,33,1991,25,16,"1,384",15.4,3,1,4,1,2,2,4,0,4.2,2.6,2.1,4.7,10,26,56,0.20,0.07,0.26,0.07,0.13,0.27,0.13,0.41,0.17,0.30,Matches,Primeira Liga,2024/25
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Primeira Liga,2024/25
301,Luismi,gq EQG,FW,Moreirense,23,2001,31,13,"1,369",15.2,5,3,8,5,0,0,1,0,5.4,5.4,1.1,6.5,22,21,65,0.33,0.20,0.53,0.33,0.53,0.35,0.07,0.43,0.35,0.43,Matches,Primeira Liga,2024/25
302,Vitali Lystsov,ru RUS,DF,Boavista,29,1995,8,5,474,5.3,1,0,1,1,0,0,2,0,0.1,0.1,0.0,0.1,1,16,3,0.19,0.00,0.19,0.19,0.19,0.02,0.00,0.02,0.02,0.02,Matches,Primeira Liga,2024/25
303,Rúben Macedo,pt POR,"FW,MF",Nacional,28,1996,27,10,"1,198",13.3,1,1,2,0,1,1,0,0,3.0,2.3,2.2,4.4,57,17,78,0.08,0.08,0.15,0.00,0.08,0.23,0.16,0.39,0.17,0.33,Matches,Primeira Liga,2024/25
304,Tiago Machado,pt POR,"FW,MF",Boavista,20,2004,11,0,122,1.4,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0,4,10,0.00,0.00,0.00,0.00,0.00,0.13,0.17,0.30,0.13,0.30,Matches,Primeira Liga,2024/25
305,Madson,br BRA,FW,Moreirense,24,1999,19,16,"1,173",13.0,2,1,3,2,0,0,1,0,2.0,2.0,1.6,3.6,42,29,90,0.15,0.08,0.23,0.15,0.23,0.15,0.13,0.28,0.15,0.28,Matches,Primeira Liga,2024/25
306,Miguel Maga,pt POR,DF,Vitória,21,2002,18,16,"1,391",15.5,0,1,1,0,0,0,2,0,0.2,0.2,1.1,1.3,23,61,96,0.00,0.06,0.06,0.00,0.06,0.01,0.07,0.08,0.01,0.08,Matches,Primeira Liga,2024/25
307,Otar Mamageishvili,ge GEO,MF,Famalicão,21,2003,4,0,46,0.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches,Primeira Liga,2024/25
308,Eliaquim Mangala,fr FRA,DF,Estoril,33,1991,9,4,424,4.7,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,2,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
309,Ricardo Mangas,pt POR,FW,Vitória,26,1998,4,4,339,3.8,0,0,0,0,0,0,0,0,0.9,0.9,0.3,1.2,9,4,25,0.00,0.00,0.00,0.00,0.00,0.24,0.07,0.32,0.24,0.32,Matches,Primeira Liga,2024/25
310,Brian Mansilla,uy URU,"FW,MF",Arouca,22,2002,12,3,340,3.8,0,0,0,0,0,1,0,0,1.5,0.7,0.9,1.6,4,9,13,0.00,0.00,0.00,0.00,0.00,0.39,0.24,0.63,0.18,0.43,Matches,Primeira Liga,2024/25
311,Nico Mantl,de GER,GK,Arouca,24,2000,29,29,"2,610",29.0,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
312,Manú,ao ANG,"FW,DF",Estrela,18,2005,3,0,41,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
313,Manuel Manu,pt POR,MF,Vitória,23,2001,15,7,680,7.6,1,1,2,1,0,0,2,0,0.4,0.4,0.6,1.0,1,73,14,0.13,0.13,0.26,0.13,0.26,0.06,0.08,0.14,0.06,0.14,Matches,Primeira Liga,2024/25
314,Manuel Manu,pt POR,MF,Benfica,23,2001,3,2,136,1.5,0,1,1,0,0,0,1,0,0.0,0.0,0.1,0.1,0,8,1,0.00,0.66,0.66,0.00,0.66,0.02,0.04,0.05,0.02,0.05,Matches,Primeira Liga,2024/25
315,Maracás,br BRA,DF,Moreirense,30,1994,29,26,"2,393",26.6,1,1,2,1,0,0,6,0,1.4,1.4,0.9,2.3,3,33,2,0.04,0.04,0.08,0.04,0.08,0.05,0.03,0.09,0.05,0.09,Matches,Primeira Liga,2024/25
316,Iván Marcano,es ESP,DF,Porto,37,1987,11,11,941,10.5,1,0,1,1,0,0,0,0,0.6,0.6,0.5,1.2,9,48,5,0.10,0.00,0.10,0.10,0.10,0.06,0.05,0.11,0.06,0.11,Matches,Primeira Liga,2024/25
317,Adrián Marín,es ESP,DF,Braga,27,1997,10,8,711,7.9,0,2,2,0,0,0,0,0,0.0,0.0,0.7,0.7,6,58,15,0.00,0.25,0.25,0.00,0.25,0.00,0.09,0.09,0.00,0.09,Matches,Primeira Liga,2024/25
318,João Mário,pt POR,"FW,MF",Benfica,31,1993,2,2,154,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,3,18,17,0.00,0.00,0.00,0.00,0.00,0.05,0.19,0.24,0.05,0.24,Matches,Primeira Liga,2024/25
319,João Mário Lopes,pt POR,"DF,MF",Porto,24,2000,27,19,"1,767",19.6,0,3,3,0,0,0,5,0,0.8,0.8,4.4,5.2,78,119,182,0.00,0.15,0.15,0.00,0.15,0.04,0.23,0.27,0.04,0.27,Matches,Primeira Liga,2024/25
320,Uładzisłaŭ Marozaŭ,by BLR,FW,Arouca,23,2000,11,3,279,3.1,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,3,1,10,0.00,0.00,0.00,0.00,0.00,0.09,0.07,0.17,0.09,0.17,Matches,Primeira Liga,2024/25
321,Alejandro Marqués,ve VEN,FW,Estoril,23,2000,33,15,"1,692",18.8,11,0,11,7,4,4,1,0,8.3,5.1,0.5,5.6,10,18,61,0.59,0.00,0.59,0.37,0.37,0.44,0.03,0.47,0.27,0.30,Matches,Primeira Liga,2024/25
322,Alex Marques,pt POR,DF,Boavista,18,2005,2,1,99,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
323,João Marques,pt POR,"MF,FW",Braga,22,2002,3,0,37,0.4,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,1,6,0.00,0.00,0.00,0.00,0.00,0.22,0.04,0.26,0.22,0.26,Matches,Primeira Liga,2024/25
324,João Marques,pt POR,"FW,MF",Gil Vicente FC,22,2002,11,6,587,6.5,0,1,1,0,0,0,3,0,0.7,0.7,0.2,0.9,11,15,38,0.00,0.15,0.15,0.00,0.15,0.11,0.03,0.14,0.11,0.14,Matches,Primeira Liga,2024/25
325,Gabri Martínez,es ESP,"FW,MF",Braga,21,2003,30,14,"1,542",17.1,4,2,6,4,0,0,4,0,4.6,4.1,3.8,7.9,98,64,173,0.23,0.12,0.35,0.23,0.35,0.27,0.22,0.49,0.24,0.46,Matches,Primeira Liga,2024/25
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Primeira Liga,2024/25
326,Toni Martínez,es ESP,FW,Porto,27,1997,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
327,Bernardo Martins,pt POR,"FW,MF",Moreirense,26,1997,31,19,"1,636",18.2,4,3,7,4,0,0,7,0,2.1,2.1,2.2,4.3,23,82,69,0.22,0.17,0.39,0.22,0.39,0.12,0.12,0.23,0.12,0.23,Matches,Primeira Liga,2024/25
328,Matheus,br BRA,GK,Braga,32,1992,17,17,"1,530",17.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
329,Matheusinho,br BRA,"FW,MF",Santa Clara,26,1998,9,0,115,1.3,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,6,10,14,0.00,0.00,0.00,0.00,0.00,0.18,0.06,0.24,0.18,0.24,Matches,Primeira Liga,2024/25
330,Marco Matias,pt POR,"FW,MF",Farense,35,1989,27,15,"1,264",14.0,3,3,6,3,0,0,2,0,2.1,2.1,1.6,3.7,14,33,62,0.21,0.21,0.43,0.21,0.43,0.15,0.12,0.26,0.15,0.26,Matches,Primeira Liga,2024/25
331,Jordi Mboula,es ESP,"FW,MF",Gil Vicente FC,25,1999,24,12,"1,149",12.8,0,2,2,0,0,0,2,0,1.7,1.7,0.8,2.5,28,33,72,0.00,0.16,0.16,0.00,0.16,0.13,0.06,0.19,0.13,0.19,Matches,Primeira Liga,2024/25
332,Tobías Medina,ar ARG,MF,Rio Ave,20,2004,3,0,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
333,Mauro Meireles Couto,pt POR,DF,Sporting CP,18,2005,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
334,Francisco Meixedo,pt POR,GK,Estrela,23,2001,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
335,Yair Mena Palacios,co COL,"MF,FW",AVS Futebol,24,2000,10,0,93,1.0,0,0,0,0,0,0,4,0,0.1,0.1,0.0,0.1,1,1,8,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.10,0.05,0.10,Matches,Primeira Liga,2024/25
336,João Mendes,pt POR,"MF,FW",Vitória,29,1994,32,16,"1,536",17.1,4,2,6,4,0,0,4,0,2.1,2.1,2.4,4.5,39,97,133,0.23,0.12,0.35,0.23,0.35,0.12,0.14,0.26,0.12,0.26,Matches,Primeira Liga,2024/25
337,João Mendes,pt POR,DF,Vitória,24,2000,32,32,"2,769",30.8,0,0,0,0,0,0,10,0,0.7,0.7,1.5,2.2,66,141,206,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Matches,Primeira Liga,2024/25
338,Joe Mendes,se SWE,DF,Braga,21,2002,4,2,184,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,11,10,19,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03,Matches,Primeira Liga,2024/25
339,Gustavo Mendonça,pt POR,MF,AVS Futebol,21,2003,18,7,674,7.5,1,0,1,1,0,0,3,0,0.1,0.1,0.2,0.3,1,20,6,0.13,0.00,0.13,0.13,0.13,0.01,0.03,0.04,0.01,0.04,Matches,Primeira Liga,2024/25
340,Miguel Menino,pt POR,MF,Farense,21,2003,27,22,"1,830",20.3,2,0,2,2,0,0,3,0,1.2,1.2,1.0,2.2,16,52,50,0.10,0.00,0.10,0.10,0.10,0.06,0.05,0.11,0.06,0.11,Matches,Primeira Liga,2024/25
341,John Mercado,ec ECU,"FW,MF",AVS Futebol,22,2002,33,28,"2,341",26.0,3,1,4,3,0,0,2,0,3.3,3.3,3.8,7.1,84,35,162,0.12,0.04,0.15,0.12,0.15,0.12,0.15,0.27,0.12,0.27,Matches,Primeira Liga,2024/25
342,Mehdi Merghem,fr FRA,"MF,FW",Farense,27,1997,12,5,460,5.1,0,0,0,0,0,0,2,0,0.3,0.3,1.5,1.8,17,23,24,0.00,0.00,0.00,0.00,0.00,0.05,0.30,0.35,0.05,0.35,Matches,Primeira Liga,2024/25
343,Bruno Messi,pt POR,"FW,MF",Santa Clara,27,1996,7,0,113,1.3,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,8,4,18,0.00,0.00,0.00,0.00,0.00,0.09,0.05,0.15,0.09,0.15,Matches,Primeira Liga,2024/25
344,Michel,br BRA,DF,Moreirense,21,2003,5,3,249,2.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
345,Dieu-Merci Michel,ca CAN,FW,Vitória,20,2004,9,4,371,4.1,2,0,2,2,0,0,0,0,1.5,1.5,0.1,1.6,2,2,13,0.49,0.00,0.49,0.49,0.49,0.37,0.01,0.38,0.37,0.38,Matches,Primeira Liga,2024/25
346,Enea Mihaj,al ALB,DF,Famalicão,26,1998,29,29,"2,533",28.1,0,1,1,0,0,0,8,0,1.0,1.0,0.2,1.2,8,73,2,0.00,0.04,0.04,0.00,0.04,0.04,0.01,0.04,0.04,0.04,Matches,Primeira Liga,2024/25
347,Mika,pt POR,GK,Moreirense,33,1991,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
348,Álex Millán,es ESP,"FW,MF",Farense,24,1999,9,4,403,4.5,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,2,7,8,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.01,0.04,Matches,Primeira Liga,2024/25
349,Juan Mina,co COL,FW,Estrela,20,2004,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,Primeira Liga,2024/25
350,Cezary Miszta,pl POL,GK,Rio Ave,22,2001,26,26,"2,325",25.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Primeira Liga,2024/25
351,Iyad Mohamed,km COM,MF,Casa Pia,23,2001,10,5,487,5.4,0,0,0,0,0,0,2,1,0.0,0.0,0.1,0.1,2,18,13,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,Primeira Liga,2024/25
352,Isaac Monteiro,pt POR,DF,Casa Pia,20,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
353,Rodrigo Mora,pt POR,"MF,FW",Porto,17,2007,23,16,"1,370",15.2,10,4,14,10,0,0,3,0,4.7,4.7,1.5,6.2,43,72,97,0.66,0.26,0.92,0.66,0.92,0.31,0.10,0.41,0.31,0.41,Matches,Primeira Liga,2024/25
354,Morato,br BRA,DF,Benfica,23,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,10,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches,Primeira Liga,2024/25
355,Paulo Moreira,pt POR,MF,Estrela,24,2000,26,14,"1,297",14.4,1,0,1,1,0,0,3,0,0.3,0.3,0.5,0.9,17,41,18,0.07,0.00,0.07,0.07,0.07,0.02,0.04,0.06,0.02,0.06,Matches,Primeira Liga,2024/25
356,Marco Moreno,es ESP,DF,Farense,23,2001,25,24,"2,044",22.7,0,0,0,0,0,0,7,1,0.9,0.9,0.3,1.2,9,54,3,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches,Primeira Liga,2024/25
357,Dani Morer,es ESP,DF,Moreirense,26,1998,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
358,Hidemasa Morita,jp JPN,MF,Sporting CP,29,1995,23,13,"1,294",14.4,2,3,5,2,0,0,1,0,1.6,1.6,2.7,4.3,21,107,39,0.14,0.21,0.35,0.14,0.35,0.11,0.19,0.30,0.11,0.30,Matches,Primeira Liga,2024/25
359,Moura,pt POR,DF,Famalicão,24,1999,4,4,360,4.0,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,9,9,19,0.00,0.25,0.25,0.00,0.25,0.01,0.13,0.14,0.01,0.14,Matches,Primeira Liga,2024/25
360,Moura,pt POR,"DF,MF",Porto,24,1999,27,26,"2,210",24.6,3,9,12,3,0,0,2,0,0.3,0.3,4.4,4.8,52,102,175,0.12,0.37,0.49,0.12,0.49,0.01,0.18,0.19,0.01,0.19,Matches,Primeira Liga,2024/25
361,João Moutinho,pt POR,MF,Braga,37,1986,22,19,"1,666",18.5,1,2,3,1,0,0,8,2,0.6,0.6,1.2,1.8,20,157,21,0.05,0.11,0.16,0.05,0.16,0.03,0.06,0.10,0.03,0.10,Matches,Primeira Liga,2024/25
362,MT,br BRA,"DF,MF",Santa Clara,23,2001,33,32,"2,789",31.0,1,1,2,1,0,0,5,0,1.8,1.8,1.9,3.7,41,130,48,0.03,0.03,0.06,0.03,0.06,0.06,0.06,0.12,0.06,0.12,Matches,Primeira Liga,2024/25
363,Jonathan Mutombo,fr FRA,DF,Gil Vicente FC,21,2002,15,7,769,8.5,0,0,0,0,0,0,3,0,0.1,0.1,0.6,0.7,19,30,34,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.08,0.02,0.08,Matches,Primeira Liga,2024/25
364,Manuel Namora,pt POR,"MF,FW",Boavista,26,1998,8,4,307,3.4,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.1,0,7,9,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches,Primeira Liga,2024/25
365,Dylan Nandín,uy URU,FW,Arouca,22,2002,15,5,657,7.3,3,1,4,3,0,0,2,0,2.6,2.6,0.8,3.5,13,6,43,0.41,0.14,0.55,0.41,0.55,0.36,0.12,0.47,0.36,0.47,Matches,Primeira Liga,2024/25
366,Nani,pt POR,"FW,MF",Estrela,37,1986,9,4,465,5.2,1,0,1,1,0,0,3,0,0.3,0.3,0.4,0.7,9,11,20,0.19,0.00,0.19,0.19,0.19,0.06,0.07,0.13,0.06,0.13,Matches,Primeira Liga,2024/25
367,Fran Navarro,es ESP,FW,Porto,26,1998,4,1,91,1.0,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,1,5,0.00,0.00,0.00,0.00,0.00,0.43,0.00,0.43,0.43,0.43,Matches,Primeira Liga,2024/25
